Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,31,08,2021
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a informar, como todos los martes, sobre la situación de la salud; en especial, el comportamiento de la pandemia, el plan nacional de vacunación y también hoy vamos a dar a conocer lo del programa del Gas Bienestar, que ya inicia en la Ciudad de México, en Iztapalapa. Se va a informar sobre estos dos asuntos de interés público, lo de salud y lo del Gas Bienestar. Entonces, comenzamos con salud, con el doctor Jorge Alcocer.",0.0,77,31,08,2021
JORGE ALCOCER VARELA," Con su permiso, señor presidente.",0.0,5,31,08,2021
JORGE ALCOCER VARELA,Muy buenos días a todas y a todos ustedes.,0.0,9,31,08,2021
JORGE ALCOCER VARELA,"Como señala el señor presidente, hoy hay mucho que informar y en el Pulso de la Salud en forma breve hoy actualizamos el tema de los medicamentos adquiridos por el sector salud, como lo hemos hecho desde hace cinco semanas.",0.0,40,31,08,2021
JORGE ALCOCER VARELA,"En la primera lámina, les recuerdo que la demanda del sector salud incluyó mil 840 claves y se han recibido 77.8 millones de piezas al día de ayer.",0.0,28,31,08,2021
JORGE ALCOCER VARELA,"En la segunda tabla se presentan las órdenes de suministro con las cuales los insumos son referidos para cada una de las instituciones. Y como pueden ver, hasta el 20 de agosto habíamos recibido -la semana pasada- 295 millones 740 mil 398 piezas y ayer se agregaron, en el curso de la semana, 95 millones 25 mil 303 piezas más, derivadas de seis mil 400 órdenes para ello, de un suministro generadas en la semana, lo que da un total de 390 millones 765 mil 701 piezas recibidas hoy y que se muestran en la tabla del lado derecho, para cada una de las instituciones.",0.0,105,31,08,2021
JORGE ALCOCER VARELA,Muchas gracias.,0.0,2,31,08,2021
HUGO LOPEZ-GATELL RAMIREZ," Con su permiso, presidente.",0.0,4,31,08,2021
HUGO LOPEZ-GATELL RAMIREZ,"Muy buenos días, secretarias, secretarios, colegas.",0.0,6,31,08,2021
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a comentar sobre el estado que guarda la epidemia y sobre todo la importancia de este regreso a clases, cómo luce respecto a las previsiones que tenemos en términos epidemiológicos.",0.0,31,31,08,2021
