Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JAVIER CORRAL JURADO, Muchas gracias. Muy buenos días.,0.0,5,09,08,2021
JAVIER CORRAL JURADO,"Antes que nada, me gustaría reiterar el agradecimiento al presidente de la República, licenciado Andrés Manuel López Obrador, por la deferencia que ha tenido con las y los chihuahuenses, de visitarnos una vez más en la entidad. Esta es la décima ocasión que el presidente de la República visita el estado de Chihuahua desde que fue presidente electo, es la sexta ocasión en que visita Ciudad Juárez.",0.0,67,09,08,2021
JAVIER CORRAL JURADO,"Ahora su visita ha tenido como propósito inaugurar dos obras de infraestructura, dos nuevos cuarteles de la Guardia Nacional de los 12 que se han construido en la entidad y ello viene a fortalecer nuestras capacidades en materia de seguridad pública. Oportunidad que me parece propicia para reiterar la voluntad que ha existido siempre y en todo momento por parte de nuestra administración para trabajar juntos, coordinadamente contra los enemigos de la paz.",0.0,73,09,08,2021
JAVIER CORRAL JURADO,Quiero empezar por agradecer el esfuerzo y la coordinación interinstitucional del Programa Nacional de Vacunación que en el estado de Chihuahua tiene ya extraordinarios resultados. Estamos cerca del 76 por ciento de la vacunación en el estado y particularmente en Ciudad Juárez con al menos una dosis más del 80 por ciento de la población mayor de 18 años ha sido vacunada.,0.0,62,09,08,2021
JAVIER CORRAL JURADO,"Particularmente reconocer el esfuerzo meteórico y que rompió prácticamente todos los récords de vacunación en el estado, de la Secretaría de Seguridad y Protección Ciudadana, de la vacunación que en una semana se realizó en Ciudad Juárez, más de medio millón de personas.",0.0,43,09,08,2021
JAVIER CORRAL JURADO,"No quiero dejar pasar la oportunidad para destacar que, no obstante que estamos a punto de concluir nuestro mandado al frente del gobierno del estado, hemos tenido una extraordinaria disposición en este último tramo de nuestra administración por parte del presidente de la República. Quiero destacar la empatía que ha habido al reconocer el enorme esfuerzo que hemos realizado en Chihuahua para desterrar la corrupción y la impunidad, así como para construir un gobierno honesto.",0.0,75,09,08,2021
JAVIER CORRAL JURADO,"Nos anima porque, ante tanta polarización, muchas veces es difícil el reconocimiento entre expresiones políticas distintas, lo cual por supuesto valoro y agradezco. En cada oportunidad que hemos tenido tanto el presidente como un servidor hemos hablado de diferencias pero también, hay que decirlo, tenemos grandes coincidencias y es importante siempre priorizar el bien de la ciudadanía como gobiernos.",0.0,59,09,08,2021
JAVIER CORRAL JURADO,"Además, tenemos grades similitudes. Nosotros nos sentimos muy identificados en varios de los ejes muy importantes del gobierno del presidente López Obrador porque nosotros también acá decidimos optar preferencialmente por los más pobres.",0.0,33,09,08,2021
JAVIER CORRAL JURADO,"Aquí generamos un plan de austeridad muy importante en el gobierno de Chihuahua, nos enfocamos a apoyar a las micro y pequeñas empresas, a democratizar los apoyos en materia económica.",0.0,30,09,08,2021
JAVIER CORRAL JURADO,"Acá también redujimos considerablemente el gasto en comunicación social, debo decir que el 84 por ciento de los recursos del estado se redujeron de lo que antes se destinaba a pagar publicidad en medios de comunicación.",0.0,36,09,08,2021
JAVIER CORRAL JURADO,"Y, sin duda, nuestra mayor coincidencia, identificación, es el combate frontal a la corrupción y a la impunidad.",0.0,18,09,08,2021
JAVIER CORRAL JURADO,"Ustedes escucharon el día de ayer un gesto de enorme generosidad del presidente de la República hacia nuestra administración. Este reconocimiento que expresó ayer el licenciado López Obrador me ha hecho pensar sobre el enorme reto que tenemos en el país las distintas fuerzas políticas, así como la ciudadanía para hacer una reflexión a profundidad que nos permita encontrar y construir sobre las convergencias un país más justo, un país más incluyente, un país más igualitario.",0.0,76,09,08,2021
JAVIER CORRAL JURADO,"Tenemos que trabajar para elevar la altura de miras, para ver más allá de nuestra parcela o nuestro interés personal, para vernos en comunidad, para reconocernos en el otro, para involucrarnos como ciudadanos en las decisiones públicas, porque el futuro de nuestro país, o lo construimos juntos, respetando nuestras diferencias e impulsando los puntos en común, o simplemente estamos condenados a reciclar odio, polarización y desigualdad.",0.0,66,09,08,2021
JAVIER CORRAL JURADO,"Actualmente se percibe mucha animadversión en muchos sectores en el país, muchas mentiras que se dicen a diario en diversos medios, en diversos espacios de opinión, en redes sociales, en chats. Lo he vivido personalmente en la lucha que emprendimos en Chihuahua contra la corrupción, porque cuando se asume una bandera como esta, lo he dicho en otras ocasiones y lo comentábamos ayer el presidente y un servidor, pues casi, casi se lucha contra el mundo, contra intereses creados, contra redes de complicidades que se aferran a la sobrevivencia y que, al ver afectados sus intereses, montan desinformación, miedo y distorsión. Esa explotación del miedo, donde incluso ha vuelto el fantoche del peligro comunista está siendo muy dañino para el país.",0.0,121,09,08,2021
JAVIER CORRAL JURADO,"Con tal de vencer a la 4T, se están perdiendo a los referentes históricos de la lucha democrática, no sólo en el sistema de partidos, sino en muchos sectores, incluso se ha dejado de ver la importancia de que alguien sea honesto o no lo sea en el ejercicio del gobierno. Y es que cuando se da un viraje, un cambio, una manera diferente de hacer política, uno suele enfrentarse a tres oligarquías que se unen, se atenazan: la económica, la política y la mediática.",0.0,85,09,08,2021
JAVIER CORRAL JURADO,"Por supuesto que hay sus claras excepciones. Y cuando hablo de cada una de estas me refiero exclusivamente a quienes se aferran a sus privilegios y que por años han puesto freno al desarrollo nacional, para dar rienda suelta al desarrollo de sus negocios o ganancias personales.",0.0,47,09,08,2021
