Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ADAN AUGUSTO LOPEZ HERNANDEZ," Muy buenos días tengan todos ustedes. Con su permiso, señor presidente.",0.0,11,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Tal y como fue su instrucción, hemos venido trabajando de manera coordinada la Secretaría de Gobernación, los gobiernos estatales y la Secretaría de Seguridad y Protección Ciudadana para hacer realidad un acto de justicia en favor de las personas privadas de su libertad, adultas mayores que tienen alguna enfermedad crónico degenerativa o se encuentren en fase terminal, adultos mayores de 70 años, víctimas de tortura con Protocolo de Estambul, indígenas que en su momento no tuvieron una defensa adecuada, así como quienes llevan dos años o más en prisión preventiva o sin sentencia.",0.0,93,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Realizamos las gestiones con los jueces competentes, la Suprema Corte de Justicia de la Nación, la Fiscalía General de la República, con el propósito de agilizar los trámites en preliberaciones, modificación de las medidas cautelares y libertades, ya que se requiere cumplir con una serie de requisitos establecidos en la ley.",0.0,51,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Hay que recordar que, a partir de 2016, el otorgamiento de la libertad anticipada es atribución exclusiva del Poder Judicial; sin embargo, hemos hecho las gestiones necesarias para que este tenga todos los elementos de resolución en cada caso.",0.0,39,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"A lo largo de las últimas semanas, a través del órgano desconcentrado de prevención y readaptación social, se han realizado las revisiones a fin de determinar quiénes cumplen con los requisitos previstos en la ley para ser preliberados y modificar así las medidas cautelares u obtener su libertad.",0.0,48,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"De esta manera, podemos decir que al momento se tienen ubicados cuatro mil 233 expedientes de personas sentenciadas o en prisión preventiva que fueron sujetos de análisis en el ámbito federal. Dichos expedientes ya fueron entregados a los jueces competentes, al Consejo de la Judicatura, al Instituto de Defensoría Pública y a la Fiscalía General de la República, según corresponda cada caso, por lo que confiamos en que serán resueltos gradualmente para que las personas puedan obtener su libertad.",0.0,79,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,Lo que vamos a anunciar el día de hoy es sólo el principio de un proceso cuyos avances estaremos viendo cada mes.,0.0,22,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"El día de ayer ya fueron publicados los lineamientos para la integración y funcionamiento del comité permanente, que será el encargado de dar seguimiento a las acciones para gestión de las solicitudes.",0.0,32,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"A julio de este año la población privada de la libertad en el país era de 220 mil 866 personas, de las cuales 16 mil 464 se ubican en centros federales, es decir, alrededor del 7.4 por ciento del total, en tanto que el resto se ubica en penales locales y está sujeto a proceso o cumpliendo sentencia por delitos del fuero común, esto significa también que el 92.6 por ciento de los internos, entre los cuales algunos podrían acceder a los beneficios están, como dijimos, en el ámbito local.",0.0,90,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"El acuerdo señala que no podrán acceder al beneficio de la preliberación quienes estén procesados por delitos contra el libre desarrollo de la personalidad, trata de personas, delincuencia organizada, secuestro ni otros delitos que merezcan prisión preventiva oficiosa, los cuales en su mayoría son del fuero federal.",0.0,47,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Por ello, además de las gestiones realizadas en materia federal, estamos fortaleciendo el trabajo coordinado con los gobiernos de los estados a fin de que se realicen los trámites necesarios para hacer efectivo este beneficio, como lo señala el acuerdo.",0.0,40,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Ya entre ayer y hoy los gobiernos de los estados nos han hecho llegar ya su relación. El gobierno de Chiapas y gobierno de la Ciudad de México ya publicaron sus respectivos acuerdos para iniciar el trámite de preliberación. En el caso de Chiapas, 180; en el caso de la Ciudad de México, 40 ya están sujetos a este beneficio.",0.0,60,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Hemos pedido al resto de los gobiernos en las entidades que, desde el ámbito de sus atribuciones y facultades, busquen las rutas legales para las preliberaciones, modificación de las medidas cautelares y libertades, tomando el ejemplo federal.",0.0,37,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"Como resultado de esto les puedo comentar que con algunos gobiernos estatales ya hemos podido avanzar y el día de mañana se hará efectivo el otorgamiento de beneficios a 682 internos: en Baja California Sur con 10, Baja California con 63, Chiapas con 198, Ciudad de México con 40, Colima con 13, Durango con 100, Nayarit con 30, Oaxaca con 48, San Luis Potosí con siete, Sinaloa con 15, Tabasco con 12, Tlaxcala con dos, Veracruz con 50, Zacatecas con 57, así como 36 de penales federales.",0.0,87,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,"De esta manera se abona a la consolidación de los instrumentos legales y al proceso de transformación impulsado por este gobierno que encabeza el presidente Andrés Manuel López Obrador, todo bajo una perspectiva humanista y de justicia.",0.0,37,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ,Muchas gracias.,0.0,2,14,09,2021
ADAN AUGUSTO LOPEZ HERNANDEZ," El señor Israel Vallarta enfrenta un proceso, fue víctima de tortura y ésta se acreditó con dictámenes correspondientes al Protocolo de Estambul en el proceso seguido por el secuestro de Christian y Shlomo; sin embargo, tiene otro proceso abierto por otro secuestro, en el cual pues no se ha acreditado la tortura ni la violación al Protocolo de Estambul, por lo tanto, no puede ser beneficiario de los beneficios del decreto.",0.0,71,14,09,2021
