Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DELFINA GOMEZ ALVAREZ," Buenos días, señor presidente; buenos días, compañeros de gabinete; buenos días a todos ustedes.",0.0,14,14,09,2021
DELFINA GOMEZ ALVAREZ,"En lo que se refiere al informe de regreso a clases presenciales, tenemos ahorita un número de escuelas abiertas, 138 mil 817. Recordemos que el pasado 7 de septiembre manejábamos que eran 135 mil 248, vemos que afortunadamente van en aumento.",0.0,41,14,09,2021
DELFINA GOMEZ ALVAREZ,"En lo que se refiere a alumnos que regresaron a las aulas, tenemos 13 millones 220 mil 916, a diferencia de la semana pasada, que teníamos 12 millones 782 mil 555.",0.0,31,14,09,2021
DELFINA GOMEZ ALVAREZ,"Y en lo que se refiere a trabajadores de la educación que regresaron a las aulas, tenemos ahorita un millón 263 mil 89, también, la semana pasada teníamos un millón 200 mil 250.",0.0,33,14,09,2021
DELFINA GOMEZ ALVAREZ,"Estos datos nos señalan o nos dan la oportunidad de reflexionar que hemos ido aumentando en lo que se refiere a ese reingreso y yo lo celebro mucho. Agradezco a todos los que han hecho posible que esto vaya, precisamente, lográndose la meta de que se regrese.",0.0,47,14,09,2021
DELFINA GOMEZ ALVAREZ,"En lo que se refiere a escuelas afectadas por el sismo, bueno, tenemos 11 estados en 133 municipios, total de escuelas afectadas son 528, ahí sí aumentó, ahorita es precisamente por lo que ha sucedido lamentablemente en Ecatepec, en lo que se refiere a Tlalnepantla. Ya se fue a hacer un recorrido, afortunadamente no hay escuelas alrededor, son más viviendas que escuelas, pero aun así nos sumamos a lo que podamos apoyar.",0.0,72,14,09,2021
DELFINA GOMEZ ALVAREZ,"Y, bueno, algunas fotografías en donde vemos precisamente la situación que se da dentro de la interacción dentro de una institución.",0.0,21,14,09,2021
DELFINA GOMEZ ALVAREZ,"Yo insisto, esto ha sido, este regreso que se ha dado de manera paulatina y precisamente cauta, ha sido, en primer lugar, gracias a la cooperación y colaboración de todos los secretarios de Gabinete, les agradezco mucho, Salud, Seguridad, Guardia Nacional, Cultura, en fin, creo que somos un equipo y todos han hecho lo… Relaciones Exteriores, bueno, no quiero dejar a ninguno, pero, de verdad, yo agradezco mucho a todos los compañeros que han sido muy colaboradores en esta meta.",0.0,80,14,09,2021
DELFINA GOMEZ ALVAREZ,"Así como también agradezco a los tres órdenes de gobierno que, sin duda alguna, han hecho su mejor esfuerzo, tanto presidentes municipales como gobernadores y precisamente Presidencia de la República.",0.0,30,14,09,2021
DELFINA GOMEZ ALVAREZ,"Pero muy, muy en especial quiero agradecer a los maestros y a los padres de familia, ellos son los que finalmente, junto con las autoridades educativas, son los que hacen los filtros. Hemos podido precisamente tener ese control gracias a que los padres de familia de momento nos llegan a hablar precisamente cuando ven algún síntoma en sus pequeñitos y se hace precisamente el protocolo.",0.0,65,14,09,2021
DELFINA GOMEZ ALVAREZ,"Junto con ello también seguimos fortaleciendo lo que es el apoyo a los maestros en lo que se refiere a la parte socioemocional que, insistimos, es lo que nos debe de ahorita priorizar mucho en nuestros niños, esa confianza, que yo les puedo decir que las escuelas que hemos podido visitar los niños están felices y están muy contentos de estar precisamente en sus escuelas.",0.0,65,14,09,2021
DELFINA GOMEZ ALVAREZ,"Nada más darles esa confianza, seguir trabajando con ellos en ese cuidado y por ello tenemos lo que es un, precisamente un apoyo de este curso, que es precisamente de regreso a clases, que es precisamente con apoyo de la Secretaría de Salud y al cual los invitamos, ahorita ya llevamos más de 800 mil, precisamente, beneficiados.",0.0,57,14,09,2021
DELFINA GOMEZ ALVAREZ,"Ahí está la página es precisamente con la intención de ver cómo podemos regresar de manera certera y más precisa, y está dirigido a precisamente educación básica, el retorno seguro, ya se va actualizando. Tenemos también lo que es educación media superior y también tenemos en la atención para educación superior.",0.0,51,14,09,2021
DELFINA GOMEZ ALVAREZ,"Insisto, ahorita ya se abre para padres de familia, están cordialmente invitados todos los padres de familia o ciudadanos que quieran tomar este curso, está muy interesante, muy preciso para todo aquél que quiera tener conocimiento acerca de precisamente los manejos de este regreso a clases presenciales.",0.0,47,14,09,2021
DELFINA GOMEZ ALVAREZ,Sería cuanto. Muchas gracias.,0.0,4,14,09,2021
