Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO MURAT HINOJOSA," Muchas gracias, señor presidente.",0.0,4,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Sea usted bienvenido una vez más a su tierra, que es Oaxaca. Esta es su visita número 25 y bueno, no es por darle envidia a otras entidades, pero creo que es casi el 10 por ciento de su gobierno, ha estado en Oaxaca y se lo agradecemos, pero así se reflejan los resultados.",0.0,54,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Quiero, primero, reconocer esa instrucción que usted dio, y por supuesto al general secretario y al almirante secretario, porque en tema de salud el día de hoy se han aplicado 2.7 millones de vacunas en el estado de Oaxaca en menos de un mes, esto es gracias a un esfuerzo de las Fuerzas Armadas. Y se han reflejado en los números, especialmente en el número de contagios y también en el índice de letalidad del estado de Oaxaca, en donde por supuesto que, gracias a esa vacunación, vamos por la ruta correcta, estamos cerca ya de los tres millones, de cuatro millones de habitantes que tiene el estado de Oaxaca.",0.0,110,20,09,2021
ALEJANDRO MURAT HINOJOSA,"También hay resultados importantes en crecimiento. Gracias a los esfuerzos que hay en inversión en infraestructura, que de aquí al último día de mi gobierno proyectamos más de casi 20 mil millones de pesos entre el gobierno federal y el gobierno del estado, hoy Oaxaca, de acuerdo al Inegi, es el estado con mayor crecimiento del país, 4.5 por ciento. Oaxaca nunca había superado el lugar 30, señor presidente.",0.0,69,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Y esto también se ha reflejado en los índices de pobreza. Gracias a los programas también de asistencia social, Oaxaca hoy, de acuerdo a datos de Inegi-Coneval, es el estado que más creció en ingreso en los hogares, 7.8 por ciento; en reducción de la pobreza, dos por ciento; y pobreza extrema, uno por ciento.",0.0,55,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Por último, queremos también señalar que, en el tema de seguridad, de acuerdo a los estados más seguros, somos el estado nueve, y de delitos de alto impacto somos el estado ocho en seguridad a nivel nacional.",0.0,37,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Y lo más importante, gracias a esta gran coordinación, señor presidente, hay gobernabilidad en el estado. Hemos podido atender, de 80 conflictos agrarios, más de 46, el último el de Tamazulapan del Espíritu Santo y San Pedro y San Pablo Ayutla.",0.0,41,20,09,2021
ALEJANDRO MURAT HINOJOSA,Agradezco a mis paisanas y paisanos. Vamos por la ruta correcta coordinados con el gobierno federal.,0.0,16,20,09,2021
ALEJANDRO MURAT HINOJOSA,"Gracias, señor presidente.",0.0,3,20,09,2021
ALEJANDRO MURAT HINOJOSA, Modesto Seara.,0.0,2,20,09,2021
