Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a iniciar la semana con el quién es quién en los precios y luego los videos, y posteriormente, como siempre, las preguntas y las respuestas. Entonces, vamos a darle la palabra a Ricardo.",0.0,34,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Vamos a los videos.,0.0,4,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy bien. Pues vamos adelante. Quedó pendiente Eduardo Esquivel.,0.0,9,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pues muy bien, hay que esperar a que resuelva el Banco de México, ellos hacen su balance, Hacienda también tiene información.",0.0,21,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo cierto es que no hemos tenido remanentes durante el tiempo que llevamos en el gobierno porque, aun cuando periódicamente se deprecie el peso, termina recuperándose; entonces, como no hay depreciación del peso, no entregan estos remanentes. La vez pasada era más claro de que sí podían entregarnos remanentes y no lo hicieron, esto es muy distinto a lo que pasaba en los gobiernos anteriores, que siempre había remanentes para Hacienda, ahora no es así.",0.0,75,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero bueno, vamos a esperar que terminen de hacer las cuentas y el balance y pues, si nos corresponde, sería un ingreso adicional importante.",0.0,24,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, vamos a invitar a Raquel Buenrostro, que esté el jueves, día primero de febrero. Ya acordamos que el primer jueves de cada mes se va a informar sobre resultados económicos, sociales, de cómo vamos. Entonces, vamos a invitar a Raquel, que nos aclare esto de los ferrocarriles, lo de la privatización, si se devolvió este impuesto.",0.0,57,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eran unas prácticas muy comunes la devolución del IVA, al grado de que empresas como Odebrecht construyeron su planta de polietileno allá, en Coatzacoalcos, con créditos de la banca de desarrollo y con la devolución de impuestos, o sea, no invertían nada, todo era manejo de influencias.",0.0,47,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a que Raquel nos diga.,0.0,6,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También lo que siempre sostengo es que debemos de evitar que eso continúe, lo más importante es la no repetición. Ahora da gusto de que todas las empresas, las más grandes, las operaciones de compra-venta de grandes corporaciones que no pagaban impuestos ahora están pagando, y todo esto es beneficio de la hacienda pública, del pueblo.",0.0,56,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya es completamente otra cosa, son hábitos que se están creando y que va a ser muy difícil que puedan quitar en el futuro. Ya lo de la condonación de impuestos, que era una barbaridad, pues ya no podría volverse a implantar. Cómo es que pague el impuesto el campesino, el obrero, la gente más pobre porque si se compra una mercancía ahí va incluido un impuesto, ahí va el IVA, o un profesional, un integrante de clase media, un pequeño comerciante, mediano empresario, y los grandes tenían mecanismos, y sobre todo agarraderas, muchas influencias, para que al final les condonaran los impuestos, miles de millones de pesos.",0.0,108,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, todo esto es lo que nos ha permitido también sortear la crisis, enfrentar la crisis, porque ahora ha mejorado la recaudación, sin aumentar los precios de las gasolinas, sin gasolinazos y sin aumentar impuestos.",0.0,35,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es: que no haya privilegios, que no haya corrupción y que no haya derroche, que el gobierno sea austero, esa es la fórmula y así vamos saliendo adelante.",0.0,28,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Carlos Guzmán.,0.0,2,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, amanecí ronco.",0.0,3,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Me voy a hacer la prueba más tarde, pero yo creo que es gripe. De todas maneras.",0.0,17,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Sí.,0.0,1,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Mañana vamos a informar, como todos los martes. A ver si puedes poner el reporte de hoy de favor, Jesús.",0.0,20,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Este es el incremento de casos, sí hay contagios crecientes, pero afortunadamente todavía no se refleja en hospitalizaciones y, lo más importante, en fallecimientos, o sea, que…",0.0,27,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto es fallecimientos, miren. No tiene pues la misma peligrosidad.",0.0,10,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, letalidad de las otras variantes o de la otra variante, delta.",0.0,12,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y hay algo que me gustó, que quiero aprovechar para transmitir, un decálogo —no sé si es decálogo— que hizo Pedro Miguel, de una información que está difundiendo la Secretaría de Salud de la Ciudad de México. Pero es muy importante la forma como lo ha escrito Pedro Miguel, porque es periodista y ustedes saben cómo comunicarse. A veces los servidores públicos, los técnicos, no comunican bien, hay términos que la gente no entiende y creen muchos profesionistas o profesionales que, entre más términos técnicos, entre más hablen físico, como se decía antes, son más importantes. Por eso, cuando se escribía antes, se decía: ‘Bájale’, no, no es bájale, es súbele, escribe bien, que te entienda la gente. Hay veces que lee uno un texto ¿y qué dijo?",0.0,128,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver si está lo de Pedro, porque es muy importante, es el qué hacer.",0.0,15,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Uno. Si se vacunaron y enferman de algo que parece COVID, asuman que es COVID.",0.0,15,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Dos. Chéquense la oxigenación y, si ésta es normal, por arriba de 90, no presentan dificultades respiratorias, ni fiebre alta, eviten salir a hacerse una prueba de COVID.",0.0,28,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Tres. Tomen paracetamol, permanezcan en su casa, aíslense y eviten contagiar a otras personas, en la gran mayoría de las personas vacunadas la variante ómicron es un covidcito’, o sea, que no tiene la potencia que tenía la variante delta.",0.0,40,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Cuatro. Si hay fiebre alta o baja oxigenación llamen a Locatel para recibir orientación y atención —ahí está— 800 0044 800 o 55 56 58 11 11’. A ver si lo dejamos después un rato, se sube a la página.",0.0,40,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,‘Cinco. Se ruega a los empleadores que no pidan resultados de pruebas de COVID a sus empleados. Hay escasez mundial de reactivos.,0.0,22,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Seis. Sigan usando cubrebocas, observen la sana distancia, tosan o estornuden en el ángulo interior del codo, lávense las manos y en la medida de lo posible eviten las aglomeraciones.",0.0,30,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Siete. —No es decálogo, son siete nada más— Si no se han vacunado, vacúnense, vacúnense, vacúnense’. El 70 por ciento, quizás más, de los hospitalizados y de los fallecimientos son los no vacunados. ‘Es preferible que les pinchen el brazo a que les metan un tubo en el gaznate’. En la garganta.",0.0,52,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pero lo que queremos es inaugurarlo ya a finales de este año, no queremos hacerlo por partes. Además, si se dan cuenta en el informe, traemos un 50 por ciento en catenarias, que es la línea eléctrica que alimenta al tren, entonces tiene que estar al 100.",0.0,47,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que estamos haciendo es aplicándonos a fondo para avanzar, porque son varias empresas y no todas están al mismo ritmo, pero se está trabajando en eso.",0.0,27,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo espero que a finales del año, a más tardar a principios del año próximo ya lo inauguremos, porque ha llevado mucho tiempo y ya necesitamos concluirlo.",0.0,27,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ah, bueno, como ustedes saben, es muy buena la relación de México con todos los países del mundo, de manera muy especial con los países del continente americano, América del Norte, la relación con Canadá, con Estados Unidos, nuestros hermanos de Centroamérica y también con países del sur del continente.",0.0,50,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acabamos de entregar nosotros la coordinación de la organización de países de América Latina y el Caribe, se entregó a Argentina y todos muy agradecidos con México, sobre todo porque en los tiempos más difíciles de la pandemia nosotros ayudamos con vacunas y hemos estado actuando con solidaridad, en varios terrenos.",0.0,51,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nos dio mucho gusto el triunfo de la señora Xiomara en Honduras, me mandó a decir que pues está preparando su toma de posesión, y que posteriormente viene, es hasta muy probable que si ella viene pues será muy bien recibida, pero yo estoy pensando hacer una gira este año a Centroamérica y la iría a visitar.",0.0,58,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Todavía no tengo el tiempo definido, pero sí tengo interés en ir a algunos países de Centroamérica, nuestros hermanos vecinos, porque he salido tres veces y las tres a Estados Unidos, una a Nueva York y dos a Washington, entonces me falta el sur.",0.0,44,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Centroamérica, pero no nos adelantemos.",0.0,5,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nos dio mucho gusto lo del triunfo de Boric en Chile. Fue algo muy esperanzador para América Latina.",0.0,19,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos a mantener buenas relaciones con todos los gobiernos bajo los principios constitucionales, ya saben ustedes lo que se estableció en el artículo 89 sobre la no intervención, la autodeterminación de las pueblos, la cooperación para el desarrollo, los derechos humanos, y sobre eso se está recuperando, aunque no les guste esta expresión o no debiera yo decirlo, pero sí se está recuperando mucho el prestigio de la política exterior de México, no sólo en América Latina y el Caribe, sino en el mundo, porque se abandonaron los principios de política exterior; entonces, ya es otra cosa.",0.0,98,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a dar a conocer en esta semana que se van a nombrar nuevos embajadores y cónsules, mujeres y hombres, esta semana, lo va a hacer la Secretaría de Relaciones Exteriores y mañana vamos a tener aquí esa reunión con todos los embajadores y cónsules, cónsules de México en países extranjeros, y vamos a intercambiar opiniones, puntos de vista.",0.0,59,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No queremos pleito con nadie, México siempre ha buscado la conciliación y por eso nos tienen confianza, por eso hasta se le pide a México que actúe como intermediario en conflictos internacionales, pero no somos tampoco protagónicos de estar queriéndonos meter en asuntos internos de otros países.",0.0,47,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo siempre he sostenido que la mejor política exterior es la interior. Si hacemos bien las cosas aquí, nos van a reconocer afuera. No podemos ser candil de la calle y oscuridad en la casa.",0.0,35,10,01,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, de manera prudente, sin protagonismos mantener nuestra política exterior, que tiene fama en todo el mundo. Por ejemplo, lo que ha hecho México para proteger a perseguidos políticos, el derecho de asilo, que viene de tiempo atrás, desde el general Cárdenas y también en la época del presidente Madero, y de otros presidentes.",0.0,54,10,01,2022
