Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CARLOS MANUEL JOAQUIN GONZALEZ," Sí, señor presidente. ¿Cómo está? Me da mucho gusto saludarle, me da mucho gusto también verle bien, repuesto y de nuevo aquí en sus funciones. Desde Chetumal, aquí en Quintana Roo, le mandamos un saludo.",0.0,35,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Y estamos precisamente en el inicio de la segunda jornada, el segundo día de vacunación para el personal de educación, maestras, maestros, personal administrativo de nuestras escuelas, que, estoy seguro, será de gran importancia para el desarrollo del estado, para tener de nuevo actividades presenciales que son muy importantes para todas y todos nosotros.",0.0,54,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Nos acompaña aquí don Jorge Armando Barriguete, de la Secretaría de Educación Pública; están también con nosotros la secretaria de salud del estado, la secretaria de educación del estado, la delegada de la Secretaría de Educación Pública en Quintana Roo, el señor capitán de la Marina, parte del equipo de vacunación y la maestra Arcos, también de la Secretaría de Educación Pública, y por supuesto todas las maestras y maestros que están por iniciar esta jornada; bueno, de hecho, ya iniciaron. Aquí ya son poco más de las 8:00 de la mañana, vamos una hora adelante.",0.0,96,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Y debo decirle que la gran meta es alcanzar 36 mil 900 vacunas al personal educativo, el día de ayer se vacunaron cerca de nueve mil maestras y maestros. Tenemos seis ciudades en donde estamos aplicando la vacuna, ocho sedes para todas las maestras y maestros, todo un proceso de organización que se ha llevado a cabo para a través de citas ellos puedan llegar y aplicarse la vacuna sin tener que estar en filas o esperando mucho tiempo. Así que seguramente será un proceso muy exitoso.",0.0,87,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,Y le voy a pasar el micrófono al doctor Barriguete para que nos pueda hacer algunos comentarios.,0.0,17,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ," Muchas gracias, señor presidente.",0.0,4,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Le mandamos un agradecimiento por este apoyo en materia de la vacunación de este refuerzo para las maestras y los maestros que, estoy seguro, será de gran relevancia.",0.0,28,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Nosotros seguimos avanzando, 98 por ciento ya de vacunación en el estado. Es para nosotros muy importante para seguir con los procesos de desarrollo económico, desarrollo social, derivado precisamente también de todo lo que el turismo representa para Quintana Roo.",0.0,40,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Así que un saludo a todas y a todos. Y de nuevo agradecerle este apoyo para Quintana Roo. Y un aplauso para el señor presidente, para todo el equipo y por supuesto para las maestras y maestros que hoy se están vacunando aquí en Chetumal y en todo el estado.",0.0,50,18,01,2022
CARLOS MANUEL JOAQUIN GONZALEZ,"Muchas gracias, señor presidente.",0.0,4,18,01,2022
