Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente. Continuamos con el informe.",0.0,9,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Bien, en cuanto al periodo que estamos informando, del 21 de diciembre al 20 de enero, también se cumplieron estas nueve misiones con personal del Ejército, de la Armada y de la Fuerza Aérea, empleando 148 mil 537 hombres y mujeres de estas fuerzas.",0.0,44,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Estos servicios son: Operaciones para la construcción de la paz, Seguridad a instalaciones estratégicas, Operaciones para el combate al mercado ilícito de combustible, Plan de migración y desarrollo de la frontera norte-sur, Atención a desastres, entrega de enseres en 11 estados, la erradicación intensiva de plantíos ilícitos, la estrategia de fortalecimiento de las aduanas, la vigilancia del territorio, del espacio aéreo nacional, y también presencia en las instalaciones aeroportuarias. Vamos explicar cada una de ellas, a informar los resultados.",0.0,79,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En el periodo que estamos considerando en el informe, en estas Operaciones para la construcción de la paz se emplearon 93 mil 813 hombres y mujeres. Las actividades que se realizaron dentro de estas operaciones, bueno, la participación en las Mesas de Seguridad en los tres niveles que tenemos, nacional, estatal y regional, las operaciones de refuerzo en los nueve estados en los que se les dio prioridad para la reducción, para buscar la reducción de homicidios, y también en los 50 municipios con el mayor índice de homicidios dolosos.",0.0,90,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"También se está participando en las operaciones de la estrategia de protección ciudadana, operaciones específicas, también que tenemos en diferentes partes de la República, en los mandos especiales, el de Badiraguato y en La Laguna.",0.0,35,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En las Operaciones para la construcción de la paz en el Estado de México, Guerrero, Michoacán, también se constituyó una fuerza de tarea conjunta en este periodo para poder apoyar a las áreas donde se presenta un incremento en homicidios dolosos.",0.0,41,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En Operaciones de intercepción también se participa teniendo un despliegue de puestos militares de seguridad para poder hacer la intercepción terrestre, y en el área el sistema que tenemos de vigilancia aérea para evitar vuelos ilícitos, y patrullamientos en todo el territorio nacional.",0.0,43,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"La siguiente misión, Seguridad a instalaciones estratégicas, se proporcionaron seguridad a 322 instalaciones con cinco mil 303 hombres, siendo las instancias que tienen más seguridad. Bueno, Pemex con 133 instalaciones, Comisión Federal de Electricidad con 68, Aeropuertos y Servicios Auxiliares con 61, el SAT con 46.",0.0,46,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En Operaciones al combate ilícito de combustibles, dos mil 68 hombres y mujeres desplegados en este periodo. Las entidades con mayor incidencia, tenemos Estado de México, Guanajuato, Hidalgo, Michoacán, Puebla, Baja California y Tamaulipas. Se está dando la seguridad en los seis ductos prioritarios en mil 148 kilómetros.",0.0,48,20,01,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Los resultados de este periodo han sido 811 mil 875 litros de combustible recuperados, 659 tomas clandestinas localizadas por el personal, 84 vehículos asegurados, 20 detenidos, tres predios asegurados.",0.0,29,20,01,2022
