Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUISA MARIA ALCALDE LUJAN, Cinco minutos.,0.0,2,24,01,2022
LUISA MARIA ALCALDE LUJAN," Muchísimas gracias. Bienvenidos, medios de comunicación, a los que nos escuchan.",0.0,11,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Como ya lo comentó el presidente, en el proceso democrático que se está llevando a cabo en el ámbito laboral uno de los ejes fundamentales es garantizar la libertad y la democracia sindical. Por eso el día de hoy iniciamos este ejercicio inédito de transparencia, que consiste en que los diferentes candidatos, candidatas, a dirigir el sindicato de Pemex, a la secretaría general, uno de los más importantes del país, pueda exponer con plena libertad los diferentes aspectos de sus propuestas, de sus perfiles para que todos los trabajadores y trabajadoras de Pemex que nos escuchan puedan conocer, puedan tener mayor información y puedan ejercer un voto informado.",0.0,108,24,01,2022
LUISA MARIA ALCALDE LUJAN,"La mañanera es un espacio público que lo ven y escuchan miles de personas, así que les damos la bienvenida a los candidatos que hoy nos acompañan y también a los que estarán acompañando toda la semana.",0.0,37,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Son 25 mujeres y hombres en esta contienda, todos han sido invitados, y estarán participando cinco cada día. Vamos a iniciar el día de hoy y vamos a concluir el viernes.",0.0,31,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Las participaciones, como ya se comentó, se harán por orden alfabético y cada uno tendrá cinco minutos para exponer. Les pedimos respetar dos reglas básicas: la primera es ceñirse al tiempo, respetar el tiempo de los compañeros, y por supuesto también conducirse con respeto.",0.0,44,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Iniciamos con Luis Ricardo Aldana Prieto, por favor, adelante.",0.0,9,24,01,2022
LUISA MARIA ALCALDE LUJAN," Claro que sí, con mucho gusto.",0.0,6,24,01,2022
LUISA MARIA ALCALDE LUJAN, Muchísimas gracias a Luis Ricardo Aldana Prieto.,0.0,7,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Ahora le damos la bienvenida a María Cristina Alonso García, cinco minutos, adelante.",0.0,13,24,01,2022
LUISA MARIA ALCALDE LUJAN, Muchísimas gracias a María Cristina Alonso García.,0.0,7,24,01,2022
LUISA MARIA ALCALDE LUJAN,Ahora le damos la palabra a Daniel Aranda Padilla. Adelante.,0.0,10,24,01,2022
LUISA MARIA ALCALDE LUJAN, Agradecemos a Daniel Aranda Padilla.,0.0,5,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Ahora es el turno de Victoria Arredondo Lami, adelante, cinco minutos.",0.0,11,24,01,2022
LUISA MARIA ALCALDE LUJAN, Agradecemos a Victoria Arredondo.,0.0,4,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Y, finalmente, le damos la palabra a José Luis Cabrera Raga, adelante, por favor, adelante, cinco minutos.",0.0,17,24,01,2022
LUISA MARIA ALCALDE LUJAN, Muchísimas gracias a José Luis Cabrera y por supuesto a los cinco. No cabe duda que estamos viviendo tiempos interesantes.,0.0,20,24,01,2022
LUISA MARIA ALCALDE LUJAN,"Y les reconocemos que estén aquí porque no es sencillo pararse en esta tribuna y poder expresar en este breve tiempo cuáles son sus propuestas para dirigir el sindicato de Pemex, un sindicato fundamental, así que muchas gracias por el ejercicio, nos vemos mañana a partir de las ocho y media, cinco compañeras y compañeros nos acompañarán, igualmente en este ejercicio inédito.",0.0,62,24,01,2022
LUISA MARIA ALCALDE LUJAN,Muchas gracias a los medios de comunicación y a todos los presentes.,0.0,12,24,01,2022
LUISA MARIA ALCALDE LUJAN,Hasta luego.,0.0,2,24,01,2022
