Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PITAGORAS CRUZ SALAYA, Muy buenos días. Gracias por la oportunidad de estar aquí en la mañanera.,0.0,13,25,01,2022
PITAGORAS CRUZ SALAYA,"Y pues bueno, me voy a presentar, mi nombre es Pitágoras Cruz Salaya, son trabajador activo de la sección 48 originaria de Tabasco, con 44 años de edad, más no de antigüedad, como alguien.",0.0,34,25,01,2022
PITAGORAS CRUZ SALAYA,"Bueno, compañeros, yo siempre he creído firmemente que para poder ejercer cualquier cambio democrático dentro de nuestra institución sindical, primero, se tiene que educar al trabajador a través de sus derechos y de sus responsabilidades.",0.0,35,25,01,2022
PITAGORAS CRUZ SALAYA,"Actualmente nuestros trabajadores no conocen ni siquiera el trabajo colectivo ni muchos menos los estatutos, así que para que los programas o los proyectos puedan ser garantizados, para que puedan ser realmente una certeza de beneficio para la gran familia petrolera, se necesita primero este rubro, que todos los trabajadores tengan acceso a la información.",0.0,55,25,01,2022
PITAGORAS CRUZ SALAYA,"Dentro de la propuesta que podemos mencionar para nuestros compañeros trabajadores está el proyecto financiero que mucha falta le hace a la mayoría de los compañeros, promover la reactivación de las cajas departamentales y de acceso financiero con instituciones legalmente constituidas que muestren un verdadero proyecto de financiamiento o proyectos de necesidades comunes como para financiar los requerimientos diarios de un trabajador, así como poder tener la oportunidad de emprender algunos negocios propios o poder entrar en un sistema donde el trabajador pueda tener toda la confianza de que se le va a respaldar a través del sindicato, ya que muchas veces los trabajadores están en Buró de Crédito.",0.0,109,25,01,2022
PITAGORAS CRUZ SALAYA,"Proyecto laboral, regresar las reglas de los escalafones supernumerario, esto es para los transitorios, y derecho preferencial cuando este pueda comprobar y acreditar a los puestos de trabajo permanente o temporal, el fortalecimiento de derecho a la capacitación a través de los organismos existentes, como es el IMP, las universidades a través de talleres, cursos y prácticas directas en las instalaciones, talleres, aulas y cualquier otro medio que ayude a su desarrollo profesional.",0.0,73,25,01,2022
PITAGORAS CRUZ SALAYA,"Proyecto de vivienda, esto me lo encargaron mucho los trabajadores que se comentara, se buscará el acceso al crédito hipotecario, o fiscolight, como comúnmente se conoce, pero aquí hay un problema, la mayoría de los trabajadores está en Buró de Crédito, por lo que se plantea exponerle a la empresa que busquemos la alternativa con los bancos que dan estos créditos donde pueda ofrecerle al trabajador un crédito flexible donde no pida mucho el Buró de Crédito, ya que la gran mayoría de los trabajadores están en estas condiciones, que es un derecho a la vivienda, pero no pueden accesar simplemente por esta condición.",0.0,104,25,01,2022
PITAGORAS CRUZ SALAYA,"Igual, hacerle la petición al presidente que ojalá el Banco del Bienestar pueda también ofrecer a este tipo de crédito y también se pueda tener esa facilidad con este banco para que apoye a los trabajadores.",0.0,36,25,01,2022
PITAGORAS CRUZ SALAYA,"Y también, por último, que el trabajador pueda disponer de estos créditos directamente para la construcción de vivienda, que sean a su entera satisfacción y gusto.",0.0,26,25,01,2022
PITAGORAS CRUZ SALAYA,"En el proyecto con los compañeros jubilados tenemos el problema de que actualmente, incluso aquí en la mañanera se le presentó al presidente, que los jubilados después de tener su vida laboral y poder salir a disfrutar este plan de jubilación hay mucho problema, ya que actualmente no se les está reconociendo ni se les está facilitando su retiro que tienen, como el SAR. Entonces, aquí pedimos que por favor nuestra querida representante de la secretaria del Trabajo pueda hacer algo para ellos, para que no se les atrase su pago cinco, cuatro años.",0.0,94,25,01,2022
PITAGORAS CRUZ SALAYA,"Igual, tenemos un proyecto para ellos para que el sindicato pueda reactivar financieras o pueda platicar con las financieras y a estos no se les endeude a través de un engaño financiero que les hacen creer y desgraciadamente se endeudan.",0.0,40,25,01,2022
PITAGORAS CRUZ SALAYA,"Una petición especial para el presidente de la República, ya que esto es una queja que comúnmente tienen todos los trabajadores, es que pueda checar el impuesto sobre el trabajo, ya que actualmente todos los trabajadores que llegan a generar un extra para que pueda ser pagado no es una satisfacción ya porque desafortunadamente ya el trabajador ya se le va todo en impuesto.",0.0,64,25,01,2022
PITAGORAS CRUZ SALAYA,"Y, por último, combatir el hecho a la corrupción que hay dentro de nuestro sindicato, ya que actualmente, como decía el presidente, las riquezas mal habidas ya todos conocemos la historia que tenemos dentro de nuestro sindicato.",0.0,37,25,01,2022
PITAGORAS CRUZ SALAYA,"Y quiero hacer la entrega a la secretaria del Trabajo sobre una petición que me encargaron muchos trabajadores, que no queda muy claro el hecho de que haya algunos participantes al puesto de la secretaría general de nuestro sindicato que queda entre duda, ya que no… De acuerdo a nuestros estatutos, perdón, no cumplen con los requisitos, al ser personal de confianza, y nuestras leyes y nuestros estatutos mencionan que deben de ser trabajadores sindicalizados.",0.0,75,25,01,2022
PITAGORAS CRUZ SALAYA,"Metimos este documento de una inconformidad al Centro Federal de Registro federal para que se nos pueda aclarar, y a la propia comisión electoral del sindicato. Mi querida María Luisa, esperemos que usted nos pueda dar contestación y cheque este asunto, igual sobre otros personajes.",0.0,45,25,01,2022
PITAGORAS CRUZ SALAYA,"Desafortunadamente cinco minutos son muy pocos, señores. Hay muchos temas que tenemos en nuestro sindicato y con nuestra empresa, Petróleos Mexicanos.",0.0,21,25,01,2022
PITAGORAS CRUZ SALAYA,"Doy las gracias y si tienen la confianza de votar en un servidor, compañero trabajador, te lo voy a agradecer.",0.0,20,25,01,2022
PITAGORAS CRUZ SALAYA,No estamos en las mismas condiciones igualitarias y desafortunadamente nosotros no ocupamos los recursos del sindicato para hacer propaganda ni campaña.,0.0,21,25,01,2022
PITAGORAS CRUZ SALAYA,Gracias.,0.0,1,25,01,2022
