Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PABLO GONZALEZ DE LOS SANTOS, Buenos días.,0.0,2,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Antes que nada, quiero darle gracias a Dios por permitirme este espacio y también agradecer al presidente de la República, licenciado Andrés Manuel López Obrador, por permitir la democracia en el sindicato petrolero. De igual forma, con mucho respecto a la representante, la secretaria del Trabajo, Luisa María Alcalde, por hacer la democracia en nuestro país.",0.0,56,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"El tema importante que se vive hoy en día son las elecciones del sindicato petrolero, pero quiero darle a conocer a mis compañeros que este tema no se viene dando porque se hayan agotado los tiempos o porque haya sido la jubilación de Carlos Romero Deschamps, el tema del sindicato petrolero emana del T-MEC, los tratados que hay de naciones, de los países, nos enfocan y nace la reforma laboral.",0.0,70,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"La reforma laboral está enfocada y está inclinada en este momento sobre los sindicatos que están en México, la corrupción, y uno de los sindicatos que encabeza la corrupción es el sindicato petrolero, lo podemos ver en estas elecciones, no hay piso parejo, la manera de que ellos están participando.",0.0,50,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Yo me dirijo que ya estuvo aquí presente, ya se presentó Ricardo Aldana, el candidato de Romero Deschamps, que es un señor que no cumple con los requisitos. Está confirmado, se ha acredito que él es un trabajador de planta, pero de confianza, él no debe de estar participando en estas elecciones.",0.0,52,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Yo, por mi parte, hago un llamado al director de Petróleos Mexicanos que aclaren del porqué la paraestatal está interviniendo de esta manera en unas elecciones que solamente pueden participar los trabajadores sindicalizados.",0.0,33,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Ellos ahorita están moviendo los recursos a su favor, son ellos los que representan aún la corrupción que queda, esa, ahí del viejo México, que ellos son los que representan todavía lo que queda del PRI, pues fueron ellos los que hicieron el fraude, pues Ricardo Aldana, siendo el tesorero fue quien administró el fraude que se hizo de Pemexgate de más de mil 850 millones de pesos que recibieron directamente de la paraestatal y que eran para invertir en la campaña en el año 2000 para Labastida, que solamente Carlos Romero Deschamps entregó 500 millones y entre ellos se quedaron mil 350 millones que hoy los bienes y los recursos del sindicato petrolero están embargados con la paraestatal.",0.0,119,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Pero esto fue aprobado por los 36 secretarios generales que se encontraban en esta fecha y entre ellos estaba que era el secretario general de la sección 48, César Pecero Lozano. Ellos vienen trabajando en contubernio, pues quieren sacar ellos que supuestamente César Pecero es un candidato de izquierda. Eso no nos lo puede asegurar él porque fueron ellos los que también participaron para el fraude desde el 2006. Nos hemos mantenido nosotros en la lucha y no vemos ahorita que haya un piso parejo.",0.0,85,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Yo me dirijo también que se investigue a estas personas, qué ha pasado con el fraude que encabezan ellos del Pemexgate, no ha habido un avance, Carlos Romero Deschamps sigue teniendo el control del sindicato petrolero, no nos han dejado participar de la manera correcta que es, simplemente nos dieron una semana, no contamos con los recursos, con los medios, con los que ellos hoy se están moviendo.",0.0,68,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Este es el único espacio y le agradecemos al presidente de la República que nos haya permitido para estos cinco minutos que esos son los cinco minutos de nuestra campaña, que también de mis compañeros que son la disidencia.",0.0,39,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"También quiero señalar que estas personas fueron los que aprobaron la reforma energética y fue de una manera estratégica. Me enfoco en el campo petrolero en la zona de Veracruz y Tabasco. El Campo 5, presidente, fue una manera estratégica en el 2015 con Romero Deschamps, Ricardo Aldana y los que estaban al frente en las 36 secciones. Un campo de mucha producción que incluía, el campo cinco presidentes, El Campo, El Burro, La Venta, Ogarrios, y que son pozos que fueron perforados desde 1973, y que a la fecha para el 2015 estaban operando a un 83 por ciento de su capacidad inicial del 100 por ciento.",0.0,108,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Por órdenes y en contubernio del sindicato petrolero y quienes representaban Petróleos Mexicanos en ese momento, decidieron estrangular los pozos y matarlos para no producir y poder ellos asegurar la reforma energética y decir de esa manera que no había más producción. En este proyecto que hoy encabezamos a nivel nacional tenemos la capacidad nosotros de volver a reactivar esos pozos.",0.0,61,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Hacemos el llamado también a Pablo Gómez, al titular de la UIF, para que investigue a estas personas que están recibiendo dinero de empresas extranjeras, y lo puedo señalar directamente porque nosotros que estamos involucrados dentro de la política sindical sabemos.",0.0,41,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Soy representante de la sección 48, mi nombre es Pablo González, y tenemos prueba donde César Pecero Lozano está recibiendo dinero de los gerentes de Hally Burton para esta campaña, pues ellos tienen programado volver a entregar lo que es perforación a estas empresas.",0.0,44,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,También queremos pedirle al señor presidente que de la manera más atenta y con mucho respeto se pueda lograr esta democracia limpia.,0.0,22,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,"Invito a los compañeros que han conciencia de su voto, que es el momento, que no se dejen intimidar y que pongamos un voto de confianza en las personas que ustedes crean.",0.0,32,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,Vivan la dignidad.,0.0,3,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,Viva la democracia.,0.0,3,26,01,2022
PABLO GONZALEZ DE LOS SANTOS,Gracias.,0.0,1,26,01,2022
