Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FRED ANTONIO NAVARRO LOPEZ,": Buenos días. Buenos días, secretaria. Gracias por el espacio a nuestro señor presidente.",0.0,14,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Mi nombre es Fred Antonio Navarro López, vengo de la sección 35 de Tula, Hidalgo.",0.0,15,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,¿Por qué querer ser o por qué buscar ser secretario general del Sindicato de Trabajadores Petroleros de la República Mexicana?,0.0,20,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Por el hartazgo que existe entre el gremio petrolero de tanto acoso, de tanta represión que existe dentro del sindicato.",0.0,20,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Muchos de mis compañeros nos han buscado ahorita porque sabíamos que íbamos a estar aquí ante todos ustedes, y sí, precisamente porque hemos sufrido todos los trabajadores petroleros siempre acoso de los exfuncionarios o funcionarios sindicales actuales.",0.0,37,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Creemos que podemos rescatar nuestro sindicato, creemos ahorita que gracias al nuevo gobierno que ha venido apoyando la reforma y que podemos ahorita nosotros apoyar para rescatar nuestro sindicato.",0.0,29,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,Compañeros y compañeras petroleros de la República mexicana:,0.0,8,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Ya no queremos más funcionarios creídos, altaneros, prepotentes, déspotas, ineficientes, acosadores, represores, arrogantes dirigiendo nuestro sindicato, creo que llegó el momento de que realmente como trabajadores petroleros nos unamos y también como candidatos.",0.0,33,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Que realmente todos los candidatos que estamos aquí busquemos la unidad para rescatar nuestro sindicato, los verdaderos trabajadores que a diario estamos dentro de los centros de trabajo arriesgando nuestras vidas y dando todo para sacar adelante a nuestra empresa, los que estamos comprometidos con nuestro presidente, los que estamos comprometidos con nuestra empresa y con nuestro México.",0.0,58,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Es por eso que el día de hoy estamos aquí, para informarles a todos ustedes que lo que hemos venido haciendo nosotros durante todo este tiempo es precisamente buscar la unidad entre todos los candidatos y todos los aspirantes para rescatar nuestro sindicato, sin ambiciones, sin beneficios propios. Por eso, de verdad, compañeros, lo único que queremos nosotros es buscar la unidad entre todos los trabajadores petroleros y los candidatos.",0.0,70,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"El día de mañana, si Fred Navarro llega a dirigir el sindicato petrolero, que sabemos que así va a ser, trabajaremos de la mano y también haremos que nuestra empresa, la Dirección General de Petróleos Mexicanos, el jurídico y la Secretaría del Trabajo nos ayude a revisar todos los despidos injustificados, las rescisiones de contrato y las jubilaciones también prematuras por acoso y represión sindical.",0.0,65,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Es muy importante porque yo soy un vivo ejemplo de eso, que por pensar diferente que los actuales funcionarios sindicales nos hagan a un lado y que violenten nuestros derechos. El acabar con el acoso hacia nuestras compañeras, el acabar con todas las injusticias que ha habido en nuestro sindicato.",0.0,50,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"El día de mañana, primero Dios, tendremos un sindicato de puertas abiertas, en el cual vele por los derechos realmente de los trabajadores petroleros.",0.0,24,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,Necesitamos tener un sindicato transparente y libre de corrupción para que así saquemos adelante a México.,0.0,16,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Tendremos un sindicato también de campo y no un sindicato de oficina, donde nuestros funcionarios sindicales estén masticando nada más el chicle, como siempre lo hemos visto, y jugando en las computadoras.",0.0,32,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Llego el momento de que realmente el funcionario sindical y los secretarios generales estén en el área escuchando las necesidades de viva voz de los trabajadores petroleros. Y se los digo yo, porque yo soy un obrero en la refinería de Tula, que a diario estamos escuchando y viviendo las necesidades y las carencias de nuestra empresa.",0.0,57,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,Me ha tocado ver y estar trabajando y ver cómo se muere un compañero al lado de mí cuando explota alguna bomba o algún cambiador de calor dentro de nuestras refinerías.,0.0,31,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Es triste, es triste ver tantas necesidades que tenemos en la refinería, es triste ver que hay muchas carencias, pero ahorita en la actualidad todos culpan a nuestro gobierno actual y no es cierto, todas las carencias que hay dentro del sector petrolero ha sido gracias a los gobiernos anteriores. Si al día de hoy no hubiera llegado un presidente que pensara diferente y que hasta ahorita es cuando hemos visto realmente que han invertido en Petróleos Mexicanos.",0.0,78,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Anteriormente en Petróleos Mexicanos nosotros como obreros teníamos que ir a recoger chatarra para reparar las líneas, las bombas; ahorita que llega un presidente es cuando realmente vemos que están invirtiendo en Petróleos Mexicanos.",0.0,34,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Durante muchos años hubo mucha corrupción en Pemex, pero bueno, nuestra idea simplemente es ser alguien diferente en el Sindicato de Petróleos Mexicanos y acabar con toda la corrupción que existe en Pemex.",0.0,33,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,"Nuestro presidente está barriendo las escaleras de arriba para abajo, el día de mañana nosotros le ayudaremos y estaremos atrás de él trapeando para acabar con toda la corrupción, igual, las escaleras de arriba para abajo.",0.0,36,27,01,2022
FRED ANTONIO NAVARRO LOPEZ,Muchas gracias.,0.0,2,27,01,2022
