Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Con gusto, presidente. Buenos días. Compañeros, buenos días; muy buenos días tengan todas y todos ustedes.",0.0,16,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Pues, como indica el presidente, hay un tema que nos parece que es muy importante que lo cuidemos de la infodemia, de estos actos deliberados de distorsión de la información, no sólo por el interés en México, sino el interés en el mundo, de identificar con claridad cuáles son los criterios de las políticas públicas de vacunación, y es el tema de por qué, cuándo, cómo se prioriza a cada una de las subpoblaciones para que se logre el máximo aprovechamiento de las vacunas y la mayor equidad, la mayor justicia de distribución en el uso de las vacunas.",0.0,99,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Esto la Organización Mundial de la Salud lo analiza periódicamente y, como lo comentaré en unos minutos, produce un documento que orienta a los países, a los Estados miembros de la Organización Mundial de la Salud, desde luego incluido México, sobre cuál es la manera más adecuada de organizar los programas de vacunación.",0.0,53,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a ver primero como antecedente cómo estamos con la epidemia. Podemos en nuestra curva epidémica de agregación semanal de los casos estimados que, como indicamos el martes, abrimos con un incremento de 12 por ciento el domingo pasado; durante esta semana, que es la cuarta semana del año, estamos teniendo, como siempre, ese incremento se agregan los casos de la semana y posiblemente cerraremos la semana con cerca de 23 o 24 puntos porcentuales de aumento.",0.0,77,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Desde luego, sigue siendo un aumento, pero contrasta con el aumento de más de 100 puntos porcentuales que tuvimos en las primeras tres semanas del año y por eso decíamos que se desacelera la epidemia, todavía no está en reducción, pero está en desaceleración.",0.0,44,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Lo mismo ocurre con la hospitalización, hemos tenido un incremento a lo largo de estas semanas, a expensas principalmente de las personas no vacunadas y por eso hemos hecho una y otra vez el llamado a que se vacunen, 78 por ciento de las personas que están hospitalizadas por COVID no han sido vacunadas, no fueron vacunadas por razones diversas; en ningún caso por falta de acceso, eso es lo más impresionante, la mayoría es porque no se quisieron vacunar, temían vacunarse, les dijeron que la vacuna les podía hacer daño.",0.0,91,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Por eso es tan peligrosa la infodemia, porque causa daños a las personas, las confunde, les hace evitar una medida preventiva tan importante como la vacuna y luego se ven las consecuencias, y en algunos casos desafortunadamente pierden la vida dado que son personas que además tienen comorbilidades, hipertensión, diabetes, obesidad, etcétera, inmunosupresión y son precisamente quienes tienen que priorizarse en esa vacunación, como lo comentaremos.",0.0,66,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"En el corte más reciente tuvimos muy buena aplicación de vacunas, arriba de un millón, un millón 36 mil vacunas que fueron administradas.",0.0,23,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Y en la siguiente vemos que ya llevamos 164.8 millones de dosis utilizadas, que corresponden a 83 millones y medio de personas, ya solamente el siete por ciento están por completar su esquema de acuerdo al calendario de lo que les toca; mayormente son las personas más jóvenes, de 18 a 29 años, pero el resto en su mayoría han completado ya el esquema.",0.0,64,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Esto nos lleva a una cobertura, como hemos dicho, de 89 por ciento, muy por arriba de lo que en su momento, con la encuesta de salud y nutrición, estimamos que se iba a aceptar por parte de la población, que indicaba que sólo 75 por ciento la aceptaría. Hemos estado insistiendo en que se vacunen y ya 89 por ciento se han vacunado.",0.0,64,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a comentar específicamente sobre esto de la vacunación en personas menores de edad. Este documento que se muestra en pantalla se llama Mapa para priorizar el uso de vacunas de COVID-19, lo produce la Organización Mundial de la Salud, y un elemento importante de visualizar es: la Organización Mundial de la Salud es un organismo de carácter técnico especializado en salud que pertenece al sistema de Naciones Unidas.",0.0,69,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"La Organización Mundial de la Salud no emite mandatos legales jurídicamente vinculantes obligatorios para los Estados miembros, lo que hace es brindar asesoría técnica. En el caso de la vacunación tiene un grupo asesor estratégico, así se llama Grupo de Asesoramiento Estratégico en Inmunizaciones, y es un grupo de científicas y científicos de muy alto nivel. Muy orgullosamente podemos reconocer al doctor Alejandro Cravioto Quintana, un mexicano muy destacado en el tema de las vacunas, que es el presidente de este organismo, el presidente de este Grupo de Asesoramiento Estratégico, pero el doctor Cravioto, además, es miembro del Grupo de Asesoramiento en Vacunas de México desde antes de COVID y ahora durante COVID. Entonces, evidentemente conocemos a la perfección cuáles son las reflexiones que se van haciendo en la OMS porque son las mismas que se hacen en el grupo de asesoramiento en México.",0.0,144,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Había por ahí algunos comentarios también de desinformación que sugerían que al presidente le desinformamos o no le informamos y que no conocemos de estas realidades. Bueno, circunstancialmente, el doctor Cravioto es otro de mis maestros, con él me formé en el servicio social en investigación en 1994. Ayer por la noche hablé con él para verificar si nuestra interpretación de los documentos son los que corresponde, y me ratificó que efectivamente lo estamos interpretando bien.",0.0,76,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Bueno, este documento se publicó por primera vez el 20 de octubre de 2020 cuando empezaron a ser accesibles las vacunas; tuvo algunas revisiones y la revisión más reciente es el del 21 de enero reciente.",0.0,36,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,¿Qué dice este documento?,0.0,4,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"El documento básicamente nos identifica que el uso de vacunas tiene que adecuarse a las condiciones epidemiológicas que se van viviendo en el mundo en general y en particular cada país las adapta a su realidad epidemiológica, y debe considerar la inequidad social, tanto nacional como regional como del mundo.",0.0,50,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,¿Por qué razón?,0.0,3,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Porque la inadecuada distribución de la riqueza obviamente lleva a una distribución —también inadecuada— de los recursos para la salud, incluidas las vacunas, a menos que los gobiernos tomen una decisión consciente de proteger a las personas más vulnerables socialmente, que desde luego son también las personas que pueden estar en mayor riesgo de tener consecuencias adversas de la enfermedad COVID porque tienen menos recursos para resolverlo.",0.0,67,28,01,2022
HUGO LOPEZ-GATELL RAMIREZ,"Este elemento, la recomendación de la OMS, a nosotros nos gusta en particular porque, como hemos mencionado, la política general de este gobierno busca quitar la desigualdad, busca compensar cualquier elemento de carencia con políticas sociales para lograr que todo mundo tenga acceso y desde el inicio, enfáticamente el propio presidente lo ha dicho cada semana cuando tenemos las reuniones de trabajo sobre COVID, estamos buscando que nadie se quede atrás, y aunque la vacuna puede ser muy difícil de llevar a comunidades apartadas, estamos haciendo un esfuerzo muy grande. Por cierto, agradecimiento a la Marina y a la Secretaría de la Defensa, la Guardia Nacional, al IMSS, a todas las instituciones que ayudan a que eso ocurra.",0.0,118,28,01,2022
