Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOB FABIAN TRINIDAD MARTINEZ, Este libro representa parte de la historia del sindicalismo petrolero y para contribuir a ese acervo le quiero hacer entrega de este reglamento de labores de los años de 1940 al señor presidente el licenciado Andrés Manuel López Obrador.,0.0,39,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Buenos días, al señor presidente, a la secretaria del Trabajo, medios de comunicación, compañeras y compañeros petroleros que tienen la oportunidad de estarnos viendo. Me presento, soy Job Fabián Trinidad Martínez, un trabajador de la sección 33, en Tampico, Tamaulipas.",0.0,40,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Como proyecto nacional, nosotros proponemos trabajar juntos con la empresa y el gobierno para poder consolidar la transformación de un nuevo sindicalismo en México.",0.0,24,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"La historia, desde la fundación del sindicato petrolero y la expropiación petrolera nos deja en claro y bien sustentado que desde sus principios y tácticas de lucha debemos administrar, proponer, salvaguardar y gestionar todos los derechos y obligaciones de los trabajadores.",0.0,41,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"El gremio petrolero representa un asunto de soberanía y seguridad nacional y junto con Petróleos Mexicanos es la columna vertebral de la economía del país, de ahí la importancia de ser un gran aliado del gobierno federal y evitar todo riesgo.",0.0,41,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"También tenemos en claro que vivimos en un mundo globalizado donde el T-MEC representa y exhorta a un mejor manejo en materia energética, pues el mundo observa las decisiones de este país por ser un productor petrolero.",0.0,37,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Como trabajadores petroleros sabemos el diagnóstico completo de afectaciones y eso nos permite el poder decir que se requiere de un cambio sindical, y esto lo podemos hacer a través de una analogía donde todo sembrador sabe que para hacer una mejor cosecha se debe de arrancar de raíz toda hierba mala y limpiar así el terreno para poder poner las nuevas semillas.",0.0,63,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Nuestro proyecto coincide con la visión política de este gobierno federal, de que nadie está por encima de la ley.",0.0,20,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Y la jubilación es una solución pacífica y sin confrontación que se debe aplicar a la brevedad.,0.0,17,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Las votaciones petroleras locales dejaron muchos temas para atender, pero como la libertad no se implora, se conquista, hemos sido victoriosos al estar aquí a pesar de tantas afectaciones y daños que se nos han dado como trabajadores petroleros en nuestros derechos.",0.0,42,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Nuestro proyecto se sustenta en varios puntos:,0.0,7,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,La defensa de la plantilla laboral con agotamiento de materia de trabajo y atender todas las afectaciones contractuales en base a los respectivos reglamentos y sus anexos.,0.0,27,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Gestionar la intervención del Sistema Nacional de Salud, a fin de ayudar a garantizar lo pactado legalmente entre la empresa y laboratorios mexicanos, que son los que dan el surtimiento médico.",0.0,31,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Gestionar proyectos de construcción y seguir considerando el mantenimiento a las diversas instalaciones, así como la nueva refinería de Dos Bocas, que beneficiará a compañeros activos, transitorios y jubilados, estos últimos como instructores, y todo bajo un equilibrio entre la política de austeridad.",0.0,43,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Licenciado Andrés Manuel López Obrador:,0.0,5,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Le propongo reactivar la petroquímica, activar campos exploratorios y recuperar la flota marítima petrolera de la mano de su gobierno.",0.0,20,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"También tenemos que considerar que es importante mandar un mensaje a los funcionarios actuales. Ellos, en su calidad de locales o nacionales, tenemos que hacerles ver algo con mucho respeto y atentamente. Por dignidad y respeto a todas las familias que representamos los trabajadores petroleros, se tienen que retirar, se tienen que jubilar los que hayan cumplido con la cláusula 134 del contrato colectivo de trabajo, es un respeto a nosotros como trabajadores.",0.0,73,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Señor presidente:,0.0,2,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Aceptamos el reto de trabajar juntos bajo los preceptos de la Cuarta Transformación. No somos advenedizos, tenemos años de lucha y el trabajador petrolero sólo busca el bienestar familiar basándose en la democracia que usted impulsa.",0.0,36,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Compañeros socios petroleros:,0.0,3,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Juntos trabajemos sin simulaciones y con respeto a los derechos.,0.0,10,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Viva el sindicato petrolero.,0.0,4,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Viva México.,0.0,2,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,"Quisiera terminar nada más haciendo saber que como proyecto traemos todo lo que sustenta lo expresado en este momento, quisiéramos haber podido entregárselo al señor presidente en persona junto con el libro, que es la relación de labores de 1940.",0.0,40,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Se los vamos a hacer entrega a la secretaria del Trabajo para que si pueda hacer favor de hacérselo llegar al señor presidente.,0.0,23,28,01,2022
JOB FABIAN TRINIDAD MARTINEZ,Gracias.,0.0,1,28,01,2022
