Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ABRAHAM VAZQUEZ PICENO," Buenos días, presidente; buenos días a todas y todos.",0.0,9,31,01,2022
ABRAHAM VAZQUEZ PICENO,"A continuación, daré los números y la forma de pago que vamos a llevar a cabo en la Coordinación Nacional de Becas para el Bienestar ‘Benito Juárez’. En la próxima lámina van a poder ver las metas a las que la Coordinación Nacional de Becas llegará en el primer cuatrimestre del año en sus tres programas.",0.0,56,31,01,2022
ABRAHAM VAZQUEZ PICENO,"En el programa de educación básica tenemos estimado llegar a 3.8 millones de familias, generando una inversión social de más de 12 mil millones de pesos. En estas 3.8 millones de familias vamos a atender a cerca de 5.6 millones de niñas y niños que estudian preescolar, primaria y secundaria en escuelas públicas de todo el país.",0.0,57,31,01,2022
ABRAHAM VAZQUEZ PICENO,"En el caso de nuestra beca universal de educación media superior vamos a llegar a 4.1 millones de jóvenes en todo el país que estudian el nivel bachillerato en escuelas públicas escolarizadas de todo el país, generando una inversión social, sólo en este cuatrimestre, de más de 13 mil millones de pesos.",0.0,52,31,01,2022
ABRAHAM VAZQUEZ PICENO,"En el programa de educación superior vamos a atender a cerca de 409 mil jóvenes inscritos en universidades, sobre todo aquellas que están ubicadas en localidades indígenas y de muy alta marginación, generando una inversión social en este cuatrimestre de 3.9 mil millones de pesos.",0.0,45,31,01,2022
ABRAHAM VAZQUEZ PICENO,"Este es nuestro calendario de pagos para todo el año; es decir, en el caso de educación básica en el mes de febrero, a partir de la segunda semana vamos a pagar los meses de enero, febrero, marzo y abril, recordando que para este año cada mes pagaremos 840 pesos, por lo cual en febrero estaremos depositando y generando pagos en territorio por tres mil 360 pesos por familia.",0.0,69,31,01,2022
ABRAHAM VAZQUEZ PICENO,"El segundo pago de este programa va a ser de dos bimestres, que corresponden junio y julio y lo… perdón, mayo y junio, y lo vamos a pagar entre los meses de junio y julio, vamos a depositar mil 680 pesos.",0.0,41,31,01,2022
ABRAHAM VAZQUEZ PICENO,"Y, por último, el último cuatrimestre del año, que conforma septiembre, octubre, noviembre y diciembre lo vamos a pagar en el mes de noviembre.",0.0,24,31,01,2022
ABRAHAM VAZQUEZ PICENO,"En el caso de media superior y superior el mes de enero es un mes típicamente vacacional para estos niveles educativos, es decir, a partir de febrero vamos a pagar los meses de febrero, marzo, abril y mayo. También generaremos un depósito de tres mil 360 pesos, el segundo pago lo vamos a pagar en junio y julio también, que corresponde a junio y julio, mil 680 pesos, y en el mes de noviembre vamos a pagar septiembre, octubre, noviembre y diciembre, también generando un pago por tres mil 360 pesos por joven.",0.0,93,31,01,2022
ABRAHAM VAZQUEZ PICENO,"Y en la beca de educación superior en este mes de febrero también pagaremos cuatro meses, que corresponden a nueve mil 800 pesos. Recordar que esta beca corresponde a dos mil 450 pesos mensuales por joven que estudia el nivel licenciatura. Pagaremos también los meses de febrero, marzo, abril y mayo; y el segundo pago corresponderá a cuatro mil 900 pesos, que corresponderán a los meses de junio y julio; y, por último, los meses de septiembre, octubre, noviembre y diciembre los pagaremos, pagaremos también nueve mil 800 pesos por el cuatrimestre.",0.0,92,31,01,2022
ABRAHAM VAZQUEZ PICENO,Sería todo. Muchas gracias.,0.0,4,31,01,2022
