Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO MEJIA BERDEJA," Con su permiso, señor presidente, secretaria, secretarios.",0.0,7,20,10,2022
RICARDO MEJIA BERDEJA,"Vamos a dar cuenta del informe Cero Impunidad. Del 13 al 19 de octubre se realizaron ocho mil 982 detenciones por todas las fuerzas de seguridad, federales y estatales por delitos del fuero común y federal, y se presentaron ante el Ministerio Público siete mil 761 conforme al Registro Nacional de Detenciones.",0.0,52,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. Informar que, en estos días, en cumplimiento al tratado de extradición firmado entre México y Estados Unidos, se fueron enviadas mediante a extradición a aquél país cuatro personas de nacionalidad mexicana. En este caso, Mercedes ‘N’ fue requerida por una corte federal en el Distrito Central de California por delitos de asociación delictuosa y lavado de dinero. Esta persona se dedicaba a enviar a los Estados Unidos el dinero producto de la venta de drogas por parte de una organización criminal de Sinaloa.",0.0,84,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar que, en otro tratado de extradición, en este caso con Argentina, fue enviado a aquél país al haber sido requerido por el Juzgado Nacional de lo Criminal, a Sergio ‘L’ por los delitos de defraudación fiscal y administración fraudulenta. Y como lo informábamos, otras tres personas de nacionalidad mexicana fueron remitidos a diferentes cortes y juzgados de Estados Unidos por delitos de homicidio, robo y también por portación de armas de fuego. Son tres personas: Francisco ‘H’, Juan ‘S’ y Octaviano ‘J’.",0.0,85,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. Informar de la detención de dos presuntos extorsionadores de líneas de transporte nacional de pasajeros afiliados a las Cámara Nacional de Autotransporte de Pasajeros y Turismo. Esto es relevante porque, mediante una petición a la cámara, se presentó testimonios de denuncias que en Guerrero y en Veracruz estaban siendo extorsionados, pidiendo cuotas para transporta pasajeros.",0.0,56,20,10,2022
RICARDO MEJIA BERDEJA,"Incluso hubo en Guerrero detonaciones de armas de fuego a un autobús; afortunadamente no hubo consecuencias fatales. Pero se hizo una investigación en la que participaron las fiscalías de Veracruz y Guerrero, las unidades antisecuestros, la Coordinación Nacional Antisecuestros y la Secretaría de Marina, y se pudo identificar a los sujetos que estaban realizando la extorsión. Se trata de José Diego ‘N’ y Tito ‘N’, uno de ellos detenido en Guerrero y otro más en Veracruz. Ya ambos están vinculados a proceso penal.",0.0,83,20,10,2022
RICARDO MEJIA BERDEJA,"Estas personas mediante mensajes a personal de las líneas de autotransporte solicitaban cuotas altas para poder realizar las actividades, incluso hubo una detonación a un autobús entre el 26 y 28 de septiembre, esto fue en la carretera Chilpancingo-Acapulco. Insistimos, no hubo consecuencias fatales.",0.0,44,20,10,2022
RICARDO MEJIA BERDEJA,"Pero también se les detectó que en baños de una terminal de autobuses de pasajeros dejaban mensajes identificándose como parte de un grupo criminal y pidiendo que se les entregara por cada línea de pasajeros una cantidad. Sin embargo, ambos sujetos ya fueron detenidos, ya están vinculados a proceso y se pudo operar contra este modelo de extorsión.",0.0,58,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar que, en el caso del feminicidio de la diputada Gabriela Marín, acontecido en Cuernavaca, Morelos, en días pasados, ya hay un detenido, no imputado todavía por el delito de homicidio, pero sí se pudo determinar que este sujeto, José Manuel ‘N’, robó las pertenencias de la víctima y del chofer que la acompañaba, y fue vinculado a proceso con la medida cautelar de arraigo domiciliario. Y se continúa con la investigación sobre este tema, se insiste en que la principal línea de investigación tiene que ver hasta ahora con un móvil de carácter políticos.",0.0,97,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar que, en el caso de un presunto feminicida de una menor, se detuvo el pasado 16 de octubre a Moisés ‘N’ por hechos ocurridos el pasado 13 de octubre en el municipio de Nezahualcóyotl. Esta persona ingresó a un domicilio en la colonia Las Maravillas y ultrajó y asesinó a una menor de nueve años. Y este sujeto fue detenido por parte de la fiscalía del Estado de México, la Coordinación Antisecuestros y el grupo de trabajo antihomicidios de la Secretaría de Seguridad y Protección Ciudadana, ya está detenido el perpetrador y ya está vinculado a proceso penal.",0.0,101,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar la detención de dos exfuncionarios del Fideicomiso para el Desarrollo Urbano Municipal de Ensenada, ellos son acusados por los delitos de conspiración, daño en propiedad ajena y otros delitos por hechos ocurridos el pasado mes a agosto en la carretera Tecate-Valle de Guadalupe. A ambos sujetos se les imputa el haber incendiado un vehículo en la carretera Tecate-Valle de Guadalupe con el que además se bloqueó la carretera.",0.0,71,20,10,2022
RICARDO MEJIA BERDEJA,"Aquí queremos subrayar que en los diferentes hechos que ha habido en algunos estados, como Baja California, Jalisco, Guanajuato o Chihuahua donde, con ánimo de generar temor en la sociedad y ocasionar también la obstrucción de operativos de carácter policial, se ha usado la quema de vehículos. En prácticamente todos los casos hay detenidos, hay procesados, y muchos de ellos están en penales de carácter federal.",0.0,66,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar la resolución de diferentes casos de homicidios en el estado de Quintana Roo. Este caso, uno fue reaprehendido en el municipio de Playa de Carmen, Solidaridad, esto fue un homicida, un masculino Edy ‘D’.",0.0,37,20,10,2022
RICARDO MEJIA BERDEJA,"También otro más por un homicidio en Cancún, Quintana Roo, hay un detenido, Rodrigo ‘M’, que está pendiente su vinculación.",0.0,20,20,10,2022
RICARDO MEJIA BERDEJA,"Y también están detenidos ocho sujetos masculinos y una femenina como presuntos responsables de un homicidio con arma de fuego también en Cancún, Quintana Roo, que son acciones de la Fiscalía General de Quintana Roo.",0.0,35,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar que, como aquí se ha señalado, no hay impunidad, y queremos destacar que el gobierno de Veracruz, encabezado por el gobernador Cuitláhuac García y la fiscal pudieron actuar para detener e imputar a cuatro elementos de la policía del estado de Veracruz; entre ellos, el exdirector de Operaciones, por su presunta participación en el delito de desaparición forzada de personas cometido en agravio de Juan Alán ‘N’, alias ‘el Archi’, que a su vez se encargaba de la comandancia de la policía vial en aquella entidad. Este sujeto, Alán ‘N’, fue detenido junto con tres elementos más de la corporación y ya está vinculado a proceso penal.",0.0,110,20,10,2022
RICARDO MEJIA BERDEJA,"Aquí podemos ver también a la víctima, también de nombre Alán, pero este es Juan Alán, y también un elemento de la fuerza de seguridad. Ya está detenido el principal sospechoso junto con tres más.",0.0,35,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar de un evento que hubo en el estado de Tamaulipas, se trata de la privación de la libertad y posterior liberación del alcalde de Guerrero, Coahuila, Mario Zedillo, y nueve personas más. Estos hechos fueron generados el pasado 14 de octubre y la liberación se llevó a cabo el día 15 de octubre en un marco de colaboración interinstitucional entre autoridades de Coahuila, la Secretaría de la Defensa Nacional, la Guardia Nacional, la Coordinación Antisecuestros, la fiscalía de Tamaulipas y la Comisión de Búsqueda de Tamaulipas.",0.0,89,20,10,2022
RICARDO MEJIA BERDEJA,"Esta persona fue privada de la libertad en Nuevo Laredo cuando venía de un evento en Oaxaca. Y afortunadamente el operativo, que consistió fundamentalmente en un gran despliegue de la Secretaría de la Defensa Nacional, motivó a que fuera liberado el alcalde junto con familiares y colaboradores. Él está bien. Aquí se puede apreciar el lugar donde fue privado de la libertad y el lugar donde habría sido liberado. Comentar que la investigación sigue y que ayer hubo una detención en la zona centro de Coahuila por parte de la fiscalía de justicia de ese estado y están con la línea de que probablemente algunos de los detenidos participaron en este evento.",0.0,112,20,10,2022
RICARDO MEJIA BERDEJA,"Siguiente. Informar que en esta semana la Secretaría de la Defensa Nacional detuvo a 50 personas, aseguró diferentes armas, equipo balístico y drogas en diferentes puntos de la geografía nacional. Destaca, Irapuato, Guanajuato con 18 personas detenidas, donde se aseguraron ocho armas largas, armas cortas y diferentes equipos para la actividad criminal y droga.",0.0,54,20,10,2022
