Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Con su permiso, señor presidente, doctor Alcocer, doctor Cortés. Muy buenos días a todas y a todos.",0.0,17,25,10,2022
ZOE ROBLEDO ABURTO,"Presentamos el informe semanal de lo que hemos hecho en estos primeros estados. Como lo ha comentado el señor presidente, la intención es seguir avanzando hacia otras entidades federativas, sobre todo interviniendo en estos cuatro rubros: de rehabilitación de la infraestructura, el equipamiento, completar las plantillas de personal y desde luego el asunto de los insumos, particularmente el abasto de medicamentos.",0.0,61,25,10,2022
ZOE ROBLEDO ABURTO,"Y empezamos el día de hoy con Nayarit. En Nayarit, el primer estado de este proceso, se cuenta con mil 79 médicos especialistas y generales, que equivalen a un 97 por ciento de la cobertura necesaria para ese estado; y mil 542 compañeras y compañeros de enfermería, que equivale a un 98 por ciento.",0.0,54,25,10,2022
ZOE ROBLEDO ABURTO,La inversión en Nayarit es de 907 millones de pesos: 237 millones para infraestructura y 669.8 millones de pesos para equipamiento.,0.0,21,25,10,2022
ZOE ROBLEDO ABURTO,"En el caso de Nayarit, de este presupuesto, se tiene un avance del ejercicio del 91 por ciento.",0.0,18,25,10,2022
ZOE ROBLEDO ABURTO,Y el abasto alcanzó esta última semana un nivel histórico para el estado de Nayarit y para muchas entidades del 99.7 por ciento de las recetas surtidas en este estado.,0.0,30,25,10,2022
ZOE ROBLEDO ABURTO,"Actualmente estamos trabajando también en coordinación con las otras instituciones en los temas del huracán Roslyn en los hospitales que ya son de IMSS-Bienestar, tanto en Acaponeta, Rosamorada y en Tecuala.",0.0,31,25,10,2022
ZOE ROBLEDO ABURTO,"En el caso de Tlaxcala, la cobertura de personal, también con una prospectiva muy positiva, con mil 154 médicos especialistas y generales, un 91 por ciento de la cobertura necesaria y de personal de enfermería un equivalente al 92 por ciento, que son mil 350 compañeras y compañeros de enfermería.",0.0,50,25,10,2022
ZOE ROBLEDO ABURTO,"La inversión del caso de Tlaxcala es de 453.7 millones de pesos que se están ejerciendo desde el 29 de julio, que empezamos a trabajar en ese estado: 157.4 millones de pesos para infraestructura y 296.3 millones de pesos en la compra de equipamiento. Y aquí hay que mencionar, ese equipo desde luego para los hospitales, pero también en muchas ocasiones para el primer nivel instrumental, fonodetectores de latidos fetales, cosas muy básicas. Ahí se tiene un avance de ejercicio de este presupuesto del 79 por ciento.",0.0,87,25,10,2022
ZOE ROBLEDO ABURTO,Y también en Tlaxcala ya pasamos de un 81 por ciento a 93 por ciento en el surtimiento de recetas para el abasto de medicamentos.,0.0,25,25,10,2022
ZOE ROBLEDO ABURTO,"En el caso de Colima, también tenemos en estos hospitales en donde ya estamos trabajando, se tienen contemplados 292 millones de pesos de inversión, de los cuales se están destinando 130 millones de pesos para infraestructura y 161 millones de pesos para equipamiento. El avance del ejercicio de esta inversión en salud es del 64 por ciento.",0.0,57,25,10,2022
ZOE ROBLEDO ABURTO,"Respecto al tema de personal, contamos con 641 médicos especialistas y generales, un equivalente a 82 por ciento de la cobertura; y en personal de enfermería 919, equivalentes a 88 por ciento de cobertura. Hace unos días, con la presencia de la gobernadora Indira Vizcaíno, se llevó a cabo también una basificación de más de 300 personas que ya laboran ahora con el programa IMSS-Bienestar.",0.0,65,25,10,2022
