Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente. Buenos días tengan y todos.",0.0,10,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Continuamos con los actos de justicia, señor presidente. Como fue su instrucción, la Secretaría de Seguridad y Protección Ciudadana y la Secretaría de Gobernación mantenemos las acciones para gestionar libertades anticipadas y amnistías de adultos mayores con alguna enfermedad, indígenas, mujeres, personas con discapacidad o víctimas de tortura. Se trata, en la mayoría de las veces, de personas humildes que no cometieron delitos graves, pero que permanecen recluidas porque no pudieron pagar un abogado o les faltó un traductor o han enfrentado adversidades.",0.0,83,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Como lo hacemos, colaborando con los jueces competentes, con el Poder Judicial, con la Fiscalía General de la República, con las fiscalías estatales en aquellos trámites que estén por ahí atorados, y de manera que puedan volver con sus familias.",0.0,40,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Luego del informe que dimos a conocer el pasado 15 de septiembre, cuando dos mil 685 personas obtuvieron su libertad mediante preliberaciones y amnistías, nos es grato señalar que 674 más personas, personas más, se encuentran fuera de los centros penitenciarios a esta fecha.",0.0,44,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"De este total, de 674, 765 fueron preliberaciones, se trata de 33 mujeres, 23 adultos mayores, 114 personas con enfermedades crónico-degenerativas, 12 indígenas, 464 que cumplieron con los requisitos de la ley.",0.0,32,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Como es el caso, como un ejemplo, de un adulto mayor de 66 años que obtuvo su libertad, padece de diabetes mellitus, hipertensión arterial y problemas renales Al interior del penal donde estaba se dedicaba a la elaboración de fustes para monturas. Hhuérfano de padre, desde niño sufrió bullying y complejos siempre, a los 15 años desertó de la escuela para trabajar y apoyar a su madre. Es primo delincuente y cumplía una sentencia de seis años ocho meses.",0.0,79,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Además, se sumaron 29 amnistías de 20 personas en pobreza de otras dos mujeres, dos indígenas, dos personas con discapacidad, dos víctimas de intimidación y una víctima, una persona víctima de discriminación.",0.0,32,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Esto quiere decir que del 1º de julio al 26 de octubre de este año tres mil 359 personas han obtenido su libertad, 95 por ciento por el beneficio de libertad anticipada y 4.9 por amnistía. Esto es importante en el trabajo con la Secretaría de Gobernación, que participa en este trabajo. De esta manera avanzamos en el proceso de transformación impulsado por el presidente López Obrador bajo la perspectiva humanista y de justicia, y recordando la frase de Martin Luther King sobre que la paz no es simplemente la ausencia de tensión sino es la presencia de justicia.",0.0,99,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También, por otro lado, aprovechamos para informar sobre los avances del programa de regularización de autos usados de procedencia extranjera, una estrategia que nos fue encomendada por el señor presidente para contribuir a la seguridad, a la certeza patrimonial, a la legalidad y el mejoramiento urbano.",0.0,46,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En este sentido, este programa tiene dos grandes beneficios:",0.0,9,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En primer lugar, dar bienestar a las familias que hacen uso legítimo de estos vehículos.",0.0,15,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y, en segundo, contribuir a una mayor seguridad porque el registro vehicular desincentiva su uso para cometer delitos, pues además impacta en el mejoramiento urbano; como lo anunció el señor presidente, los recursos que se obtengan de la regularización, serán invertidos en tapar baches, en la pavimentación de vialidades en donde se aplica.",0.0,53,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"A octubre de 2022, la regularización de vehículos opera con éxito a través de 133 módulos distribuidos en 14 estados de la república.",0.0,23,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,¿En cuáles estados?,0.0,3,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En Baja California, Baja California Sur, Chihuahua, Coahuila, Durango, Jalisco, Michoacán, Nayarit, Nuevo León, Puebla, Sinaloa, Sonora, Tamaulipas y Zacatecas.",0.0,20,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En total, ya se han regularizado 701 mil 804 vehículos. Y de marzo a octubre, a este día, al día de ayer, 26, y se han obtenido más de mil 754 millones de pesos para pavimentación en estos estados.",0.0,39,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Entonces, esta buena acogida que tuvo el programa dio un plazo, una ampliación del plazo hasta diciembre, y cada vez se unen más entidades a este esfuerzo conjunto.",0.0,28,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En el tercer tema, que, por su instrucción, señor presidente, aprovechar para dar a conocer los avances del Tianguis del Bienestar. Recordarles que en este esfuerzo que tenemos el privilegio de coordinar participan la Secretaría Particular de la Presidencia, la Secretaría de la Defensa Nacional, la Secretaría de Hacienda y Crédito Público, a través del Instituto para Devolverle al Pueblo lo Robado, el SAT y también las aduanas de México, la Agencia Nacional de Aduanas de México, además de la Secretaría de la Función Pública, de la Guardia Nacional y los gobiernos estatales y municipales, y también el equipo de la secretaría, como decíamos, encabezado por Iván Escalante.",0.0,108,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"El objetivo es entrega bienes nuevos, de primera necesidad, a los habitantes de los municipios con mayores desigualdades en el país, ubicados en cuatro lugares: Guerrero, Veracruz, Chiapas y Oaxaca; además de beneficiar a los 31 municipios afectados por el huracán Agatha, a finales del pasado mes de mayo.",0.0,49,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Estos bienes, recordar que se decomisan, se incautan al crimen y se distribuyen de manera gratuita a todas las familias que viven en estos municipios.",0.0,25,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"La puesta en marcha de esta acción también ha hecho posible la desocupación o cancelación de contratos de renta o de bodegas, lo que ha generado un poco más, en poco más de un año ahorros para el erario público de alrededor de 298 millones de pesos.",0.0,47,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Estamos ahora en Oaxaca y en noviembre concluiremos esta etapa. Decir que van más de seis millones 791 mil 298 bienes nuevos entregados hasta la fecha, ahora en noviembre concluiremos esta etapa.",0.0,32,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y si nos permite, señor presidente, solamente un video para concluir.",0.0,11,27,10,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,Muchas gracias.,0.0,2,27,10,2022
