Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.0,3,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a informar, como todos los jueves, sobre el tema de seguridad pública y la sección de Cero Impunidad.",0.0,20,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También, nos acompaña la maestra Tatiana Clouthier, secretaria de Economía, que vamos a dar a conocer una información.",0.0,18,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y Carlos Torres, secretario técnico, va a informar sobre los resultados de nuestra política económica, de cómo vamos en la economía en este tiempo, cuáles son los resultados que se tienen. Esto lo hacemos los jueves también.",0.0,37,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, empezamos con Ricardo.",0.0,4,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, como Tatiana es parte de los buenos resultados que se han obtenido en materia económica, vamos primero a que Carlos informe de cómo vamos en materia económica y luego le damos la palabra a Tatiana.",0.0,36,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, informarles que recibí un escrito de Tatiana en donde me comunica que desea retirarse del gobierno, no así de la lucha por la transformación del país, y respetamos su decisión. Insistimos para que se quedara, pero es una mujer con convicciones, con criterio y ha tomado esta decisión de dejar la Secretaría de Economía.",0.0,55,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Quisimos hacerlo aquí para agradecerle mucho por su contribución, por su apoyo. No puede ella salir por la puerta de atrás. Nos ha apoyado y, repito, vamos a sentir su ausencia, pero, como lo hemos platicado, ella va continuar siempre con sus convicciones, defendiendo la justicia e impulsando el desarrollo político democrático de nuestro país.",0.0,55,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,No sé si quieras…,0.0,4,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," De acuerdo, sí.",0.0,3,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien. Entonces, abrimos. Una, dos, tres, cuatro, cinco, ahí vamos, empezamos.",0.0,12,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ahora, ahora, vamos, todo, todo va.",0.0,6,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Pues Ricardo podría contestar a tu pregunta.,0.0,7,06,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Decirles que hemos avanzado mucho, mucho, en el castigo a quienes cometen delitos de feminicidio. Los días 20 de cada mes se informa y hay una tendencia a la baja en el delito de feminicidio en el país y constantemente se está atendiendo este delito.",0.0,45,06,10,2022
