Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días. Ánimo, ánimo.",0.0,4,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como les informé ayer, vamos a estar poco tiempo debido a que vamos a una gira de supervisión de las refinerías que tenemos en el país, que las estamos rehabilitando y es muy importante.",0.0,34,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay buenas noticias, una muy buena es que se detuvo la inflación, hoy temprano dio a conocer el dato el Inegi y ya no hay mayor crecimiento inflacionario. Esa es muy buena noticia para el pueblo, para la gente y yo espero que hacia adelante siga la disminución. Ya llegó a su techo, a su límite máximo y va a empezar a bajar, ese es mi pronóstico.",0.0,67,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo otro que quiero informarles es que ya tomé la decisión de nombrar a Raquel Buenrostro secretaria de Economía, quien ahora se desempeña como directora del SAT, que ha tenido muy buen trabajo porque no ha disminuido la recaudación.",0.0,39,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo creo que lo que cuentan son los hechos y es una servidora pública ejemplar, le tenemos toda la confianza y ella va a ser la próxima secretaria de Economía.",0.0,30,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Vamos poco a poco, poco a poco.",0.0,7,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ella va a estar como secretaria de Economía, es maestra en Economía, tiene licenciatura en matemáticas de la UNAM y maestría en Economía de El Colegio de México. Y ya pues se conoce, porque ha estado aquí con nosotros en todo lo que tiene que ver con el SAT; de todas maneras, les vamos a entregar su historia pública.",0.0,59,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Muy bien, pues adelante. Uno, tú, dos, tres, cuatro. Empezamos por ahí.",0.0,12,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, se está haciendo la investigación sobre estos lamentables hechos en San Miguel Totolapan, en la Tierra Caliente, en Guerrero; está abierta la investigación conociendo todo lo que sucedió, el enfrentamiento, los que participaron.",0.0,34,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y sí, también hoy en la mañana se presentaron fragmentos de un video que una de las personas vinculadas a estos grupos dio a conocer.",0.0,25,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Puedo comentarles que pronto vamos a tener ya información y espero que se castigue a los responsables, que se detenga y se castigue a los responsables, eso es lo que se está haciendo. No puedo, por razones lógicas, no puedo dar más información, pero sí se está actuando porque no se permite en nuestro gobierno la impunidad; no es como antes, que actuaban delincuentes, se cometían asesinatos, masacres y no había castigo; entre otras cosas, porque había acuerdos con las autoridades.",0.0,81,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Parezco disco rayado, pero como no contextualizan en el Reforma, no se habla que el secretario de Seguridad Pública de Felipe Calderón, García Luna, está en la cárcel en Estados Unidos por proteger presuntamente a la delincuencia organizada; no se dice que era el hombre fuerte del presidente y que protegía a la delincuencia.",0.0,54,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sin exagerar, si se actuara con el mismo sensacionalismo con que actúa ahora el Reforma, se podría hasta decir: el gobierno estaba en manos de delincuentes, ellos mandaban. Un asunto gravísimo.",0.0,31,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ya no es así, por eso tenemos cada jueves, como ayer, la sección de Cero Impunidad, y vamos a seguir recabando información y aclarando y aplicando la ley en todos estos casos.",0.0,33,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Es que no es asunto de autoridades locales, es un asunto gravísimo en donde pierden la vida 20 personas. Eso no está para acuerdos, eso está para investigación y para que se aplique la ley.",0.0,35,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, y se ha estado atendiendo la zona. Yo les comentaba que hace como un mes se negaron órdenes de cateo, un juez, y ya cuando se autorizaron pues ya no se encontró nada; al contrario, hubo resistencias de ciertos grupos de pobladores a la presencia del Ejército.",0.0,48,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, hemos estado ahí y estamos ahí.",0.0,7,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, sí, y está Seguridad Pública del estado y la procuraduría, y ellos llevan a cabo la investigación y están haciendo un buen trabajo.",0.0,24,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, ¿Para qué?,0.0,2,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, es natural que esto suceda, porque se trata de cambios en los contenidos de libros de texto y el conservadurismo siempre se ha opuesto a la educación pública, a los contenidos de los libros, solamente cuando ellos los hacen, como pasó durante todo el periodo neoliberal, que los contenidos los contrataban con empresas que daban asesoría, empresas vinculadas a intelectuales conservadores, intelectuales orgánicos, que ganaban muchísimo dinero en eso.",0.0,70,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y fue el tiempo en que abandonaron la historia, hicieron a un lado el civismo, la ética.",0.0,17,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y más atrás, pues el PAN, que seguramente son los que están detrás de esto, se opusieron durante el gobierno del presidente López Mateos a que se entregaran los libros de texto para primaria; hubo hasta movilizaciones del conservadurismo en contra de los libros de texto.",0.0,46,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Afortunadamente no lograron su propósito, y gracias a eso pues se editaron libros de texto gratuitos para todo el país. Yo creo que cuando entré a primaria estaban saliendo, creo que un año antes habían empezado a entregarse los libros de texto allá, en mi pueblo. Entonces, la gente mayor sabe la historia de cómo empezaron a entregarse los libros gratuitos de texto para primaria en contra de la derecha, de los conservadores.",0.0,73,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y luego, se avanzó con lograr que se entregaran de manera gratuita los libros de secundaria. Esa es una historia también que me llena de satisfacción, de orgullo, porque estaba yo llegando a la presidencia de un partido y se hizo una reforma electoral en los tiempos de Zedillo, y aumentaron el dinero que se le entrega a los partidos; entregaban, no sé, en aquel entonces, esto es 1995, 96, como cinco millones de pesos al año, y de repente con la reforma aumentan al partido que yo ya dirigía, el presupuesto a 200 millones de pesos, de cinco millones a 200.",0.0,102,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, nos opusimos, y me dijo el presidente Zedillo: ‘Ya le voy a ver cobrando el cheque’, y tomamos una decisión: ¿Qué hacemos con el dinero?, y seguimos utilizando el mismo dinero, los cinco millones, y el resto se utilizó para tres cosas: para crear un fideicomiso y ayudar a huérfanos y a viudas de compañeros que habían perdido la vida luchando por democracia durante el régimen de Salinas, hubo muchos muertos.",0.0,72,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, parte de ese dinero era para entregar becas a familiares de los que habían perdido la vida luchando por la democracia, otra parte fue para poner casas en la frontera en defensa de migrantes, para protección a migrantes; y otra parte fue para comprar los libros de secundaria, porque entonces, repito, no eran gratuitos, y entregar gratuitamente los libros de secundaria en los municipios en donde nosotros gobernábamos.",0.0,69,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como hicimos esto y les molestó mucho, estaba un señor Limón en la Secretaría de Educación Pública, Miguel Limón, y Zedillo presidente, tomaron la decisión a partir de ahí de entregar de manera gratuita los libros de secundaria a todos los estudiantes.",0.0,42,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, me genera mucha satisfacción contarlo.",0.0,6,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De modo que tenemos que ver quiénes están promoviendo estos amparos. Y vamos a defender la necesidad de que se reformen los contenidos de los libros, porque ya no estamos en el periodo neoliberal o neoporfirista.",0.0,36,07,10,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya queremos que la educación sea científica, pero básicamente humanista, que haya un tronco común, en donde nada humano nos sea ajeno; y a partir de ahí, científicos y matemáticos y biólogos, pero un tronco común.",0.0,36,07,10,2022
