Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARIA LUISA ALBORES GONZALEZ," Gracias. Buenos días. Con su permiso, presidente. Buenos días compañeras y compañeros periodistas, y también saludo a quienes nos escuchan o nos ven.",0.0,23,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"Voy a ser breve para compartir un poco en qué vamos con este sitio de exposición para tener, en este caso, un manejo de residuos sólidos.",0.0,26,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"Primero, compartirles que este fue un compromiso de campaña de nuestro presidente, el licenciado Andrés Manuel López Obrador, y sobre esto hemos venido trabajando.",0.0,24,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Aquí este es un esquema, es un esquema muy breve en qué vamos. Y sí me gustaría compartir lo siguiente:",0.0,24,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En el 97 inicia un depósito de residuos sólidos urbanos. Tenemos un problema a nivel de la basura de tres municipios, tenemos Cosoleacaque, Minatitlán y Veracruz, más de medio millón de habitantes que viven en estos tres municipios, obviamente se generan muchos residuos sólidos, y había sido un problema porque hablábamos de un tiradero a cielo abierto.",0.0,57,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En el 2019 hay trabajos de compensación, compactación y cobertura de residuos, ya no se ve en sí el sitio como se veía.",0.0,23,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En 2021 ya hay recursos federales para poder hacer un trabajo. Compartirles que el planteamiento es: se hace un cierre ordenado de lo que es este… Lo que era un basurero a cielo abierto, pero tenemos que contar con un espacio para hacer el manejo de residuos sólidos, esto es importante porque muchas veces la población no quiere tener cerca un basurero que le sea un foco de contaminación.",0.0,69,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En este sentido, decirles que técnicamente se revisó este basurero a cielo abierto. Tenía muchos focos de contaminación. Se está buscando un espacio coherente técnicamente, pero también la población nos debe de ayudar en un sentido de tener el espacio adecuado a nivel de distancia para poder tener el sitio a donde colocaremos el nuevo manejo de residuos sólidos.",0.0,59,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"La siguiente. Hemos estado en diálogo permanente, trabajamos muy de la mano con Conacyt para hacer toda la cuestión de investigación y de la propuesta, y del proyecto, capacitaciones, formación, pero también con el gobierno del estado de Veracruz, y tenemos que trabajar muy de la mano también con las autoridades de los tres municipios.",0.0,55,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"Compartirles también que el tema de lo que es las basuras, los residuos sólidos, a nivel de las autoridades lo manejan los municipios. Esto nos lleva también que como federación tengamos que tener una incidencia y un trabajo con las autoridades municipales, la del estado de Veracruz y la federación.",0.0,50,18,11,2022
MARIA LUISA ALBORES GONZALEZ,Estos con parte de los avances que tenemos.,0.0,8,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"La siguiente. Y acá estos son los avances, aquí podemos ver en unas fotos de junio, de octubre. Voy a mencionar brevemente qué es lo que llevamos en este tiempo:",0.0,30,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"Para el 2022, caso Minatitlán, 720 viajes de residuos acarreados, 960 horas de tractor, 320 horas de excavadora, 40 metros cúbicos de lixiviados extraídos.",0.0,24,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En el caso de Cosoleacaque, 902 metros cúbicos de residuos conformados, 640 horas de tractor, 70 por ciento de avance en plataforma.",0.0,22,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"En Coatzacoalcos, el 100 por ciento de despalme de vegetación, el 50 por ciento de avance de taludes y el 40 por ciento de avances de plataforma.",0.0,27,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"Estos trabajos de saneamiento, está planteado terminarlos en enero de 2023, podemos ver algunas imágenes que dan un cambio de junio a octubre.",0.0,23,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"La siguiente. Y estas son las acciones que tenemos en curso. El planteamiento y el compromiso que tenemos con nuestro presidente y también con estas tres poblaciones es que en 2023 nosotros podamos finiquitar la parte de la propuesta, o sea, un cierre ordenado.",0.0,44,18,11,2022
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Aquí podemos ver, es la clausura, pero el cierre ordenado con monitoreo, y también el poder emprender en el nuevo espacio, hacer un manejo de lo que es el residuo, sólido.",0.0,35,18,11,2022
MARIA LUISA ALBORES GONZALEZ,Con eso terminaría. Gracias.,0.0,4,18,11,2022
