Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO MEJIA BERDEJA," Un sábado, sí.",0.0,3,24,11,2022
RICARDO MEJIA BERDEJA," Con su permiso, señor presidente.",0.0,5,24,11,2022
RICARDO MEJIA BERDEJA,"Es el informe Cero Impunidad que, como aquí se ha referido, es el trabajo del Gobierno de México, Secretaría de la Defensa Nacional, Marina, Secretaría de Seguridad, Guardia Nacional, Centro Nacional de Inteligencia, en coordinación con las 32 secretarías de Seguridad Pública del país, las fiscalías y la Fiscalía General de la República. Lo que aquí se da cuenta son avances, detenciones, procesos penales, absoluciones y todo aquello que incida en la justicia y en el combate a la impunidad.",0.0,80,24,11,2022
RICARDO MEJIA BERDEJA,"En el periodo que se informa, del 17 al 23 de noviembre, se detuvo por parte de todas las fuerzas de seguridad del país a siete mil 102 personas, quienes a su vez fueron presentados ante el Ministerio Público seis mil 710, cuando a juicio de la autoridad policial había elementos para presentarlos ante el Ministerio Público.",0.0,57,24,11,2022
RICARDO MEJIA BERDEJA,"Esto se lleva en el Registro Nacional de Detenciones, que es un registro que se instituyó en este gobierno, da transparencia, evita violaciones a derechos humanos y también permite llevar un registro puntual de todo el trabajo policial en el país.",0.0,41,24,11,2022
RICARDO MEJIA BERDEJA,"En este periodo se da cuenta que, en cumplimiento del tratado de extradición firmado entre México y Estados Unidos, se entregó al gobierno de aquél país a tres personas requeridas por distintas cortes, por presunta responsabilidad en delitos que ameritan su extradición.",0.0,42,24,11,2022
RICARDO MEJIA BERDEJA,"Uno de ellos, Alexis ‘F’, fue requerido en la Corte de California por asociación delictuosa y delitos contra la salud.",0.0,20,24,11,2022
RICARDO MEJIA BERDEJA,"En el caso de Francisco ‘A’ fue requerido por el condado de Sutter, en el estado de California, por el delito de homicidio en primer grado.",0.0,26,24,11,2022
RICARDO MEJIA BERDEJA,"Y en el caso de Guillermo ‘P’, fue también en California requerido en el condado de Yolo, por el delito de homicidio.",0.0,22,24,11,2022
RICARDO MEJIA BERDEJA,Los tres ya fueron remitidos a las autoridades estadounidenses.,0.0,9,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. Aquí se informa de la ejecución de una orden de aprehensión por parte de la Fiscalía Especializada en Materia de Delincuencia Organizada de la Fiscalía General de la República en reclusión en contra de José Ranulfo ‘N’, alias ‘el Rani’, quien es la cabeza de la organización delictiva Familia Michoacana, en Taxco, Guerrero, y cuya área de influencia es entre Taxco, Guerrero, y también municipios aledaños en el Estado de México.",0.0,72,24,11,2022
RICARDO MEJIA BERDEJA,Por este delito de delincuencia organizada y secuestro agravado se le ejecutó la orden de aprehensión por hechos ocurridos en abril de 2018.,0.0,23,24,11,2022
RICARDO MEJIA BERDEJA,"Este sujeto, a su vez, se encuentra recluido desde el pasado mes de noviembre de 2020 una vez que fue detenido por el Ejército Mexicano acusado de diferentes delitos; entre otros, de los delitos de homicidio y extorsión. Y particularmente a él se le acusa de los homicidios cometidos contra dos sacerdotes, un paramédico de la organización Cruz Roja Internacional y de varios policías preventivos. Lo que resta es que se le vincule ahora por estos delitos ya ante un juez federal.",0.0,82,24,11,2022
RICARDO MEJIA BERDEJA,"Y esta orden de aprehensión que se ejecuta relevante, porque este sujeto es de los que amagan recurrentemente a juzgadores para tratar de presionar beneficios indebidos y pedir traslado. Él está en un centro de reclusión federal y ha estado litigando para tratar de ser enviado nuevamente a un penal en Guerrero, lo que ocasionaría generación de violencia.",0.0,58,24,11,2022
RICARDO MEJIA BERDEJA,"Es parte de la organización delictiva de la Familia Michoacana que encabezan los hermanos Johnny ‘N’, alias ‘el Pez’, y José Alfredo ‘N’, alias él Fresa’, que a su vez son buscados por los hechos de San Miguel Totolapan, donde son presuntos autores del homicidio de 20 personas en ese lugar.",0.0,51,24,11,2022
RICARDO MEJIA BERDEJA,"‘El Rani’, así le apodan, es parte de esta organización delictiva. Y su hijo, Roberto Carlos ‘N’, alias ‘el Pelón’, está prófugo y a él se le imputa también la participación en los homicidios antes referidos.",0.0,36,24,11,2022
RICARDO MEJIA BERDEJA,"Estos sujetos se especializan, entre otras situaciones, en emboscadas a miembros de las fuerzas de seguridad y también se les relaciona con el atentado en contra la presidenta municipal de Pilcaya, Guerrero, y otros hechos de violencia también en la zona del Estado de México.",0.0,45,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. También se informa que el pasado 19 de noviembre fueron detenidos por policías del Estado de México, en coordinación con la Fiscalía General de Justicia de aquella entidad, ocho personas, seis masculinos y dos femeninas, tras realizar una acción operativa derivado de trabajo de alertamiento por parte del C5 del Estado de México.",0.0,54,24,11,2022
RICARDO MEJIA BERDEJA,"Estos sujetos fueron detenidos. Se les aseguraron armas largas y cortas, más de mil cartuchos y vehículos. Y dentro de los detenidos se encuentra Rigoberto ‘N’, alias ‘el Rigo’, encargado presuntamente de una célula de este grupo delictivo bajo las órdenes de David ‘N’, alias ‘Chuck Norris’, presunto jefe de plaza en el municipio de Tlatlaya, en el Estado de México.",0.0,61,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. También fueron detenidos, a partir de diferentes actos de investigación e inteligencia por parte de la Fiscalía del Estado de México, 11 personas de nacionalidad colombiana por diversos delitos; entre ellos, por la extorsión bajo el modelo de préstamos denominados ‘gota-gota’.",0.0,42,24,11,2022
RICARDO MEJIA BERDEJA,"Esto es muy importante, y aquí alertamos a la ciudadanía de no caer en este tipo de modelos, de supuestos préstamos de una organización llamada ‘gota-gota’, que opera en diferentes lugares, que una vez que entregan el dinero, prácticamente es un calvario para las víctimas y recurren a actos de violencia, intimidación e incluso homicidios.",0.0,55,24,11,2022
RICARDO MEJIA BERDEJA,"Pues bien, fueron detenidas estas 11 personas por los delitos contra la salud, extorsión, encubrimiento por receptación, cohecho y requerimiento ilícito de pagos, después de cinco acciones operativas en los municipios de Tecámac, Chalco, Ixtapaluca y Amecameca.",0.0,37,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informamos de la vinculación a proceso después de ser detenido en flagrancia Patrick ‘C’, de nacionalidad canadiense, quien fue detenido por fuerzas municipales de seguridad en Tulum, una vez que había accionado armas de fuego contra dos personas.",0.0,40,24,11,2022
RICARDO MEJIA BERDEJA,"Al momento de tratar de someterlo, este sujeto disparó contra un agente municipal en la cara y cuello, por lo que el elemento policial perdió la vida. Fue detenido y ya fue vinculado a proceso por homicidio calificado en contra de un policía municipal y homicidio en grado de tentativa en contra de ocho agentes más.",0.0,56,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informamos de la detención del exalcalde de Copainalá, Chiapas, por la Fiscalía General de Justicia de aquella entidad. Se le ejecutó la detención y ya fue decretado el auto de formal prisión en contra de este exalcalde, quien está procesado bajo el anterior sistema penal, por eso se le decreta un auto de formal prisión. Y se le acusa de lo delito de privación ilegal de la libertad en su carácter de plagio o secuestro, y despojo cometido en aquel municipio.",0.0,83,24,11,2022
RICARDO MEJIA BERDEJA,Siguiente. También informamos de la detención de diferentes generadores de violencia por parte de la Secretaría de la Defensa Nacional y la Guardia Nacional:,0.0,24,24,11,2022
RICARDO MEJIA BERDEJA,"Del periodo que se informa, se logró la detención de 35 personas; entre otras, en Monterrey dos personas con una arma larga y 12 kilógramos de fentanilo.",0.0,27,24,11,2022
RICARDO MEJIA BERDEJA,"En Cedral, San Luis Potosí, tres personas detenidas, entre ellas a un menor de edad con cuatro armas largas, 980 cartuchos, chalecos tácticos, placas balísticas y tres vehículos, entre otros elementos.",0.0,31,24,11,2022
RICARDO MEJIA BERDEJA,"En Hermosillo, Sonora, se cumplimentó una orden de reaprehensión entre las autoridades ministeriales del estado de Sonora y también del estado de Sinaloa, Es detenido José ‘N’, alias ‘el Shefo’, quien se había fugado del penal de Aguaruto, en Sinaloa, el pasado 17 de octubre de 2019. Él está vinculado a la organización delictiva Los Cazadores, que a su vez es un brazo del cártel del Pacífico. Es un generador de violencia en los municipios de Caborca, Pitiquito, Altar, Trincheras, en Sonora. Ya fue ejecutada la orden de reaprehensión por su fuga.",0.0,92,24,11,2022
RICARDO MEJIA BERDEJA,"En Santa María del Oro, Jalisco, hay dos detenidos con dos armas largas.",0.0,13,24,11,2022
RICARDO MEJIA BERDEJA,"En Tepeji del Río hay ocho personas detenidas por diferentes eventos delictivos, que dañaron a su vez tres vehículos oficiales.",0.0,20,24,11,2022
RICARDO MEJIA BERDEJA,"En Tecate fue detenida una persona, Francisca ‘N’, con 22.4 kilógramos de metanfetamina.",0.0,13,24,11,2022
RICARDO MEJIA BERDEJA,"En Ojo Caliente, Zacatecas, una persona detenida, cinco liberadas con cuatro armas largas y vehículo y cartuchos.",0.0,17,24,11,2022
RICARDO MEJIA BERDEJA,"En Cuernavaca fueron cinco personas detenidas, con un menor de edad entre ellos, un arma larga, dos armas cortas, entre otros objetos.",0.0,22,24,11,2022
RICARDO MEJIA BERDEJA,"En Lagos de Moreno, Jalisco, fueron detenidos dos agresores, uno de ellos fue abatido por fuerzas de seguridad. Se les detuvo con dos armas largas, un vehículo y cargadores.",0.0,29,24,11,2022
RICARDO MEJIA BERDEJA,"En Nogales, Sonora, fue detenido una persona con casi 79 mil dólares que no pudo acreditar la legal posesión de este dinero.",0.0,22,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. Siguiendo con el caso del operativo permanente en la zona comprendida entre Michoacán y Jalisco, a partir del caso de San José de Gracia, ocurrido en febrero del presente año, fueron detenidos dos personas en Marcos Castellanos, que es la cabedera municipal de San José de Gracia, fueron abatidos en un enfrentamiento cinco personas, y en Tizapán El Alto, fueron detenidos siete agresores con cinco armas largas.",0.0,68,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. A partir del despliegue permanente que lleva la Secretaría de la Defensa Nacional y la Guardia Nacional en esta región, a partir de los hechos de San José de Gracia, se ha logrado la detención de 85 generadores de violencia que pertenecen a los grupos delictivos cártel Jalisco Nueva Generación y al grupo denominado Pájaro Sierra, todo esto en los municipios de Tizapán El Alto, Manzanilla de la Paz, Santa María del Oro, San José de Gracia, Marcos Castellano, Mazamitla, a quienes se les han asegurado armas largas, cargadores, cartuchos, vehículos y demás elementos. Todos vinculados a proceso penal. Esta es la zona de la operación.",0.0,107,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. Por parte de la Secretaría de Marina se informa que en el Aeropuerto Internacional de la Ciudad de México fue detenida una persona proveniente de Bogotá, Colombia, a quien se le aseguraron seis kilos de la sustancia conocida como cloruro de bencilo, que es utilizado para la elaboración de drogas sintéticas. La persona fue detenida, el material asegurado y fue puesto a disposición de la Fiscalía General de la República.",0.0,71,24,11,2022
RICARDO MEJIA BERDEJA,"Siguiente. También informar que dentro del despliegue que se lleva en el corredor de Guaymas y Cajeme, en Sonora, elementos de la Marina, en coordinación con la fuerza presente, la Coordinación Nacional Antisecuestros y la policía municipal, a partir de patrullajes y órdenes de cateo ejecutadas en dos inmuebles detuvieron a tres personas que pertenecen a la organización delictiva La Plaza, a quienes se les aseguraron inmuebles, dosis de droga, dosis de marihuana, armas cortas, armas largas, camuflaje, ponchallantas y, algo importante, 157 chips de celulares que utilizan para diferentes operaciones delictivas.",0.0,92,24,11,2022
RICARDO MEJIA BERDEJA,"Aquí hemos insistido también en cómo, para los grupos criminales, operar con este tipo de instrumentos para secuestro, extorsión, operaciones delictivas, le facilitan sus operaciones los llamados chips prepago.",0.0,29,24,11,2022
