Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE MENDOZA SANCHEZ, Señor presidente. Buenos días a todas y todos.,0.0,8,03,11,2022
JORGE MENDOZA SANCHEZ,"Quisiera informarles ―si pasamos, por favor a la presentación― que Banobras se ha consolidado como la principal herramienta financiera del gobierno federal y el quinto banco más grande del sistema financiero mexicano, inclusive por encima de HSBC y Scotiabank. En términos de la cartera directa de Banobras, equivale a dos por ciento del producto interno bruto de nuestro país y el siete por ciento del sistema bancario de México.",0.0,69,03,11,2022
JORGE MENDOZA SANCHEZ,"Esto se ha logrado a través de una colocación histórica en estos cuatro años de gobierno por 463 mil millones de pesos. Estos créditos se han dirigido a proyectos prioritarios, pero, más importante, se han dirigido a las regiones que más lo necesitan en nuestro país: el 36 por ciento se ha dirigido a la región sur sureste, el 35 por ciento a la región centro y el resto a la región norte. Con esto, la cartera de crédito se ha incrementado en 22 por ciento desde que llegamos en esta administración, llegando ya a una cartera de crédito directa e inducido de 615 mil millones de pesos.",0.0,108,03,11,2022
JORGE MENDOZA SANCHEZ,"Ahora, todo esto se ha logrado manteniendo una posición financiera sólida en la institución. El índice de capitalización se encuentra muy por encima del regulatorio, es decir, el banco cuenta con fortaleza financiera y mucha capacidad de crédito hacia adelante.",0.0,40,03,11,2022
JORGE MENDOZA SANCHEZ,"Asimismo, nuestra cartera de crédito ha tenido un muy buen comportamiento. Nuestro índice de morosidad se encuentra en 1.9 por ciento que está por abajo del 2.22 por ciento del promedio de la banca comercial.",0.0,35,03,11,2022
JORGE MENDOZA SANCHEZ,"Ahora, entrando al financiamiento para los estados, hemos logrado desembolsar 216 mil millones de pesos a 15 estados para financiamiento de obra nueva, nueve estados para refinanciamientos o reestructuras y dos fideicomisos estatales.",0.0,33,03,11,2022
JORGE MENDOZA SANCHEZ,"Los principales estados que han recurrido a Banobras ha sido Veracruz, Quintana Roo, Ciudad de México, Oaxaca, Nuevo León, Morelos, Estado de México y Jalisco. Los estados que no han pedido un crédito es porque no han tenido una autorización de su congreso local o bien han decidido por otros esquemas de financiamiento.",0.0,53,03,11,2022
JORGE MENDOZA SANCHEZ,"Hemos hecho también un esfuerzo importante para financiar en nuestro esfuerzo de inclusión financiera a más municipios en nuestro país. Llevamos ya créditos en 207 municipios, de los cuales 130 municipios no contaban con un crédito de largo plazo. Están ubicados en 24 estados de nuestro país y 90 de ellos en la zona sur, sureste.",0.0,56,03,11,2022
JORGE MENDOZA SANCHEZ,"Para muchos otros municipios también hemos llevado asistencia técnica, en esto abarcamos 31 estados, 350 de estos municipios son en la zona sur sureste y los hemos ayudado con asesorías legales, financieras, modernizaciones de sus operaciones de agua, modernización de sus operaciones para el catastro y evaluación de proyectos.",0.0,49,03,11,2022
JORGE MENDOZA SANCHEZ,"Dentro de estos financiamientos para municipios tenemos un programa para infraestructura social que se llama FAIS. Aquí hemos otorgado tres mil 235 millones de pesos a 155 municipios donde se han beneficiado más de 11 millones de personas y los proyectos son de agua potable, alcantarillado, drenaje, infraestructura básica, educativa, de salud y urbanización.",0.0,54,03,11,2022
JORGE MENDOZA SANCHEZ,"Banobras también está participando en todos los proyectos prioritarios de esta administración de manera directa o indirecta, y les voy a mencionar algunos. Hemos desembolsado 300 mil millones de pesos, incluyendo lo que ha hecho Banobras y el Fondo Nacional de Infraestructura, como lo comentó Jorge Nuño.",0.0,47,03,11,2022
JORGE MENDOZA SANCHEZ,"En la parte de soberanía energética estamos participando en la refinería de Tula y en la refinería Salina Cruz, hicimos un programa para proveedores de Pemex y también participamos en la adquisición de Deer Park.",0.0,35,03,11,2022
JORGE MENDOZA SANCHEZ,En Telecomm estamos financiando el proyecto Internet para Todos para llevarle a toda la ciudadanía internet a más tardar 2024.,0.0,20,03,11,2022
JORGE MENDOZA SANCHEZ,"En salud estamos financiando hospitales del IMSS y el Issste en Tláhuac, en Mérida y en Bahía de Banderas.",0.0,19,03,11,2022
