Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Buenos días a todas, a todos, compañeros de la prensa, a todos los que nos ven a través de las redes sociales.",0.0,22,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Vamos a comenzar esta sección, ‘Quién es quién en las mentiras de la semana’, vamos con la primera.",0.0,18,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Mentiras sobre un supuesto préstamo del Banco Interamericano de Desarrollo para pagar programas sociales. La semana pasada, diversos medios de comunicación publicaron que el gobierno mexicano estaba requiriendo dinero al Banco Interamericano de Desarrollo para financiar programas sociales, lo cual es completamente falso, la Administración Pública Federal, que encabeza el presidente López Obrador, ha financiado los programas sociales, escuche bien, utilizando recursos provenientes del combate a la corrupción, de eliminar gastos superfluos y acabar con los privilegios de los altos funcionarios públicos, además de la eficiencia recaudatoria que ha sido impulsada durante este sexenio como nunca antes.",0.0,97,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,La Secretaría de Hacienda y Crédito Público aclaró que México no he tenido una negociación ni ha solicitado préstamo al Banco Interamericano de Desarrollo ni de ningún otro organismo internacional para financiar programas sociales.,0.0,34,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"No obstante, Latinus, Infobae, El Economista, MVS Noticias, 24 Horas, entre otros, difundieron la mentira a pesar de que el propio banco desmintió que haya dado un préstamo a México. Pero pues ya sabemos que así se las gastan.",0.0,39,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Pero vamos con la siguiente, que es bastante divertida. Javier Lozano Alarcón difunde noticias falsas para pegarle al gobierno de López Obrador, Javier Lozano Alarcón, el exsecretario de Trabajo de Felipe Calderón, cuya principal labor fue despedir a 44 mil trabajadores electricistas de la Compañía de Luz y Fuerza del Centro.",0.0,51,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Lozano lo mismo coordina campañas para el PRI, el PAN, el Prian, bueno, es ajonjolí de todos los moles. Difundió hace unos días un video con camiones de carga incendiados con el que ironizó. Aquí en pantalla vemos su tuit. Pero el video corresponde a Colombia, lo cual fue consignado por Telesur TV. Y se trató de un grupo de hombres armados que incendiaron el lunes pasado siete camiones de carga que circulaban por una de las principales carreteras del departamento colombiano del norte de Santander.",0.0,86,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Este personaje de la oposición es uno de los mayores propagadores de noticias falsas, odio, racismo, clasismo y discriminación. Por cierto, nada más como breviario, esa foto de Emilio Lozoya comiendo en el restaurante Hunan fue proporcionado por Lozano a una periodista que lo difundió, dicho por ella, en un programa radiofónico.",0.0,52,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Bueno, hasta aquí esta, pero vamos con la siguiente a la que titulamos Siembra mentiras y cosecharás aplausos de la oposición. En vísperas de la marcha del 27 de noviembre, empezó a circular una mentira más para pegarle al presidente de la República, que supuestamente un funcionario cercano al presidente López Obrador habría recibido millones de dólares de ‘el Mayo’ Zambada, lo cual es una vil mentira.",0.0,67,30,11,2022
ANA ELIZABETH GARCIA VILCHIS,"Una de las figuras de la oposición en las redes, el señor Marietto Ponce, todo un profesional en el arte de mentir, viralizó esa nota a través de su cuenta de Twitter. Muchas horas después, ya que se había difundido por muchos lados, bajó su mensaje.",0.0,46,30,11,2022
