Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente.",0.0,5,08,11,2022
JOSE RAFAEL OJEDA DURAN,"Siguiendo con el despliegue territorial que tenemos las fuerzas federales, 206 mil 339 elementos, de los cuales es el 82 por ciento del total y 45 mil 507 son el apoyo logístico que se le da a los de arriba.",0.0,40,08,11,2022
JOSE RAFAEL OJEDA DURAN,"Estos son los diferentes aviones, vehículos, embarcaciones, etcétera, que se utilizan en todo este despliegue para la seguridad pública.",0.0,19,08,11,2022
JOSE RAFAEL OJEDA DURAN,"El personal desplegado en esa fecha del 21 de octubre al 7 de noviembre tenemos, en estos siete eventos, tenemos 41 mil 513 elementos de las Fuerzas Federales.",0.0,28,08,11,2022
JOSE RAFAEL OJEDA DURAN,Vamos a ir viendo uno por uno.,0.0,7,08,11,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere al mantenimiento del Estado de derecho en la mar, la Secretaría de Marina emplea en la tierra, en el aire y en el mar, tenemos: 450 operaciones en tierra por infantería de Marina; en vehículos aéreos, aviones y helicópteros, 420 operaciones, y en el mar tenemos 430 operaciones, haciendo un total de mil 300 operaciones.",0.0,60,08,11,2022
JOSE RAFAEL OJEDA DURAN,"La interdicción marítima en operaciones de guardia costera, seguridad a instalaciones estratégicas de Pemex contra el mercado ilícito de combustible, también inspección, vigilancia, remoción de redes fantasmas y desincentivar la pesca ilegal, nueve mil 900 elementos desplegados.",0.0,37,08,11,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la protección marítima y portuaria, en lo que se refiere a la seguridad en los puertos, tenemos mil 700 elementos desplegados en los puertos.",0.0,30,08,11,2022
JOSE RAFAEL OJEDA DURAN,"Las inspecciones que se realizaron en este periodo, 169 mil 700 inspecciones a vehículos; a personas, 326 mil 800; a contenedores, 40 mil 200; buques o embarcaciones, 980; maletas, paquetes, 270 mil; inspección a buques en los cascos con drones submarinos a ocho; 35 paquetes con mercancía ilícita, dos kilógramos de marihuana, es lo que se detectaron.",0.0,57,08,11,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la coordinación estratégica en la seguridad aeroportuaria aquí en el aeropuerto de la Ciudad de México, acciones y resultados, acciones y apoyos, 40; apoyos médicos, 20; apoyos a migración inadmitidos, dos mil 530 personas; recorridos de seguridad y disuasión, 390; personas detenidas por diferentes delitos, 15; inspecciones a maletas y aeronaves, nueve mil 150 casos; y tenemos mil 500 personas ahí desplegadas.",0.0,68,08,11,2022
