Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente.",0.0,5,20,12,2022
JOSE RAFAEL OJEDA DURAN,"Seguimos con el informe semanal conjunto. Las fuerzas, los efectivos desplegados en el territorio nacional son 170 mil 79, de los cuales 60 mil 69 son el apoyo logístico, en total hacen 239 mil 148.",0.0,35,20,12,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a estos seguimientos que se le van a dar, vamos a seguir viendo uno por uno, están aquí desplegados 30 mil 502 elementos y vamos a ir viéndolos ahorita.",0.0,34,20,12,2022
JOSE RAFAEL OJEDA DURAN,"En el mantenimiento del Estado de derecho en la mar tanto en la tierra como en el aire y en el mar, se han llevado en la tierra 730 operaciones, en el aire 230 operaciones y en el mar 260 operaciones. Desde luego, en la tierra con interacción marina en operaciones de guardia costera, seguridad a instalaciones estratégicas de Pemex contra el mercado ilícito de combustible y las operaciones permanentes que hay de inspección y vigilancia contra las redes y fantasmas y desactivación de pesca ilegal, nueve mil 900 elementos desplegados.",0.0,91,20,12,2022
JOSE RAFAEL OJEDA DURAN,"Protección marítima y portuaria, la seguridad a los puertos, mil 700 elementos desplegados.",0.0,13,20,12,2022
JOSE RAFAEL OJEDA DURAN,"Se han llevado inspección tanto a vehículos, 90 mil personas, 150 mil 200; contenedores 20 mil 400; buques, embarcaciones, 400; maletas y paquetería, 110; inspecciones a buques, a los cascos con drones submarinos, cuatro; aseguramientos, cinco paquetes con mercancía ilícita y 450 kilógramos de cocaína.",0.0,45,20,12,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a aduanas marítimas e interiores, tenemos 250 elementos de personal naval; civil, 988, con un total de dos mil 338 elementos y 16 marinas y dos interiores.",0.0,32,20,12,2022
JOSE RAFAEL OJEDA DURAN,"La recaudación ha ido en aumento aproximadamente un 11 por ciento en lo referente comparándolo con enero-noviembre del año pasado. Y de las aduanas marítimas e interiores, se aportan más o menos un 56 por ciento del total de la recaudación.",0.0,41,20,12,2022
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la seguridad del aeropuerto de la Ciudad de México, las acciones que se han llevado ahí, acciones y apoyos han sido 55; apoyos médicos, 12; a migración lo que se llama inadmitidos, dos mil 350 personas; recorridos de seguridad y disuasión, 360 recorridos en total; personas detenidas por diferentes delitos, cinco; inspecciones a maletas y aeronaves, 14 mil 750; aseguramiento, tres cheques con un valor de 10.7 millones de pesos; personal ahí desplegado, mil 500 elementos.",0.0,82,20,12,2022
JOSE RAFAEL OJEDA DURAN,"Operaciones de búsqueda y rescate de la salvaguarda de la vida humana en la mar y en tierra también, la Secretaría de Marina cuenta con 33 estaciones de búsqueda y rescate, 22 en el océano Pacífico y 11 en el golfo de México y un equipo de búsqueda y rescate y urbano.",0.0,52,20,12,2022
