Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente. Muy buenos días.",0.0,8,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a ver la situación de seguridad pública aquí en el estado de Tabasco. Aquí tenemos en la lámina un estado con 17 municipios, con 2.4 millones de habitantes, el 20 lugar a nivel nacional, de acuerdo a su número de habitantes, y que concentra en el 47 por ciento de su población en tres municipios, en Centro, en Cárdenas y Comalcalco, ahí está concentrada la población y ahí vamos a ver más adelante cómo ahí se desarrolla la actividad delictiva, pero también la atención del gobierno del estado a través de la presencia de sus fuerzas policiales.",0.0,98,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a incidencia delictiva en lo que va de la administración, cuál es el comportamiento, aquí vemos todos los delitos, están todos hacia a la baja a excepción del robo en transportes. Tiene el estado un quinto lugar a nivel nacional en secuestro, que está hacia la baja; el noveno lugar en robo a casa habitación, también hacia a la baja; en la extorsión el 13 lugar, de la misma manera, disminuyendo; en homicidios dolosos, también en 15 lugar, también disminución; el robo de vehículos, 21 lugar, disminuyendo; como mencioné, robo de transportes es el único que está aumentando, pero ahorita vamos a ver los números que son muy reducidos, pero tiene el 23 lugar; la trata de personas se ha mantenido estable este delito, pero también los números son muy reducidos. Y si tomamos en cuenta la totalidad de delitos, delitos de impacto, tiene el 12 lugar a nivel nacional también con reducción.",0.0,155,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a ver las gráficas. Estas gráficas son con información del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública y están hasta noviembre, noviembre es lo que tenemos ya completo de esta información, y en noviembre se presentaron sobre secuestro nada más dos casos.",0.0,44,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí vemos el acumulado del 18, que tuvieron 103, a cómo ha sido el comportamiento en estos últimos años, y en el 22 solamente 11 secuestros.",0.0,26,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En robo a casa habitación también en noviembre tuvieron 21 casos de este delito, su tendencia se registra hacia a la baja, aquí lo vemos también en el acumulado cómo va reduciendo este delito, tienen el noveno lugar en este delito.",0.0,41,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En extorsión tiene el 13 lugar a nivel nacional. En noviembre siete eventos de extorsión, también se identifica hacia la baja, aunque en este año, 2022, han tenido una mayor presencia del delito de extorsión.",0.0,35,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Homicidios dolosos tiene el 15 lugar a nivel nacional, 18 homicidios se presentaron en noviembre, y aquí vemos también en la gráfica cómo la reducción ha sido importante.",0.0,28,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En el robo de vehículos el 21 lugar a nivel nacional, 53 eventos registrados en noviembre. De forma similar a los anteriores, es una reducción la que se ha estado observando a través de los años.",0.0,36,23,12,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"El robo en transporte, ese es el delito que tienen con un incremento, en noviembre se registraron dos únicamente, tiene el 23 lugar a nivel nacional. Y aquí vemos que la gráfica del 19, 20 y 21 va hacia arriba, por eso se establece que tiene un incremento, pero en el 22 hay una reducción importante, que es el 50 por ciento de lo que se robaron en el 2021.",0.0,70,23,12,2022
