Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VOZ DE MUJER, La Comisión Nacional del Agua informa los avances en la construcción del Parque Ecológico Lago de Texcoco.,0.0,17,26,12,2022
VOZ DE MUJER,"Se concluyó la plantación de un millón 884 mil 609 especies herbáceas en los polígonos de reforestación, cubriendo una extensión de más de 13 hectáreas.",0.0,25,26,12,2022
VOZ DE MUJER,"Los árboles que servirán para los trabajos reforestación y paisajismo recibieron mantenimiento y trasplante a bolsas de mayor tamaño; asimismo, concluyó la producción especies herbáceas dentro del vivero contempladas para este año, alcanzando un total de un millón 700 mil plantas.",0.0,41,26,12,2022
VOZ DE MUJER,"En el jardín central continúa la conformación y renivelación de terraplenes con un avance de 30 mil metros cúbicos, lo que representa más de 95 por ciento de avance con respecto a estos trabajos.",0.0,34,26,12,2022
VOZ DE MUJER,"Como parte de los trabajos de reforestación en los diferentes puntos de las brechas rompevientos se realizó la plantación de más de 130 árboles de la especie acacia, se mantiene la constante reubicación de la fauna existente.",0.0,37,26,12,2022
VOZ DE MUJER,A lo largo de la ciclovía se mantienen los trabajos de colocación de piezas prefabricadas con un avance de mil 415 metros cuadrados.,0.0,23,26,12,2022
VOZ DE MUJER,"Para recibir los cubresuelos en el área de picnic, se realizan trabajos de conformación de los montículos de vegetación, así como la nivelación de las áreas lúdicas para la colocación de acabados.",0.0,32,26,12,2022
VOZ DE MUJER,También se realizan trabajos de excavación para conformar las tinas y rampas que forman parte del skatepark.,0.0,17,26,12,2022
VOZ DE MUJER,En los estacionamientos continúa el colado de firmes de concreto para la circulación vehicular con un avance de seis mil 750 metros cuadrados.,0.0,23,26,12,2022
VOZ DE MUJER,"Respecto a las guarniciones, se han colado más de 25 mil metros en las diferentes plataformas, andadores y plazoletas del parque.",0.0,21,26,12,2022
VOZ DE MUJER,"Asimismo, continúa la colocación de piezas prefabricadas con una base de ocho mil 200 metros cuadrados de piezas colocadas.",0.0,19,26,12,2022
