Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Muchas gracias. Con su permiso, señor presidente, doctor Alcocer. doctor López Gatell. Muy buenos días a todas y a todos.",0.0,20,27,12,2022
ZOE ROBLEDO ABURTO,"Desde el 3 de mayo pasado hemos informado al pueblo de México sobre el Plan de Salud del IMSS-Bienestar, este esfuerzo de la Cuarta Transformación para federalizar y levantar la atención médica, particularmente para la población sin seguridad social, es decir, para quienes menos tienen y más nos necesitan.",0.0,49,27,12,2022
ZOE ROBLEDO ABURTO,"Hoy queremos reportar qué hicimos en el 2022, cómo vamos, qué hemos logrado y qué sigue en este plan.",0.0,19,27,12,2022
ZOE ROBLEDO ABURTO,Lo primero que vemos es que en 2022 el IMSS-Bienestar dejó de ser solamente un programa del Seguro Social y ahora es un organismo público descentralizado. Hoy el IMSS-Bienestar es la institución con mayor capacidad de atención médica que tiene el país para las personas sin seguridad social.,0.0,48,27,12,2022
ZOE ROBLEDO ABURTO,"IMSS-Bienestar a inicios de este año tenía 80 hospitales rurales en 19 estados del país, que atendían especialidades troncales, las más básicas. El IMSS-Bienestar el día de hoy opera 330 hospitales y unidades de segundo nivel en 24 estados del país; pasó de tener tres mil 982 unidades de primer nivel, unidades médicas rurales principalmente y unidades móviles, para pasar a tener y operar ocho mil 79 centros de salud, unidades de primer nivel.",0.0,74,27,12,2022
ZOE ROBLEDO ABURTO,"Y quizá el dato más importante, a inicios de este año el IMSS-Bienestar atendía a 11.7 millones de mexicanas y mexicanos, hoy cuida la salud de 25.7 millones de compatriotas.",0.0,30,27,12,2022
ZOE ROBLEDO ABURTO,"En la lámina siguiente podemos ver los nueve estados en donde el IMSS-Bienestar es la única institución pública que atiende a la población sin seguridad social, Nayarit, Tlaxcala, Colima, Sonora, Sinaloa, Baja California Sur, Campeche, Veracruz y Guerrero, en estos estados los gobiernos que encabezan ahí, los gobiernos estatales, gobernadoras y gobernadores, nos transfirieron las unidades y se implementó un plan de acción en cuatro rubros prioritarios:",0.0,67,27,12,2022
ZOE ROBLEDO ABURTO,"La rehabilitación, el mantenimiento y la conservación de la infraestructura.",0.0,10,27,12,2022
ZOE ROBLEDO ABURTO,"Dos, la rehabilitación y la sustitución del equipo médico.",0.0,9,27,12,2022
ZOE ROBLEDO ABURTO,La cobertura de las plantillas de personal de salud en todos los turnos.,0.0,13,27,12,2022
ZOE ROBLEDO ABURTO,Y el abasto de medicamentos.,0.0,5,27,12,2022
ZOE ROBLEDO ABURTO,"Vamos a ver, rápidamente cada uno de estos rubros. En la acción número uno que tiene que ver con la rehabilitación, mantenimiento y conservación, se ejerció un presupuesto de dos mil 653 millones de pesos en diferentes obras, se trata de adecuaciones y ampliaciones de almacenes y de farmacias, impermeabilizaciones, pintura, mantenimientos correctivos de los cuartos de máquinas, rehabilitaciones de equipos electromecánicos, hidráulicos, cambio de lámparas, de luminarias, rehabilitación integral de todas las unidades, los pisos, los plafones, las puertas, los baños.",0.0,82,27,12,2022
ZOE ROBLEDO ABURTO,"Se han habilitado, también con estos procesos, 44 quirófanos, 44 quirófanos que en muchos casos llevaban años sin operar, encontramos incluso quirófanos que llevaban 14 años estando ahí sin realizar una sola cirugía.",0.0,33,27,12,2022
