Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA," Con su permiso, señor presidente. Muy buenos días a todas y a todos.",0.0,13,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Informar sobre los avances al cierre de este año del programa de regularización de autos usados de procedencia extranjera, una estrategia que nos encomendó el señor presidente López Obrador desde marzo pasado y que ha contribuido a mejorar la seguridad, la legalidad y la certeza patrimonial de más de un millón de familias mexicanas.",0.0,54,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Como ustedes saben, la iniciativa presidencial siempre ha sido clara y con una profunda visión social como característica de la Cuarta Transformación de la vida pública de México.",0.0,28,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Señor presidente, su instrucción ha sido atendida. Este programa que usted concibió ha beneficiado a hombres y mujeres que hacen uso legítimo de estos vehículos, dándoles certeza jurídica sobre los mismos y que además tiene como un beneficio general una mayor seguridad para la población, toda vez que el registro de estas unidades desincentiva su uso para cometer delitos.",0.0,59,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Al 28 de diciembre de este año, la regularización de vehículos ha operado con éxito a través de 141 módulos ubicados en 14 estados de la república: Baja California, Baja California Sur, Chihuahua, Coahuila, Durango, Jalisco, Michoacán, Nayarit, Nuevo León, Puebla, Sinaloa, Sonora, Tamaulipas y Zacatecas.",0.0,46,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"En total, en estos nueve meses de funcionamiento del programa se han regularizado más de un millón 47 mil vehículos; asimismo, se han obtenido recursos por más de dos mil 600 millones de pesos y, como fue su instrucción, los mismos serán destinados para la pavimentación de las vialidades donde se aplica el programa; en algunos municipios ya se está haciendo.",0.0,61,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,Al momento ya se han validado con las entidades más de mil 700 millones de pesos como está en esta gráfica y se han pagado 676 millones 100 mil pesos.,0.0,30,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Quiero aprovechar esta oportunidad para hacer un reconocimiento de corazón a los gobernadores de los estados participantes y a sus equipos, a instituciones como la Secretaría de Gobernación, la Secretaría de Hacienda, la Consejería Jurídica; a los hombres y mujeres con vocación de servicio que han hecho posible el éxito y la buena acogida de este programa que usted concibió, señor presidente, para este país; a los compañeros y compañeras de la Secretaría de Seguridad y Protección Ciudadana y al Registro Público Vehicular, así como al secretariado ejecutivo que asumieron esta encomienda con compromiso y entusiasmo, y sobre todo a las miles de familias que han dado lo más valioso que todo gobierno puede pedir a los ciudadanos: su confianza.",0.0,120,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Esta estrategia es una muestra de que la paz no se construye por medio de la fuerza y la violencia, sino a través de las acciones que generan bienestar.",0.0,29,29,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,"Finalmente, también informar que, atendiendo a la instrucción presidencial, los esfuerzos para regularizar los vehículos usados provenientes del extranjero van a continuar durante 2023. Del próximo 1º de enero al 31 de marzo los 141 módulos establecidos en 14 estados de la república van a seguir funcionando para todos aquellos que aún no se han beneficiado de ellos puedan hacerlo el año próximo. Con esto, volvemos a refrendar el compromiso del Gobierno de México para generar beneficios concretos, certeza jurídica y seguridad para las familias de todo el país.",0.0,89,29,12,2022
