Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CLAUDIA SHEINBAUM PARDO," Buenos días, presidente; buenos días a todos y a todas, gobernador, secretario.",0.0,12,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Este es el tramo que le toca al gobierno de la Ciudad de México. Presento esta primera lámina porque cuando llegamos al gobierno esta parte de la obra estaba encargada a una empresa; sin embargo, por diversas razones esta empresa se fue retrasando en la construcción hasta que finalmente se llegó a un acuerdo con la empresa de una terminación anticipada de su contrato y entonces hoy son 11 empresas que están trabajando al mismo tiempo en 25 frentes de obra, que son estas empresas y su programa.",0.0,88,30,12,2022
CLAUDIA SHEINBAUM PARDO,Lo dividimos por las características de la construcción. Hay una parte que son estructuras metálicas:,0.0,15,30,12,2022
CLAUDIA SHEINBAUM PARDO,"La estación Santa Fe, que está cerca del centro comercial Santa Fe, que ya va bastante avanzada.",0.0,17,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Un viaducto mixto 3, que se llaman. Los viaductos son… Se llaman viaducto mixto porque una parte es de concreto y otra parte es de acero.",0.0,26,30,12,2022
CLAUDIA SHEINBAUM PARDO,Y dos celosías metálicas que tienen un avance ya importante.,0.0,10,30,12,2022
CLAUDIA SHEINBAUM PARDO,Esta parte de la obra la terminación es en marzo del 2023 y se está realizando en este momento el montaje y la terminación de esta parte de la obra.,0.0,30,30,12,2022
CLAUDIA SHEINBAUM PARDO,"La otra parte son dos dobles voladizos. Se le llama doble voladizo porque está la columna y se fabrica al mismo tiempo de un lado de la columna y del otro con unos carritos que van permitiendo el colado en sitio, son largos dobles voladizos, y hay un avance importante. Y esta fecha de terminación es en octubre del 2023.",0.0,60,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Por otro lado, está un viaducto de dovelas. Este es un viaducto que tiene un proceso de construcción distinto. Estas son las dovelas, que están aquí en la fotografía. Y tiene una lanzadora, que tardó mucho tiempo en colocarse, pero ya en este momento está muy avanzada; comienzan en febrero del próximo año a colocarse estas dovelas, y ya también tiene un avance del 56 por ciento.",0.0,67,30,12,2022
CLAUDIA SHEINBAUM PARDO,"En general, para que tengan una idea, nos quedan por fabricar los elementos prefabricados, 57 de 576, 92 por montar de 576, de las columnas prefabricadas solamente faltan 14 de 228 y el montaje de estas columnas solamente faltan 32 de 228, y termina en mayo del 2023.",0.0,48,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Y, finalmente, ¿a dónde llega?, lo que corresponde al tramo 3 es de Ocoyoacac a la estación Observatorio del Metro. En la estación Observatorio va a ser la llegada del Tren Interurbano, ahí también va a ser la llegada de la ampliación de la Línea 12, está la Línea 1 y posteriormente en algún momento, si se requiere para otras administraciones, la llegada de la Línea 9 del Metro.",0.0,69,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Entonces, la estación Observatorio tiene su complejidad porque tiene que tener conectividad la Línea 1 del Metro, la Línea 12 que tiene su extensión y el tren interurbano. Entonces, no solamente es la estación, sino la comunicación del Metro con el interurbano.",0.0,42,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Esta parte, que es la parte final de la obra, tiene un avance del 59 por ciento. Y esta es la parte que se terminaría hasta noviembre del 2023. Y vamos a ir entregando con tramos a la Secretaría de Infraestructura, Comunicaciones y Transportes para que se coloque la vía y se vaya avanzando en el proyecto electromecánico.",0.0,58,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Esa es la parte que nos corresponde, presidente.",0.0,8,30,12,2022
CLAUDIA SHEINBAUM PARDO," Artículo 19, Periodistas desplazados, sí.",0.0,5,30,12,2022
CLAUDIA SHEINBAUM PARDO," Se está trabajando conjuntamente la Secretaría de Seguridad Ciudadana del gobierno de la ciudad, por supuesto todas las imágenes del C5 y pues la encargada de la investigación, que es la Fiscalía General de Justicia de la Ciudad de México.",0.0,40,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Como ustedes saben, se tiene identificada una motocicleta y algunos vehículos, no solamente uno, sino vehículos que participaron en el evento. Uno de los vehículos se conoce que no solamente lo siguió ese día, sino algunos días anteriores. Hay una ubicación de dónde está este vehículo y de las personas, digamos, de los autores materiales.",0.0,55,30,12,2022
CLAUDIA SHEINBAUM PARDO,¿Por qué no se ha dado información más allá de esto y de lo que se informó en su momento?,0.0,20,30,12,2022
CLAUDIA SHEINBAUM PARDO,"Pues por las propias características del caso, por el establecimiento, de acuerdo a lo que dice la fiscal general de Justicia, que ella participa en nuestro gabinete, de la elaboración de la carpeta de investigación y que todo quede perfectamente, que no haya ningún problema en el momento de las detenciones, y lo vamos a seguir informando. Hasta ahí yo lo dejaría, para no decir un poco más de la propia investigación.",0.0,72,30,12,2022
CLAUDIA SHEINBAUM PARDO," También, recuerden que la motocicleta se fue hacia el Estado de México y se ha estado trabajando con el fiscal del Estado de México, particularmente. No quisiera decir más porque pues evidentemente hay secrecía en la investigación porque se requiere, pero nuestro compromiso es que esto no va a quedar impune.",0.0,51,30,12,2022
CLAUDIA SHEINBAUM PARDO," No, yo creo que es parte de las investigaciones que estamos haciendo.",0.0,12,30,12,2022
