Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LAYDA SANSORES SAN ROMAN, (Habla en lengua indigena),0.0,4,05,12,2022
LAYDA SANSORES SAN ROMAN,"Andrés Manuel López Obrador, el hombre sabio, el presidente más querido, el mejor hermano de Campeche, esta es tu casa.",0.0,20,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y a todos ustedes, bienvenidos, Campeche, la tierra del jaguar, es su casa.",0.0,13,05,12,2022
LAYDA SANSORES SAN ROMAN,"Estás bien correspondido, tú sabes cuánto te apreciamos y cuanto te queremos.",0.0,12,05,12,2022
LAYDA SANSORES SAN ROMAN,"Yo sólo, antes de pasar aquí algunas imágenes de las obras que ha hecho el gobierno federal en mi tierra, una tierra que parecía que estaba ubicada en la esquina rota y donde nos nadie nos miraba, hoy tiene la mano amiga de un presidente y se han hecho obras, como dice Andrés Manuel, inéditas en la vida del estado yo nada más comento, porque fue una vivencia muy fuerte que aun traigo impregnada en la piel el dulce aroma del pueblo en esa marcha, también un tufo de azufre que venía de España, pero eso lo dejo para otra vez, ahí fuimos en esa marcha los hijos del maíz y del delirio.",0.0,113,05,12,2022
LAYDA SANSORES SAN ROMAN,"Digo que no puede haber estas acciones tan poderosas y tan intensas si no es cuando uno atraviesa por este delirio, que dice un escritor, es lo que permite hacer cosas y a crear otra realidad que nunca habías pensado. Es ajeno a los bisturíes de la lógica, pero así hemos sido caminando durante muchos años, y muchos jóvenes, cómo tú viste, como nunca, ellos estuvieron ahí en la marcha y hoy también aquí nos acompañan. Ese es la esperanza del relevo generacional, ellos son el alma.",0.0,87,05,12,2022
LAYDA SANSORES SAN ROMAN,Quisiera que pasáramos aquí algunas imágenes de las obras que en cascada se han venido a dar en Campeche como magia.,0.0,21,05,12,2022
LAYDA SANSORES SAN ROMAN," En esa foto ahí, Andrés, tú eres el centro de esa fotografía que dio la vuelta al mundo, pero eres el centro también de este movimiento de idealistas decididos a transformar esta patria, conjurar el peligro de una derecha desatada que teme perder sus privilegios y que ha depredado la nación.",0.0,51,05,12,2022
LAYDA SANSORES SAN ROMAN,"Además de estas obras, que están ya por venir algunas otras, se las menciono muy rápidamente, pero queremos agradecer también al presidente el desistimiento de ICA de un juicio que tenía sobre un hospital materno infantil en El Carmen. Con mucha generosidad, Lupita Phillips ya desistió, ya está en estrados, en desistimiento. O sea, que próximamente, tal vez la próxima semana, en estos días, ya nos hagan entrega de un hospital que tenía ocho años desbaratándose. Entonces, fue realmente un éxito.",0.0,81,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y agradecemos también que ya se está haciendo, tenemos la probabilidad, Rocío Nahle nos está ayudando con el estudio y el proyecto ejecutivo, y se podrá hacer un acueducto en Ciudad del Carmen que se empezaría este mismo año para llevar agua por arriba, sólo se tiene en ductos por abajo y a veces es muy complicado cuando alguno de ellos se rompe. Llevar a Ciudad del Carmen, que es una tierra que merece mucho, por donde entró la democracia, por donde salió el petróleo y por donde viven hoy momento siempre de nostalgia y de preocupación.",0.0,97,05,12,2022
LAYDA SANSORES SAN ROMAN,"Hay la posibilidad también, gracias al presidente, a Manuel Bartlett, se está haciendo todo el esfuerzo porque llega a Campeche una planta de ciclo combinado y nos llegue el gas a Campeche, porque esto sí sería impulsar el desarrollo para Campeche, aparte del Tren Maya, que es una titánica. Como decía Andrés Manuel, es la obra más grande que se está haciendo en materia ferroviaria en el mundo, pero es la obra pública más grande que se está haciendo en el mundo, es impactante. Sólo los que vamos a estas juntas de evaluación sabemos qué complicaciones tiene una obra de esta magnitud, es impresionante. Solamente la fuerza, ser hijo del delirio, atreverse a iniciar una obra como esta. ¿Cómo agradecerte, Andrés Manuel?",0.0,122,05,12,2022
LAYDA SANSORES SAN ROMAN,Y aquí en Campeche tenemos el doble de kilómetros que tienen en otras partes. Cómo no vamos a reconocer aquí y darle todo nuestro cariño de siempre.,0.0,27,05,12,2022
LAYDA SANSORES SAN ROMAN,"Quiero decirles también que ya se van a entregar las tarjetas esta semana para las personas con discapacidad, en este trato conjunto que hicimos con el gobierno federal, en este trabajo coordinado, y va a ser más o menos una… pues va a llevarnos unos 198 millones de pesos, pero va a ser universal ya para todas las personas que tengan alguna discapacidad.",0.0,63,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y ya los vehículos de Campeche, gracias a la intervención de nuestro presidente, ya no pagan, en un acto de justicia, ya no pagan en la caseta de Atasta para llegar a sus casas. Entonces, esto que valía la pena decirlo.",0.0,41,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y ya nada más comentar que hay un hecho que hoy me tiene conmovida y que estoy muy nerviosa y muy emocionada, que planteé una vez que había tres personas, tres jóvenes en Macuspana que estaban sufriendo una injusticia. Inmediatamente tú pusiste reflector a este hecho.",0.0,46,05,12,2022
LAYDA SANSORES SAN ROMAN,"Encontramos a un presidente de la Suprema Corte, Zaldívar, que puede hoy coronar esta despedida con esta sentencia que esperamos sea ya absolutoria, que se haga justicia. Y que le reconocemos al presidente Zaldívar esta visión humana cuando él dijo: ‘¿Para qué tenemos un alto tribunal si no se puede atender a los más vulnerables?’.",0.0,55,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y gracias también a los buenos oficios del secretario de Gobernación, quien siempre estuvo pendiente, porque el caso entró, lo atrajo la Suprema Corte hace un año. Son casos difíciles. Y hoy el ministro Ortiz Mena sabemos que presenta un proyecto de sentencia persuasivo y humano.",0.0,46,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y esperamos, con toda la emoción del mundo, a las 11:00 de la mañana se inicia la sesión, y esperamos que se tenga esta solución a favor de los compañeros de Macuspana.",0.0,32,05,12,2022
LAYDA SANSORES SAN ROMAN,"Nunca perdí la esperanza. Andrés Manuel nos enseñó que, aún en el fondo del cenote, donde viva la verdadera oscuridad, puedes encontrar luz en la luz.",0.0,26,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y sólo quiero decirte, para terminar, Andrés Manuel, cuánto te reconocemos. Sentir que eres un hombre de otra dimensión política desconocida en nuestro país, y que por eso muchos no comprenden. A mí me conmueve tu empeño por desanudar la pobreza y cómo nos han enseñado a aprender a descubrir las maravillas de la gruta. Te amamos, Andrés Manuel.",0.0,59,05,12,2022
LAYDA SANSORES SAN ROMAN,"Permíteme mandarle nada más un saludito a Romeo, que también, el hombre que amo, pero que no se pierde una mañanera en su vida y la ve dos veces, en la mañana en la tarde. Romeo, te amo.",0.0,38,05,12,2022
LAYDA SANSORES SAN ROMAN,Gracias.,0.0,1,05,12,2022
LAYDA SANSORES SAN ROMAN," Sí, también me dicen (inaudible)",0.0,5,05,12,2022
LAYDA SANSORES SAN ROMAN," Ya están depositados, ya se hizo la licitación el día 30, nos mandó 100 millones de pesos extraordinarios que no se había calculado para la remodelación del centro histórico, y será la primera etapa. Algo nos faltará, pero estamos seguros que lo que no nos faltará es la mano amiga del presidente, nos da más de lo que pedimos muchas veces.",0.0,61,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y lo del libramiento lo han pensado para el Siglo XXI, Siglo XXIII, se va a tener que hacer por lo del Tren Maya. Ahí nos ha faltado que SCT el año pasado no se hizo ninguna obra pública, y este año también no la tenía contemplado hasta ahora, pero creo que sí hay la voluntad y seguramente se va a hacer, se necesita.",0.0,64,05,12,2022
LAYDA SANSORES SAN ROMAN,Y ahorita están tratando de cuando menos hacer algo emergente para evitar el que sigan habiendo muertos en ese tramo.,0.0,20,05,12,2022
LAYDA SANSORES SAN ROMAN,Gracias.,0.0,1,05,12,2022
LAYDA SANSORES SAN ROMAN," Pues ahí lo están trabajando, yo creo que eso se termina pronto, el que se está haciendo ahora, se está haciendo ahí alguna desviación, que ese era el problema y se tendría que hacer este año que viene, el de Siglo XXI cuando menos.",0.0,44,05,12,2022
LAYDA SANSORES SAN ROMAN," Es que yo creo que ya está saturado El Carmen. En parte comprendemos a Octavio. No es que lo quiera defender, porque queríamos que vinieran aquí todas las oficinas, ya trajo gran parte.",0.0,33,05,12,2022
LAYDA SANSORES SAN ROMAN,"Y le preguntaba al presidente municipal y dijo: ‘No, ya que mejor ya no vengan más’, porque están saturados, está saturado el tráfico, en fin, y yo creo que habría que valorarlo, revalorarlo.",0.0,33,05,12,2022
LAYDA SANSORES SAN ROMAN,"Pero la idea es muy buena, aquí vamos a tener mayor movimiento, pero tendrían que hacerse algunas cosas aleatorias. Así como está, creo que tiene en parte razón Octavio, que me pague de abogada defensora.",0.0,35,05,12,2022
