Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues nos da mucho gusto iniciar la semana aquí en Campeche. Estamos de gira por el sureste y, además de supervisar el avance del Tren Maya, decidimos hacer la reunión de seguridad en Campeche, esta conferencia.",0.0,36,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también, hoy en Escárcega vamos a iniciar el plan para mejorar el sistema de salud pública en Campeche. Ya ustedes tienen los antecedentes, nos hemos comprometido a que se garantice el derecho del pueblo a la salud.",0.0,38,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos mejorando la situación de centros de salud, unidades médicas rurales, hospitales, que cuenten con médicos generales, enfermeras, enfermeros, especialistas en los hospitales, abasto suficiente de medicamentos, y todo esto de manera gratuita para toda la población, porque la salud no es un privilegio, es un derecho del pueblo.",0.0,49,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estaba muy caído el sistema de salud pública, sigue en mal estado en el país. Desde que llegamos al gobierno decidimos levantarlo. Hice un recorrido desde los primeros meses del gobierno, visitar 80 hospitales del IMSS-Bienestar, y ya estábamos por iniciar la modernización del sistema de salud y nos llegó la pandemia, y eso nos paró, tuvimos que dedicarnos salvar vidas; pero ahora, que ya está pasando la pandemia, que ya no está haciendo el tremendo daño que causó, pues ahora de nuevo estamos retomando el plan original de salud que, como les decía, va a consistir en que haya atención médica, medicamentos, que tengamos todos los médicos.",0.0,108,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es de lo más difícil de lograr, sobre todo médicos especialistas, porque hay hospitales infantiles, pero no hay pediatras. No les gusta a los conservadores, pero lo tengo que decir porque es la verdad, y es de los daños que causó el periodo neoliberal: como se rechazaba a los jóvenes que querían estudiar con la mentira de que no pasaban el examen de admisión, pues ahora no tenemos los médicos ni los especialistas que requiere el país. Esta es una situación muy complicada, por eso inclusive estamos contratando médicos especialistas del extranjero, y lo vamos a seguir haciendo.",0.0,98,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y les decía que hoy inicia este plan de mejoramiento de salud en Campeche. Ya serían nuevo estados de la República. Empezamos en Nayarit, ya está funcionando el nuevo plan; en Colima, en Tlaxcala, en Baja California Sur, en Sonora, Sinaloa, en Guerrero, en Veracruz y hoy iniciamos Campeche. Yo espero que para el año próximo ya terminemos. Estamos destinando todos los recursos necesarios con este propósito.",0.0,67,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso vamos a estar en Escárcega más tarde, porque ahí se hizo una rehabilitación del hospital y con eso arrancamos. Va a llevar todavía algún tiempo, pero lo que queremos es que haya médicos los siete días, los dos turnos y que el abasto de medicamentos sea suficiente.",0.0,49,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos da mucho gusto, repito, estar aquí en Campeche. Esta es nuestra tierra, nuestra agua.",0.0,15,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Agradecerle mucho al pueblo de Campeche por su solidaridad, por su apoyo.",0.0,12,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Estamos trabajando en Campeche. Se están haciendo inversiones federales muy importantes:,0.0,11,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es el Tren Maya, desde luego, que es una inversión nunca vista del gobierno federal en Campeche.",0.0,17,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero no sólo es eso. Aquí, el 90 por ciento de los hogares de Campeche se beneficia con una porción del presupuesto federal. Al 90 por ciento de las familias de Campeche llega un programa de Bienestar, alguna acción en beneficio de los más necesitados. Y al resto pues también se les ayuda, porque hay trabajo.",0.0,56,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando del 90 por ciento de los hogares estamos hablando de los que reciben apoyo directo, que tienen una pensión, tienen beca, están recibiendo un apoyo como pescadores, como agricultores, están en el Sembrando Vida, eso de manera directa.",0.0,39,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero la derrama económica del Tren Maya significa ayudar a transportistas. Ya no hay camiones de volteo en Campeche, todos están ocupados, y eso es apoyo para la mayoría de la gente, y el comercio y toda la actividad económica.",0.0,40,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero, en fin, ya hablamos bastante para ya darle la palabra a Layda, nuestra gobernadora. Nada más decirle que la queremos mucho, que la apoyamos, la respaldamos, que no está sola y que siempre el gobierno federal va a apoyar al pueblo de Campeche.",0.0,44,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a escuchar a Layda.",0.0,6,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Vamos a los videos, y luego abrimos para preguntas.",0.0,9,05,12,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien, vamos, como siempre lo hacemos, una compañera, un compañero prensa nacional y compañera, compañero de prensa del estado de Campeche. Entonces, a ver, Sara, empezamos. Y luego Campeche. ¿Quién de Campeche? Tú.",0.0,34,05,12,2022
