Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente. Buenos días a todas y todos.",0.0,11,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Efectivamente, en el caso del lamentable homicidio del juez de control adscrito al penal de Río Grande, en Zacatecas, el licenciado Roberto Elías Martínez, sufrió un atentado cuando conducía su vehículo al salir de su domicilio; fue trasladado al hospital donde falleció posteriormente.",0.0,43,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Se está haciendo la investigación completa, están revisándose las cámaras de video vigilancia, la parte de la revisión técnica de la telefonía, también las imágenes donde quedaron registrados los lamentables acontecimientos, en donde quedó herida esta víctima lamentable dentro de su vehículo.",0.0,42,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Se está haciendo, como dijo el presidente, el seguimiento a diversas líneas de investigación. Y la investigación está a cargo de la fiscalía estatal, y estamos nosotros ahora en contacto permanente con la fiscalía, y allá se encuentra un equipo de la secretaría, de Conase, el cual está en contacto con el fiscal.",0.0,53,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También de lo que usted refería, sobre el intento de motín y también el intento de evasión de algunos presos en el penal de Cieneguillas, nosotros también estamos en contacto ahí con los encargados de seguridad pública y con los encargados del sistema penitenciario.",0.0,44,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Efectivamente, no se llevó a cabo ninguna evasión, debido a que las autoridades estatales y federales acudieron el apoyo que pedían en ese lugar, y no hubo ningún preso, ningún reo evadido, pero sí hubo dentro una movilización interna. Y no hubo heridos que lamentar, pérdidas de vida; sí hubo unos cuántos heridos, pero no hubo pérdidas de vidas que lamentar.",0.0,61,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y lo referente al apoyo al traslado masivo que se ha tenido con el penal de Cieneguillas, es muy importante, se han trasladado internos de alta peligrosidad de los grupos criminales, de los diferentes que existen en la región, y se han hecho los traslados en aviones de la Guardia Nacional.",0.0,51,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Se hizo en el año 2021 un número importante que se llevó a los penales federales y en marzo de 2022 nuevamente se trasladó a 99 PPL, personas privadas de la libertad, a los ceferesos, insisto, de las diferentes organizaciones delictivas. También ahora con apoyo de la Guardia Nacional y la Secretaría de la Defensa Nacional, el 9 de noviembre se trasladó a 127 internos a ceferesos tanto de Cieneguillas como del penal de Fresnillo. El pasado 26 de noviembre también se realizó el traslado de 24 mujeres, también presas en el penal, de los penales estatales de Zacatecas, y se llevó a los federales de Morelos.",0.0,107,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Entonces, efectivamente, vamos a seguir con esta atención y también en las investigaciones de los actos vandálicos que ahí sucedieron.",0.0,20,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ," Sí, van a ser trasladados, ya se está haciendo el operativo con la mano, digamos, con quien lleva el control ahí, con las autoridades estatales, ellos llevarán, encabezarán el operativo, pero con el apoyo de las autoridades federales.",0.0,38,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Yo le puedo decir que es de los dos grupos criminales que están ahí, hay una rencilla entre estos grupos criminales, exactamente o ahora no le puedo decir: es de tal grupo y tal grupo, pero ahí existen por lo menos dos grupos grandes, grupos criminales que quizá hayan llegado últimamente, porque nosotros en cuanto llegan…",0.0,56,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También se debe al gran, al alto número de detenciones que se han hecho ahí en Zacatecas, es de los estados en donde ha habido más detenciones importantes.",0.0,28,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,Eso es.,0.0,2,05,12,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ, Está es la última y es la que presentamos. Aquí está Zacatecas.,0.0,12,05,12,2022
