Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Muchas gracias. Con su permiso, señor presidente. Muy buenos días a todas y a todos, muy buenos días a quienes nos ven esta mañana.",0.0,24,10,02,2022
ZOE ROBLEDO ABURTO,"Desde hace tiempo el presidente ha planteado que el Plan de Justicia para Cananea tiene que ver con una reparación histórica. Darle la espalda a Cananea, como nos dice el presidente López Obrador, es darle la espalda a la historia.",0.0,40,10,02,2022
ZOE ROBLEDO ABURTO,Algunos antecedentes de este plan y los avances que se han logrado en los últimos meses:,0.0,16,10,02,2022
ZOE ROBLEDO ABURTO,"El 4 de julio se planteó la integración de un plan de justicia para Cananea que tuviera cinco ejes: el primero, trabajo digno, atención médica, bienestar, salud ambiental, derecho al agua y mejoramiento urbano.",0.0,34,10,02,2022
ZOE ROBLEDO ABURTO,"En coordinación con todas las dependencias del gobierno federal, la Secretaría de Gobernación, la Secretaría del Trabajo, la Secretaría de Bienestar, la coordinación de programas de federales de Bienestar en Sonora, el Banco del Bienestar y el diálogo con los mineros, se trabajó por parte del Seguro Social en dos de estos ejes:",0.0,53,10,02,2022
ZOE ROBLEDO ABURTO,"El primero es el que tiene que ver con trabajo digno. El 11 de noviembre pasado —si podemos pasar a la siguiente— allá en Cananea se firmó un convenio entre diferentes dependencias del gobierno federal, el Seguro Social, Gobernación, la Secretaría del Trabajo, el gobierno de Sonora y la empresa Grupo México; esto, con el fin de integrar un fondo solidario con recursos públicos y privados que pudiera convertirse en la fuente del apoyo solidario para los extrabajadores mineros.",0.0,79,10,02,2022
ZOE ROBLEDO ABURTO,"Es un apoyo de un salario mínimo mensual durante 10 años, son cinco mil 258 pesos que se incrementan con los incrementos que ha observado desde esta administración el salario mínimo y que siempre están arriba de la inflación.",0.0,39,10,02,2022
ZOE ROBLEDO ABURTO,"Para tales efectos se diseñó esta plataforma, es una plataforma que busca ser lo más ágil, oportuna, transparente y sin intermediarios, para que los mineros puedan acceder a ella, es apoyominerosretirados.gob.mx",0.0,31,10,02,2022
ZOE ROBLEDO ABURTO,"Registran ahí un número que tienen como extrabajadores y en la siguiente tienen ya cargados los diferentes datos que se necesitan; de esa manera pueden hacer la verificación de ellos, en algunos casos actualizarlos o, si no se tienen, poderlos complementar.",0.0,41,10,02,2022
ZOE ROBLEDO ABURTO,"Al día de ayer se contaba ya con mil 119 personas, extrabajadores, que habían ingresado a la plataforma para validar sus datos, esto representa el 76.3 por ciento del universo inicial que se había identificado.",0.0,35,10,02,2022
ZOE ROBLEDO ABURTO,"A partir de esto, con los registros se puede empezar a activar las tarjetas por parte del Banco del Bienestar para después pasar a hacer la entrega de los plásticos ya con estos recursos, y esa misma tarjeta es la que sirve para los meses siguientes.",0.0,46,10,02,2022
ZOE ROBLEDO ABURTO,"Hace algunos días, el 2 de febrero estuvo en Cananea, en la sucursal del Banco del Bienestar, la secretaria Luisa María Alcalde, el gobernador Durazo y diferentes servidores públicos del IMSS del propio gobierno estatal entregando las primeras tarjetas.",0.0,39,10,02,2022
ZOE ROBLEDO ABURTO,"A la fecha se han registrado 826 de ellas, se han activado 693 y ya se hicieron dispersiones de 494 tarjetas; están ya también otras que están nada más pendientes de la dispersión.",0.0,33,10,02,2022
