Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
AGUSTIN RADILLA SUASTEGUI," Muchas gracias. Con su permiso, señor presidente. Buenos días, representantes de los medios de comunicación.",0.0,15,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"A continuación, daré a ustedes a conocer en el periodo del 7 al 14 de febrero en cuanto al plan de distribución de vacunas.",0.0,24,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Tenemos que en los almacenes de Incan se tienen dos millones 464 mil 605 dosis, en los almacenes de Birmex el día 7 de este mes arribaron un millón 160 mil dosis, ya existían dos millones 149 mil. Hace un total de tres millones 309 mil 450 dosis.",0.0,48,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Total de dosis disponibles en los almacenes de Incan y Birmex, son ocho millones 729 mil 655 dosis. El día de hoy se están distribuyendo dos millones 397 mil 760 dosis y quedarán en almacén para su posterior distribución seis millones 331 mil 895 dosis.",0.0,45,15,02,2022
AGUSTIN RADILLA SUASTEGUI,Para efecto de distribución se establecieron dos vías: la área y la terrestre.,0.0,13,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"En cuanto a las vías aérea se distribuyeron 337 mil 700 dosis a cuatro entidades federativa. Para tal efecto se establecieron dos rutas aéreas: la primera a Baja California Sur, Baja California y Sonora; y una segunda ruta aérea a Tabasco en dos aeronaves de la Fuerza Aérea.",0.0,48,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Por su parte, para la distribución vía terrestre, el total de dosis distribuidas son dos millones 60 mil. Fueron, acudieron directamente a los almacenes de Birmex cuatro entidades federativas que son Querétaro, el Estado de México, Hidalgo y Tlaxcala.",0.0,39,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Y, por su parte, se establecieron tres rutas terrestres a seis estados de la República: el primer movimiento fue a Michoacán y Jalisco, el segundo a Aguascalientes y Zacatecas, y un tercero a Coahuila y Tamaulipas. Todos estos movimientos terrestres escoltados por personal de Semar, Sedena y Guardia Nacional.",0.0,49,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Como consolidado tenemos que el día de hoy se realizan estos movimientos que ya fueron expresados, haciendo un total de dos millones 397 mil 760 dosis distribuidas a 14 entidades federativas en 16 movimientos terrestres con escoltas de seguridad, seis movimientos aéreos, habiéndose consumido nueve horas 10 minutos de vuelo y total del efectivo empleado para esta distribución: 488 personas, 48 vehículos y dos aeronaves.",0.0,65,15,02,2022
AGUSTIN RADILLA SUASTEGUI,"Es todo por el momento, señor presidente.",0.0,7,15,02,2022
