Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Con su permiso, señor presidente. Muy buenos días a todas y todos ustedes. Los saludo con el afecto de siempre.",0.0,20,22,02,2022
JORGE ALCOCER VARELA,"Y como ustedes ya oyeron, es oportuno tener esa visión de la pandemia, que bueno, de la vacunación, pero no podemos olvidar y por lo tanto continuamos con el compromiso de estar informando sobre los medicamentos adquiridos por el sector Salud para nuestro país.",0.0,44,22,02,2022
JORGE ALCOCER VARELA,"Y como pueden ver en la imagen y ustedes ya conocen los elementos de la compra consolidada, ahora se han distribuido 646 millones de medicamentos y material de curación.",0.0,29,22,02,2022
JORGE ALCOCER VARELA,"En la siguiente se muestra que entre febrero y marzo recibiremos 137 millones 205 mil 597 piezas derivadas de la extensión contractual de las compras del 2022, con lo que se garantizará el abasto del primer semestre.",0.0,37,22,02,2022
JORGE ALCOCER VARELA,La compra del Insabi y de la Unops garantizarán un abasto mayor del 95 por ciento de las claves solicitadas para el primer semestre.,0.0,24,22,02,2022
JORGE ALCOCER VARELA,"Asimismo, en la siguiente pueden ver ustedes que los últimos siete días se entregaron nueve millones 115 mil 299 piezas de medicamentos y de material de curación, estando en tránsito siete millones 963 mil 954 piezas.",0.0,36,22,02,2022
JORGE ALCOCER VARELA,"En la siguiente, durante la semana del 13 al 19 de febrero se distribuyeron 344 mil 450 piezas de equipos de protección personal en seis entidades. Así, la distribución acumulada en el primer bimestre de este año es de dos millones 868 mil 986 piezas.",0.0,45,22,02,2022
JORGE ALCOCER VARELA,"Por otro lado, en la siguiente pueden ver que el Insabi, con la suma de las 28 entidades federativas del plan de distribución de la última milla y con ayuda de Sedena y Birmex, distribuyeron en los estados de México y Veracruz, 246 mil 684 piezas para abastecer 554 unidades de salud.",0.0,52,22,02,2022
JORGE ALCOCER VARELA,"En las siguientes imágenes también informamos sobre medicamentos; en este caso, en la primera que Cofepris liberó el 10 de febrero cerca de 14 mil piezas de medicamentos para el cáncer fabricados en Argentina, 13 mil 293 de ciclofosfamida y 626 de etopósido, toda de calidad, seguras y eficaces.",0.0,49,22,02,2022
JORGE ALCOCER VARELA,"Y, por último, en la siguiente les comunico que del 12 al 18 de febrero se prepararon dos mil 603 mezclas oncológicas para pacientes del Instituto Nacional de Cancerología del Hospital Juárez de México y del Instituto de Enfermedades Respiratorias. En siguientes días se sumarán a esta unidad de mezclas de medicamentos el Hospital General de México, para así completar lo que es en la zona metropolitana y cercanías la preparación de estos productos, donde se suman diferentes antineoplásicos de acuerdo a la enfermedad y antibióticos, así como suplementos para alimentación nutricional.",0.0,92,22,02,2022
JORGE ALCOCER VARELA,Muchas gracias.,0.0,2,22,02,2022
