Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, estamos de nuevo en Colima, en esta visita para apoyar, respaldar, al gobierno de Colima y desde luego garantizar la seguridad de la población por actos de violencia de la llamada delincuencia organizada, estamos aquí para expresarle al pueblo de Colima que se cuenta con el apoyo del gobierno federal. Y lo mismo, dejar de manifiesto que la maestra Indira Vizcaino Silva no está sola, que tiene todo el apoyo del gobierno de la República. Vamos a informar sobre esta materia de seguridad en Colima.",0.0,86,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y luego vamos también a participar en la firma de un convenio de colaboración en materia de salud para mejorar el servicio de salud en Colima, tanto en unidades médicas rurales, centros de salud y hospitales. Es un convenio que se va a firmar en este día.",0.0,47,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,De modo que comenzamos con Indira.,0.0,6,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien, pues esta es la información. Vamos a abrir para preguntas y respuestas, si les parece.",0.0,17,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ah, nos falta, por eso no levantaban la mano, nos falta la firma de Salud del acuerdo de Salud.",0.0,19,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ahora sí. Adelante y luego México, digo, Colima, México.",0.0,9,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, en general decir que todos los médicos que trabajaron, ayudaron, arriesgaron hasta su vida durante la pandemia tienen la posibilidad y es nuestro compromiso de seguir trabajando sin problemas.",0.0,30,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se está haciendo un reacomodo porque se está ordenando todo lo relacionado con el sistema de salud, como aquí se expresó. Si ustedes notaron, hay un número de médicos generales, de especialistas, de enfermeras que se tienen que contratar porque hay un déficit en Colima y en el país. Hacen falta médicos, enfermeras, personal de salud y se están contratando, esos mismos van a ser contratados.",0.0,66,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, pero es temporal. Ya hicimos el compromiso, no se va a quedar ningún médico, ninguna enfermera sin empleo. Todos, porque los vamos a necesitar, todos los médicos, todas las enfermeras del país van a tener trabajo, nada más que estamos ordenando para que sólo haya una nómina, una nómina federal, federalizar a todos los trabajadores de salud, es un proceso de reestructuración que se está llevando a cabo.",0.0,69,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca del hospital, yo creo que Zoé podría contestar.",0.0,9,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, lo puede atender el secretario de Gobernación y la procuraduría agraria.",0.0,12,25,02,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que ha sucedido históricamente es que existen estas resoluciones presidenciales y se presentan amparos, se va a tribunales, inclusive ya agotadas todas las instancias legales, de todas maneras, ya no se ejecutan estas resoluciones, porque no hay autoridad que quiera hacerlo, porque ya el terreno, si son además áreas de valor turístico, esto sucede mucho en las playas, ya se ocuparon, ya se invadieron y no se llevan a cabo las ejecuciones.",0.0,73,25,02,2022
