Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OMAR FAYAD MENESES," Muchas gracias, gracias, señor presidente. Bienvenido a su casa, al estado de Hidalgo, donde lo recibimos con mucho aprecio, con afecto y con el entusiasmo de poder evaluar la situación que guarda el estado en materia de seguridad y de otras materias, pero particularmente en el tema de seguridad.",0.0,49,03,02,2022
OMAR FAYAD MENESES,"Y no sólo le doy la bienvenida al señor presidente, a su equipo de trabajo. Aquí en la conferencia de prensa con nosotros el señor secretario de Gobierno, Adán Augusto, muchas gracias; el general Cresencio Sandoval, secretario de la Defensa, como siempre, bienvenido; nuestra querida amiga secretaria de Seguridad y Protección Ciudadana, Rosa Icela Rodríguez; también le damos la más cordial bienvenida y lo felicitamos por su cumpleaños el día de hoy al almirante secretario de Marina José Rafael Ojeda Durán; al general Luis Rodríguez Bucio; también a Carlos Torres, de la Secretaría Técnica de la Presidencia, para los datos que ha dicho el señor presidente que va a informar.",0.0,110,03,02,2022
OMAR FAYAD MENESES,"Hace un momento tuvimos la reunión de coordinación para la construcción de la paz y para analizar cómo se encuentra el estado de Hidalgo en materia de seguridad, tema que mucho importa a los mexicanos y los hidalguenses.",0.0,38,03,02,2022
OMAR FAYAD MENESES,"La seguridad pública, nosotros hemos señalado ya públicamente y hoy lo sostenemos, es el pilar sobre el que descansa el desarrollo de nuestro pueblo, es el pilar sobre el que descansa la democracia, el empleo, la educación, la economía, la cultura, el acceso a la salud y todo lo demás, por eso ha resultado un tema de la mayor relevancia.",0.0,60,03,02,2022
OMAR FAYAD MENESES,"En Hidalgo estamos convencidos que la seguridad es algo que se construye todos los días y se construye con la voluntad política y la coordinación operativa de quienes tenemos la obligación de proveerla, por lo que refrendo mi compromiso y disposición para continuar trabajando articuladamente con las instituciones del gobierno de la República, asimismo con las instituciones municipales y todas las del gobierno del estado de Hidalgo para poder garantizar a la población esta seguridad.",0.0,75,03,02,2022
OMAR FAYAD MENESES,"Le he informado esta mañana al presidente que durante el ejercicio del 2021 en Hidalgo se registraron 46 mil 464 delitos, lo que nos lleva a ocupar un lugar en el ranking nacional, que esta mañana informó el secretario de la Defensa, en el 18 lugar o décimo octavo lugar nacional.",0.0,51,03,02,2022
OMAR FAYAD MENESES,"Hidalgo presentó un comportamiento en muchos aspectos similar al del resto del país y reportó un incremento en el año 2021 con respecto al año 2020, significativo para nosotros, pero al final del periodo se registraron 17 mil 415 delitos menos de los cometidos que se reflejan en el promedio nacional.",0.0,51,03,02,2022
OMAR FAYAD MENESES,"Y los esfuerzos de coordinación institucional —creo que no han pasado la proyección, ¿verdad?, pero sería bueno que la fuéramos poniendo, la primera diapositiva— los esfuerzos de coordinación interinstitucional han permitido que Hidalgo mejore su posición en el ranking nacional e índice delictivo de manera muy importante con base a la información que emite el secretario ejecutivo del Sistema Nacional de Seguridad Pública, y nos mantenemos como uno de los estados más seguros de la zona centro del país.",0.0,79,03,02,2022
OMAR FAYAD MENESES,"Y tenemos afortunadamente una extraordinaria colaboración, señor presidente, con los estados vecinos, tanto los de la región metropolitana de la Ciudad de México, con la propia jefa de gobierno de la Ciudad de México, Claudia Sheinbaum, con el gobernador Del Mazo, pero también con los gobernadores de Tlaxcala, de Puebla, de San Luis Potosí, de Veracruz, de Querétaro.",0.0,58,03,02,2022
OMAR FAYAD MENESES,"Esto nos ha permitido, con una buena coordinación, con una cooperación institucional, conservarnos como uno de los estados más seguros del país en la zona centro, no obstante que hemos tenido eventos en los últimos días que nos llamaron la atención y en los que estamos trabajando coordinadamente también con el gobierno de la República, porque hacía tiempo no teníamos un evento como el que se registró el fin de semana pasado en el estado de Hidalgo, donde hubo un multihomicidio, seis personas muertas derivado del enfrentamiento entre delincuentes que tienen que ver con el tema del narcomenudeo.",0.0,98,03,02,2022
