Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LORENA CUELLAR CISNEROS, Muy buenos días a todas y a todos.,0.0,8,04,02,2022
LORENA CUELLAR CISNEROS,"Con un agradecimiento profundo doy la bienvenida a Tlaxcala, cuna de la nación, a nuestro presidente Andrés Manuel López Obrador. Muchas gracias, presidente. Sabe de mi compromiso, de mi lealtad, de que trabajaré a su lado transformando a Tlaxcala y a México, y daré todo mi corazón y mi entrega total, mi vocación de servicio para los que menos tienen.",0.0,60,04,02,2022
LORENA CUELLAR CISNEROS,"De la misma manera saludo a todos los integrantes del gobierno federal que nos acompañan, a los medios de comunicación.",0.0,20,04,02,2022
LORENA CUELLAR CISNEROS,"Hace cuatro años iniciaba el camino de la Cuarta Transformación. Este concepto nacía junto con la campaña a la Presidencia que encabezó nuestro presidente. Hoy, con orgullo, podemos decir que las bases de esta Cuarta Transformación son firmes y los vientos de cambio han llegado a todos los rincones del país, y Tlaxcala no es la excepción. Es indudable que las bases construidas determinarán un futuro distinto y mejor para todos los mexicanos.",0.0,73,04,02,2022
LORENA CUELLAR CISNEROS,"No podemos estar aún satisfechos. Consolidar este sueño de transformación exige un gran esfuerzo, un esfuerzo diario e irrenunciable, y trabajar y luchar cada día más para seguir construyendo un México justo, solidario y con bienestar para todos.",0.0,38,04,02,2022
LORENA CUELLAR CISNEROS,"En estos primeros cinco meses de mi gobierno, con una inversión superior a los 90 millones de pesos, equipamos con patrullas de alta tecnología a la Secretaría de Seguridad Ciudadana, a municipios y a la Policía de Investigación de la Procuraduría General de Justicia del estado.",0.0,46,04,02,2022
LORENA CUELLAR CISNEROS,"Dotamos a nuestros elementos de policía con mejor equipamiento, acompañado de un ambicioso plan de acciones para capacitar, certificar y reconocer su trabajo.",0.0,23,04,02,2022
LORENA CUELLAR CISNEROS,"Transformamos el sistema de emergencias 911 para brindar una atención eficiente, integral y de respuesta inmediata a nuestros ciudadanos.",0.0,19,04,02,2022
LORENA CUELLAR CISNEROS,"Capacitamos también a nuestros cuerpos de seguridad pública para consolidar una forma ética de actuar en las calles, de servir a nuestra comunidad y de velar por nuestras familias.",0.0,29,04,02,2022
LORENA CUELLAR CISNEROS,"Estas acciones han llevado a que nuestro estado hoy se posicione como una entidad más segura en el país. A pesar de contar con 300 policías en el estado, estamos haciendo una gran inversión para precisamente en este año fortalecer este cuerpo policíaco.",0.0,43,04,02,2022
LORENA CUELLAR CISNEROS,"Diariamente coordino las mesas de seguridad en el estado y de manera itinerante las hemos llevado a diferentes municipios, que nos permiten coordinar los trabajos de seguridad de manera eficiente.",0.0,30,04,02,2022
LORENA CUELLAR CISNEROS,Reactivamos 36 arcos de detección de vehículos robados para vigilar los accesos de entrada a nuestro estado.,0.0,17,04,02,2022
LORENA CUELLAR CISNEROS,Adquirimos un software de alta tecnología para atender emergencias de ciudadanos en tiempo real.,0.0,14,04,02,2022
LORENA CUELLAR CISNEROS,La campaña de canje de armas ha captado un 190 por ciento más respecto al año anterior.,0.0,17,04,02,2022
LORENA CUELLAR CISNEROS,El helicóptero usado para el servicio del gobernador ahora es usado para tareas de seguridad y el otro da servicio de ambulancia en apoyo a la salud.,0.0,27,04,02,2022
LORENA CUELLAR CISNEROS,Nuestro estado cuenta hoy con la Unidad de Inteligencia Patrimonial y Financiera para combatir casos de corrupción y operaciones con recursos de procedencia ilícita.,0.0,24,04,02,2022
LORENA CUELLAR CISNEROS,Creamos la procuración del medio ambiente para dar cumplimiento a la normatividad ambiental y cuidar de nuestros recursos naturales.,0.0,19,04,02,2022
LORENA CUELLAR CISNEROS,"Los principios éticos y valores de la Cuarta Transformación son el motor del cambio que estamos llevando a nuestro estado y, como nunca, hemos sumado a mujeres a este enorme compromiso. Por ello, combatimos frontalmente la violencia contra las mujeres. Si lastiman a una, nos lastiman a todas.",0.0,48,04,02,2022
LORENA CUELLAR CISNEROS,"Darle paso a nuestras mujeres es bienestar para todo. Por ello, promoví ante la Comisión Nacional para Prevenir y Erradicar la Violencia contra las Mujeres que se emitiera la declaratoria de alerta de violencia de género contra las mujeres en los 60 municipios de nuestro estado.",0.0,46,04,02,2022
LORENA CUELLAR CISNEROS,"Ante este compromiso, diseñamos un modelo integral de atención para mujeres víctimas de violencia. Hemos unificado las bases de datos que involucren violencia de género para contar con una lista única que nos ayuda a dar seguimiento a víctimas e identificar en todo momento a los agresores.",0.0,47,04,02,2022
