Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO ENCINAS RODRIGUEZ," Con su autorización, señor presidente. Muy buenos días tengan todas y todos ustedes.",0.0,13,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Vamos a dar cuenta de la información referente —aquí fue solicitada— a la situación de emergencia que en materia forense se está viviendo en el país, en un tema que, si bien corresponde fundamentalmente al ámbito local en distintas instituciones, que son tanto las fiscalías de los estados como los tribunales superiores de justicia o las secretarías de Salud de distintas entidades, requiere de una acción puntual del Estado mexicano para abatir esta situación.",0.0,74,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"De manera muy breve recordar cómo las prioridades que ha marcado el presidente de la República están claramente señaladas para atender los temas de búsqueda, identificación de las personas desaparecidas en la construcción de nuestras capacidades institucionales y de infraestructura para atender la demanda de las familias, así se ha convertido ya en los últimos tres años.",0.0,57,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Se han ya integrado distintas acciones, que van desde la formación del Sistema Nacional de Búsqueda, la comisión nacional, las 32 comisiones locales, los distintos protocolos homologados de búsqueda con especialidad en perspectiva de género y atención a niñas y mujeres, el caso de personas migrantes, la creación del Mecanismo Extraordinario de Identificación Humana, incluso destaca el reconocimiento, la competencia del Comité de Desaparición Forzada de Naciones Unidas que nos visitó, fue el primer país que visitó desde su existencia, desde su fundación en noviembre del 2021 y que, como nos han informado, con toda seguridad el próximo 8 de marzo presentará el informe de esta visita.",0.0,107,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Pero uno de los temas que llama más la preocupación y que tenemos que revertir en el corto plazo es lamentablemente el rezago que tenemos en materia forense y de identificación de las personas. Hemos hecho un esfuerzo muy significativo, canalizando recursos que antes no se asignaban, no se asignaba ningún recurso de esta naturaleza a desarrollar las capacidades locales de los servicios forenses en los estados o en las comisiones de búsqueda.",0.0,73,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"A la fecha quiero señalar que, incluyendo los recursos asignados al presente ejercicio presupuestal, ya suman mil 700 millones de pesos que han sido orientados a fortalecer las capacidades en materia de búsqueda, en materia forense, en resguardo de cuerpos, en laboratorios móviles en los distintos estados de la República. Eso nos ha permitido ya contar con la construcción y funcionamiento de dos centros regionales de identificación humana, uno ubicado en Saltillo, en Coahuila, y otro en la capital de San Luis Potosí, que ahora están dando ya los primeros resultados.",0.0,91,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Junto con ello se han fortalecido todos los aspectos de cooperación internacional. Actualmente estamos trabajando con la Unión Europea, con las embajadas de Alemania, con su agencia G y Z, con la embajada de los Estados Unidos de Norteamérica, su agencia US, y con distintas agencias internacionales para apoyar las capacidades forenses en distintos estados.",0.0,55,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Actualmente se está trabajando en los estados de Coahuila, Jalisco, Sonora y Tamaulipas, que son de los estados que concentran el mayor número de cuerpos sin identificar, y en ello se cuenta también de manera muy significativa con el apoyo de la Fundación de Antropología Forense de Guatemala, que es uno de los equipos periciales más calificados que existen en el mundo.",0.0,62,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"Y de manera particular quiero destacar la reciente firma de un convenio de colaboración y entrenamiento del Instituto Nacional de Medicina Genómica, la institución científica más importante de nuestro país, nosotros sostenemos que de América Latina en estos temas, junto con el Laboratorio de Identificación Genética de la Universidad de Innsbruck.",0.0,51,17,03,2022
ALEJANDRO ENCINAS RODRIGUEZ,"El objetivo de este convenio es desarrollar las capacidades de identificación humana partiendo de muestras complejas, aprovechando la capacidad instalada de análisis genético y el personal altamente calificado del Instituto Nacional de Medicina Genómica, con lo cual ya podrán realizarse en nuestro país el análisis de muestras complejas. Es decir, queremos tener un Innsbruck mexicano y para ello hay que reconocer la disposición, es el primer convenio que firma la Universidad de Innsbruck con otra institución científica de otro país y esperemos que este tenga resultados muy puntuales porque ya iniciarán en esos días los primeros análisis de muestras de restos en esta institución.",0.0,104,17,03,2022
