Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO MEJIA BERDEJA," Con su permiso, señor presidente, secretaria Rosa Icela, señoras y señores.",0.0,11,17,03,2022
RICARDO MEJIA BERDEJA,"Vamos a presentar el reporte de cero impunidad, que es el trabajo de la Secretaría de la Defensa Nacional, Marina, la Secretaría de Seguridad, la Fiscalía General de la República, las fiscalías locales, Centro Nacional de Inteligencia y desde luego también las secretarías de Seguridad de los estados.",0.0,48,17,03,2022
RICARDO MEJIA BERDEJA,"En primer término, dar cuenta que el pasado 26 de febrero en la Ciudad de México se detuvo a José Alfredo ‘N’, alias ‘el Contador’, que fue una operación coordinada por el Ejército Mexicano, la Guardia Nacional y la Secretaría de Seguridad Ciudadana de la Ciudad de México.",0.0,48,17,03,2022
RICARDO MEJIA BERDEJA,"Es importante destacar que esta persona es el líder del cártel del Golfo en la vertiente ‘Ciclones’ que tiene su sede en Matamoros, Tamaulipas, quien además del trasiego de drogas y armas está vinculado a diferentes hechos de violencia como el asesinato de 15 personas en Reynosa, Tamaulipas, el pasado mes de junio de 2021, fue puesto a disposición de la Fiscalía General de la República y vinculado a proceso penal.",0.0,71,17,03,2022
RICARDO MEJIA BERDEJA,"Este es el caso de la detención de Cristian Alejandro, alias ‘el Zorro’, quien contaba con órdenes de aprehensión por secuestro y homicidio. Él es operador criminal del cártel Jalisco Nueva Generación en la zona centro del Estado de México, quien estaba al frente de un grupo de sicarios conocidos como ‘los Zorros’. Fue detenido en una operación coordinada en Zapopan, Jalisco, con la propia Fiscalía General de Justicia del Estado de México y la de Jalisco. Se dedicaba, insisto, al secuestro y ya está en proceso de su vinculación penal.",0.0,91,17,03,2022
RICARDO MEJIA BERDEJA,"Siguiente. Esta es una detención muy importante operada por personal ministerial de la agencia de investigación criminal de la Fiscalía General de la República, pero con el apoyo decidido de la Secretaría de la Marina. Se trata de Aldrin ‘J’, alias ‘el Chaparrito’, líder criminal en el estado de Colima, fundamentalmente en el puerto de Manzanillo, perteneciente al cártel Jalisco Nueva Generación. Ya está detenido junto con una femenina y está en proceso de vinculación penal.",0.0,76,17,03,2022
RICARDO MEJIA BERDEJA,"Siguiente. Esta es la detención y posterior deportación de Juan Gerardo ‘N’, alias ‘el Huevo’, líder del cártel del Noreste, que opera en cinco estados de la República, fundamentalmente en Tamaulipas, de la parte de Laredo al área de la ribereña. Contaba con orden de aprehensión en Tamaulipas y en Coahuila y con un mandato de detención con fines de extradición; sin embargo, como ya se informó hace un par de días, al ser ciudadano norteamericano y al haber un pedimento del gobierno de Estados Unidos por una orden de arresto por diferentes delitos en Estados Unidos a través de un proceso administrativo migratorio que encabezó el Instituto Nacional de Migración fue deportado a la frontera de Tijuana y posteriormente fue detenido por el gobierno de Estados Unidos. Este es el proceso de deportación.",0.0,134,17,03,2022
RICARDO MEJIA BERDEJA,"Y sí subrayar que es parte de un grupo criminal, que fue Los Zetas, que ahora es el cártel del Noreste, donde varios integrantes de este grupo criminal están ya detenidos en penales federales y, no obstante, siguen siendo un generador de violencia, por esa esta detención es tan importante.",0.0,50,17,03,2022
RICARDO MEJIA BERDEJA,"También el pasado 13 de marzo se detuvo a Antonio ‘N’ alias ‘el 300’ y/o ‘Bin Laden’, que es parte de un grupo criminal que tiene asiento en Chihuahua, fundamentalmente en Parral y en diferentes municipios. Es parte también del cártel del Pacífico, toda vez que este grupo de ‘Gente Nueva’ opera con el cártel del Pacífico. Fue una acción coordinada por el Ejército Mexicano, Centro Nacional de Inteligencia, la Conase, Guardia Nacional, y de manera muy destacada las fiscalías de Chihuahua y de Chiapas. Cuenta con tres órdenes de aprehensión por homicidio, entre otras, y ya está en proceso de vinculación a proceso penal.",0.0,105,17,03,2022
RICARDO MEJIA BERDEJA,"Sobre el caso de San José de Gracia, que aquí se ha expuesto en diferentes momentos, señalar que ya hay seis órdenes de aprehensión contra seis probables responsables materiales de estos hechos. Se trata de Abel ‘N’, alias ‘el Viejón’; Antonio ‘N’, alias ‘Bolanchana’; Juan Manuel ‘N’, alias ‘el Rush’; Jesús Eduardo ‘N’, alias ‘el Chili’; Jesús Adrián ‘N’, alias ‘el Mora’; y Cristian Alejandro ‘N’, alias ‘el Sapo’. Todos ya están identificados, ya hay orden de aprehensión. Señalar que, como lo informó el fiscal de Michoacán, Adrián López, con el gobernador estamos muy en comunicación, hay ya una orden de búsqueda y una recompensa con base en la ley de Michoacán.",0.0,112,17,03,2022
