Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Buen día, señor presidente; buen día a todas y a todos. Hoy traemos un par de notas.",0.0,17,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Falsean video de televisión rusa para difundir mentiras sobre el presidente López Obrador. La semana pasada se difundió un video a través de la cuenta de TikTok, Cultura Pop, de XXLL, en el cual se alteró el contenido de un noticiero ruso y de un mensaje de Vladimir Putin. Mediante subtítulos, se decía que el mandatario ruso cuestionaba la postura del presidente de México respecto a la guerra y que habría consecuencias graves para nuestro país. Un verdadero disparate.",0.0,79,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"El video fue borrado, pero se viralizó a través de otras redes sociales como Facebook y Twitter, y fue enviado como cadenas en aplicaciones de mensajería instantánea como WhatsApp y Telegram. El video armado es falso, pues el video real es de 2018 y se trata de un informativo de Rusia que está dando la noticia de que el mandatario ruso celebró el triunfo de Andrés Manuel López Obrador como presidente de México, pero así se las gastan en su pretensión de desprestigiar al presidente.",0.0,85,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Siguiente, por favor. ‘No importa que sea un homenaje a la bandera de la República Dominicana, yo veo que se trata de una bandera rusa en tierras mexicanas. No puede ser. La bandera rusa ondea en la Ciudad de México’. Falso.",0.0,41,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"El domingo 27 de febrero, con motivo del 178 aniversario de la independencia de la República mexicana, la Ciudad de México se unió a las celebraciones iluminando los edificios públicos con los colores de la bandera dominicana durante cinco horas.",0.0,40,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Dos días antes, la embajada del país caribeño lo había informado, había informado sobre esta celebración conjunta, pero a pesar de ello, en redes sociales circularon críticas porque decían algunos que se estaba iluminando los edificios de la ciudad con los colores de la bandera rusa en apoyo a ese país en guerra, lo cual es totalmente falso.",0.0,58,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Por cierto, a Ricardo Rojo, que vemos en la pantalla, lo relacionan con operaciones para proveer contenidos a los bots de oposición, como lo hizo en la campaña electoral de 2018.",0.0,31,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,Pero el desmentido salió en algunos medios y queremos leerles un tuit que nos pareció que ilustra bastante bien:,0.0,19,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"‘No importa —es de Poncho Gutiérrez— no importa que la embajadora de República Dominicana ya saliera a confirmar que las luces de los colores en el Zócalo son un homenaje a su aniversario de independencia. Si los derechairos dicen que es la bandera de Rusia es la bandera de Rusia. Entiendan, chairos tercos.’",0.0,53,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Y por último queremos compartirles una reflexión. Es muy conocida la frase de que la primera víctima en una guerra es la verdad, no queda duda de ello en el actual conflicto bélico provocado por la invasión de Rusia sobre Ucrania.",0.0,41,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Los medios de comunicación y las redes sociales se han convertido en una extensión del campo de batalla, y como en la guerra todo se vale, la mentira, la desinformación, las noticias falsas, hasta las distorsiones parecen ganarse a la población a su causa.",0.0,44,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Por si fuera poco, en las redes sociales se aíslan o censurar contenidos según los intereses de las empresas que las administran. Una sociedad democrática no puede permitir la censura ni por privados ni por gobiernos, como hoy ocurre con Twitter, Facebook, YouTube y otras redes sociales.",0.0,47,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Desde este espacio hacemos un llamado a no caer en manipulaciones informativas, a actuar con prudencia, a buscar y consultar fuentes fiables, y a no compartir datos que no estén verificados. Digamos no a la guerra, si a la paz, sí a la libre circulación de contenidos y también al derecho de réplica, no a la violencia, sí al diálogo.",0.0,60,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,Nuestro más sentido pésame a las familias de víctimas de esta guerra injusta.,0.0,13,02,03,2022
ANA ELIZABETH GARCIA VILCHIS,"Es cuanto, señor presidente.",0.0,4,02,03,2022
