Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, hoy vamos, como todos los martes, a tratar lo relacionado con el Pulso de la Salud, cómo vamos en el avance para frenar la pandemia, para terminar de controlar la pandemia de COVID, cuál es el resultado. Nos van a informar el doctor Jorge Alcocer, el doctor Hugo López-Gatell y el general Luis Cresencio Sandoval González en lo que tiene que ver con la distribución de vacunas, porque tenemos que seguir vacunando, ya es sabido que lo mejor es vacunarnos, protegernos, no confiarnos.",0.0,84,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también hoy vamos a dar a conocer ya un decreto para declarar zona de reserva, zona natural de reserva a lo que es todo el lago de Texcoco, donde se iba a construir el aeropuerto se declara zona de reserva natural y van a explicar los fundamentos de este decreto María Luisa Albores, secretaria de Medio Ambiente.",0.0,58,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también lo que se está haciendo para disfrutar de esta importante zona ecológica de la Ciudad de México, se está haciendo un parque ecológico y el maestro Iñaki Echeverría va a informar sobre en qué consiste este parque recreativo y ecológico.",0.0,42,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eso es básicamente, de modo que empezamos con el doctor Jorge Alcocer.",0.0,12,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Adelante.,0.0,1,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, pues esta es la exposición sobre este parque ecológico y la declaración de zona de reserva al lago de Texcoco, que es algo muy importante, la recuperación del lago.",0.0,30,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Quedaron pendientes el viernes o el jueves Miguel Reyes Razo, y aquí está Miguel y nos da mucho gusto. Adelante.",0.0,20,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, es parte, Miguel, del proceso de transformación, es avanzar en el bienestar del pueblo, es desarrollar económicamente el país, pero también llevar a cabo una revolución de las conciencias. Creo que eso es muy importante porque podemos administrar bien con honestidad, destinar recursos al bienestar del pueblo, hacer obras de desarrollo, pero si no avanzamos en un cambio de mentalidad todo eso puede echarse para atrás.",0.0,67,22,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ese riesgo existe. Cuando cambia la mentalidad del pueblo cambia todo, es lo más difícil de lograr. Hay veces que se presentan revoluciones, luchas armadas; incluso, triunfan movimientos revolucionarios y la gente sigue pensando igual. Por eso pasa el tiempo y no tanto tiempo, y hay retrocesos y todo el sacrificio, todo el esfuerzo, se pierde.",0.0,56,22,03,2022
