Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días. Bueno, vamos a iniciar la semana informando a todo el pueblo de México, como lo hacemos desde hace más de tres años.",0.0,24,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a que nos informe el doctor Ricardo Sheffield sobre quién es quién en los precios de los combustibles.,0.0,19,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Luego, se va a informar sobre los fertilizantes, aquí nos pidieron que se informara sobre este tema.",0.0,17,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y está el ingeniero Octavio Romero Oropeza, director de Pemex, y el doctor Víctor Manuel Villalobos, secretario de Agricultura, para informar sobre fertilizantes.",0.0,23,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También vamos a informar sobre actos de violencia recientes y para eso nos va a presentar un reporte Ricardo Mejía, subsecretario de Seguridad Pública y Protección Ciudadana.",0.0,27,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Terminando estos tres temas, abrimos para preguntas y respuestas.",0.0,9,07,03,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, comenzamos con Ricardo.",0.0,4,07,03,2022
RICARDO SHEFFIELD PADILLA," Buenos días, señor presidente; buenos días a todas y a todos ustedes.",0.0,12,07,03,2022
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de los combustibles. Tenemos el precio la semana pasada para gasolina regular en 21 pesos con 30 centavos, un incentivo fiscal del 100 por ciento, en esta semana no se pagará el IEPS en los combustibles; 23 pesos con 19 centavos es el incentivo fiscal del 97.14 por ciento en esta semana para la Premium; y en el diésel el precio promedio la semana pasada, 22 pesos con 42 centavos por litro, el incentivo fiscal también el 100 por ciento en esta semana al diésel.",0.0,91,07,03,2022
RICARDO SHEFFIELD PADILLA,"Esto por las circunstancias que prevalecen a nivel internacional. Una gran presión sobre los energéticos, la guerra entre Rusia y Ucrania, y los efectos a nivel internacional de la pandemia están presionando mucho de los energéticos, 103.71 dólares es el precio que tuvo con corte el 3 de marzo la mezcla mexicana de petróleo. Esta presión continúa.",0.0,57,07,03,2022
