Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.0,3,11,04,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a iniciar la semana con el Quién es quién en los precios, con Ricardo Sheffield, que nos va a informar, y posteriormente vamos a informar sobre la consulta democrática del día de ayer.",0.0,35,11,04,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Adelanto, y lo hice anoche, de que fue un éxito completo. La gente actuó con mucha responsabilidad, millones de mexicanos, y vamos a ver resultados, que eso es importante. Estamos ante un hecho histórico, es algo inédito en la historia de nuestro país. Por primera vez se hace una consulta a los ciudadanos para que decidan sobre el gobierno del presidente, el buen gobierno o el mal gobierno, el que siga o el que se vaya, refirmando de que es el pueblo el que manda, de que es el pueblo el soberano, para que quede claro y eche raíces; para que nadie en ningún nivel de la escala se sienta absoluto.",0.0,111,11,04,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque durante mucho tiempo, siglos, se pensó que la política era asunto de los políticos y que el pueblo no existía, y ahora estamos en una etapa nueva, no sólo de democracia representativa, sino de democracia participativa.",0.0,37,11,04,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto ya se aplica en otros países del mundo, los más avanzados en el terreno democrático; siempre se les consulta a los ciudadanos. En Europa hay países que tienen consultas cada 15 días, cada mes tienen los ciudadanos que estar participando en distintos aspectos; más, cuando se trata de un asunto trascedente, fundamental. Por eso fue un día especial, un día histórico el día domingo de ayer.",0.0,67,11,04,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y vamos a informar primero con Ricardo y luego vamos a dar un informe sobre los resultados de la consulta.,0.0,20,11,04,2022
RICARDO SHEFFIELD PADILLA," Muy buenos días, señor presidente; buenos días a todas y a todos ustedes.",0.0,13,11,04,2022
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de los combustibles. Tenemos el precio promedio la semana pasada para la gasolina regular en 21 pesos 62 centavos y en esta semana 100 por ciento de incentivo fiscal, 23.51 pesos por litro en la Premium la de alto octanaje, también 100 por ciento de incentivo fiscal; 22 pesos con 90 centavos por litro de diésel, y también en esta semana 10 por ciento de incentivo fiscal, quiere decir que no vamos a estar pagando el IEPS en la gasolina y en diésel en esta semana.",0.0,92,11,04,2022
RICARDO SHEFFIELD PADILLA,"Esta política ha venido dando resultados, lo podemos ver, el precio internacional del barril de petróleo el 7 de abril 93 pesos con… 93 dólares con 43 centavos. Si vemos, parece un infarto al final de la gráfica y, sin embargo, estabilidad en los precios en el país. Es un claro reflejo que la política que ha instruido el señor presidente es una política adecuada que beneficia directamente a los bolsillos de las familias mexicanas, y lo beneficia de manera directa, porque el transporte incide en el precio de prácticamente todo en el país.",0.0,94,11,04,2022
RICARDO SHEFFIELD PADILLA,"Las tres marcas que están más caras es Arco, RedCo y Chevron; las tres que están más económicas, que son aliados de los consumidores, Repsol, G500 y Orsan. Vemos cómo Pemex se ha venido moviendo a la parte baja de la tabla, cosa muy favorable.",0.0,45,11,04,2022
