Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Buenos días, señor presidente; muy buenos días a todas y a todos ustedes.",0.0,13,18,04,2022
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de los combustibles. Empezamos por las gasolinas y el diésel. El precio internacional con corte al 13 de abril, 101 dólares con 14 centavos el barril de la mezcla mexicana de petróleo. Como ustedes pueden ver, sigue muy errático el mercado, sigue pareciendo un infarto y a una tendencia ligera a la alza, a pesar del subsidio del 100 por ciento; pero afortunadamente no mucho.",0.0,71,18,04,2022
RICARDO SHEFFIELD PADILLA,"Es una gran ayuda el que se continúe con un subsidio al 100 por ciento, un estímulo fiscal sobre el IEPS, que no estamos pagando las mexicanas y mexicanos este impuesto en las gasolinas; 21 pesos con 68 centavos el promedio de la regular por litro la semana pasada, 23 pesos con 57 centavos por litro la Premium y 23 pesos con un centavos el diésel.",0.0,66,18,04,2022
RICARDO SHEFFIELD PADILLA,¿Cuáles fueron las tres marcas más caras?,0.0,7,18,04,2022
RICARDO SHEFFIELD PADILLA,"Redco, Arco y Chrevron.",0.0,4,18,04,2022
RICARDO SHEFFIELD PADILLA,"Ha continuado a la baja, y qué bueno, lo agradecemos, porque son muy representativas, Oxxo Gas, Shell y en general también BP, excepto en el Valle México, ojalá en el Valle de México pueda dar BP los mismos precios que da en otras partes de la República.",0.0,47,18,04,2022
RICARDO SHEFFIELD PADILLA,"Y las más económicas, G500, Repsol y Orsan.",0.0,8,18,04,2022
RICARDO SHEFFIELD PADILLA,"Vamos ahora por regiones y por tipo de combustible. Tenemos la gasolina regular, la más cara, con el margen más alto, en BP, la franquicia BP, en Escárcega, Campeche, 23 pesos con 39 centavos por litro, estos angelitos nada más le ganan tres pesos con 45 centavos a cada litro, comparado con los 15 centavos que gana franquicia Pemex en Ciudad Madero, Tamaulipas, con un precio al público de 20 pesos con 30 centavos. Petro Seven es la más cara con el margen más alto de la Premium en Juárez, Nuevo León 25 pesos con 19 centavos por litro, un margen de tres pesos con tres centavos; y Pemex, franquicia Pemex en Veracruz, Veracruz, 21 pesos 78 centavos, con un margen de 15 centavos, la opción más económica para la Premium.",0.0,131,18,04,2022
RICARDO SHEFFIELD PADILLA,"Ahora vamos al diésel. Quick Gas en Mazatlán, Sinaloa, 24 pesos con 99 centavos, una franquicia regional que tiene un margen de dos pesos con 30 centavos, comparados con el margen de 16 centavos que tiene franquicia BP en Cintalapa, Chiapas, 22 pesos con 45 centavos por litro.",0.0,48,18,04,2022
RICARDO SHEFFIELD PADILLA,"Como pueden ver, el tema de las franquicias y las marcas no es necesariamente el que nos guía a las mejores opciones. Por eso los invito a utilizar la app de Litro por litro, que es gratuita y que se puede descargar en iOS y en Android, y pueden ver el día a día, cómo se comportan en donde ustedes viven los precios de las gasolinas y del diésel.",0.0,69,18,04,2022
