Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con permiso, señor presidente.",0.0,4,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Continuamos con el informe de distribución de vacunas. El día de ayer, de la existencia que se tenía en Incan y en Birmex, se distribuyeron dos millones 294 mil 460 dosis.",0.0,31,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a ver aquí la manera en que lo hicimos. En distribución área fueron 776 mil dosis, se atendieron 12 entidades federativas a través de dos rutas aéreas con aeronaves de la Fuerza Aérea Mexicana.",0.0,35,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En la ruta 1 se cubrió Nayarit, Sinaloa, Baja California Sur, Sonora y Chihuahua.",0.0,14,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En la ruta 2 se atendió Veracruz, Tabasco, Yucatán, Quintana Roo, Campeche, Chiapas y Oaxaca.",0.0,15,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En la distribución terrestre, un total de un millón 518 mil 460 dosis. Aquí acudieron a Birmex seis entidades: Ciudad de México, Hidalgo, Estado de México, Tlaxcala, Puebla y Querétaro, ahí les fue entregada sus dosis correspondientes, y se atendieron a otras 11 entidades a través de cuatro rutas que se integraron:",0.0,52,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"La primera, para cubrir Michoacán, Jalisco y Colima.",0.0,8,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"La segunda, Aguascalientes, Zacatecas y Durango.",0.0,6,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"La tercera, San Luis Potosí, Tamaulipas, Nuevo León y Coahuila.",0.0,10,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"La número 4, para atender a Guerrero.",0.0,7,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Todas estas rutas, como siempre se ha realizado, la seguridad está a cargo del Ejército, de la Armada, de la Guardia Nacional y la transportación aérea por parte de la Fuerza Aérea.",0.0,32,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Este es el resumen. Las dosis transportadas, dos millones 294 mil 460 dosis, un millón 518 mil 460 vía terrestre, 776 mil vía aérea, 29 entidades federativas a las cuales se les llevó sus dosis, se integraron 30 escoltas de seguridad en 30 diferentes rutas, se realizaron 14 operaciones aéreas con 13.15 horas de vuelo, se emplearon 908 elementos, 90 vehículos, dos aeronaves.",0.0,63,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí tenemos el total de vacunas transportadas desde diciembre de 2020 a la fecha. Por vía aérea, 54 millones 123 mil 879; por vía terrestre, 148 millones 605 mil 659 dosis, para hacer un total de 212 millones 729 mil 538 dosis.",0.0,42,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"En lo que va del año por vía aérea hemos transportado nueve millones 189 mil 270 dosis, por vía terrestre 35 millones 128 mil 530 dosis, para un total de 44 millones 317 mil 800 dosis.",0.0,36,19,04,2022
LUIS CRESENCIO SANDOVAL GONZALEZ,"Es todo, señor presidente.",0.0,4,19,04,2022
