Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ADAN AUGUSTO LOPEZ HERNANDEZ, Buenos días a todos.,0.0,4,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Atendiendo sus indicaciones, señor presidente, un grupo de trabajo encabezado por la coordinadora jurídica del gobierno federal, Horacio Duarte, Pablo Gómez, un servidor y otros compañeros, hemos terminado la propuesta de una iniciativa de reforma democrática.",0.0,36,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Más que una reforma electoral, esta iniciativa de reforma que hoy se presenta a la Cámara de Diputados responde al añejo reclamo de los ciudadanos del pueblo de México.",0.0,29,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Se concretiza finalmente la propuesta de, entre otras cosas:",0.0,9,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Que haya reducción en el número de plurinominales, diputados plurinominales.",0.0,10,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,Que desaparezcan los senadores de lista o plurinominales,0.0,8,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,Que los organismos electorales sean los integrantes de los organismos electorales.,0.0,11,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"No nada más se reduzcan su número, sino que sean electos de manera directa por los ciudadanos, mediante un proceso en el cual los tres poderes del Estado van a proponer a ciudadanos para que sean los integrantes de ese organismo electoral.",0.0,42,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,Se reduce el financiamiento a los partidos políticos.,0.0,8,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,Se reduce el costo de las elecciones.,0.0,7,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Se garantiza, con la posibilidad del voto electrónico, que haya todavía mayor certeza en la participación de los ciudadanos, quienes podrán optar por votar de manera electrónica o votar en las casillas como hasta ahora se hace.",0.0,37,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Se facilita también con esta iniciativa de reforma la participación de los millones de mexicanos que viven en el extranjero y por una u otra razón no pueden estar en el país el día de las elecciones, pero ellos podrán hacerlo ya de manera electrónica, mediante un procedimiento más ágil.",0.0,50,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Y, finalmente, se reduce también el financiamiento a los partidos políticos.",0.0,11,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Ya los procesos electorales en el país, atendiendo un reclamo ciudadano, dejarán de ser los más caros del mundo y habrá procedimientos modernos para finalmente que se instaure, se normalice la vida democrática en el país con la participación directa de los ciudadanos.",0.0,43,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ," Bueno, en relación a la investigación sobre los hechos lamentablemente sucedidos en el casino en Nuevo León, la carpeta fue consignada, está terminándose de integrar. Hasta donde recibimos el reporte, hace como tres semanas, ya está prácticamente citada para sentencia.",0.0,40,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Ahora bien, lo que sostiene, de que en esta administración se le otorgó nuevamente el permiso para funcionamiento, el permiso en esta administración, se inició el proceso de cancelación, no se ha entregado en esta administración ningún permiso para apertura de nuevos casinos, ya sea de apuesta en línea o de casinos de presencia física.",0.0,55,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Y, si me lo permiten, en una semana, en 15 días le podemos mostrar el expediente de la Dirección de Juegos y Sorteos, y seguramente ya habrá para esa fecha una resolución del juez de la causa. Una vez que esto suceda, hay coadyuvancia de la federación, en este caso de la Fiscalía General de la República, y puede intervenirse en dado caso para una apelación.",0.0,66,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ,"Lo que manifiesta del memorial que se había construido, se había construido en terrenos del casino, sí nos enviaron el reporte de que lo habían derruido. Vamos a buscar a los familiares para tratar de, en un espacio fuera de las instalaciones del casino, poder construir o reconstruir ese memorial.",0.0,50,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ," Bueno, el amparo ese queda sin efectos, porque ayer precisamente la Cámara de Diputados aprobó una minuta del Senado en la cual ya queda firme la prohibición de la importación de los cigarros electrónicos, esto es que ya estará prohibida su comercialización en el país. Ese amparo era contra la anterior legislación; por lo tanto, ya queda sin efecto.",0.0,59,28,04,2022
ADAN AUGUSTO LOPEZ HERNANDEZ," Ahora tocará a las autoridades administrativas en los municipios o en los estados, y a las autoridades federales de salud, a la Cofepris, vigilar que se retiren de los establecimientos este tipo de máquinas expendedoras.",0.0,35,28,04,2022
