Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.0,3,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues vamos, como todos los miércoles, vamos a informar sobre cómo estuvieron las mentiras de la semana. Aclaro que es una síntesis apretada, pero es importante que se conozca cómo mienten y calumnian nuestros adversarios en su desesperación, porque quisieran que regresara el régimen de corrupción, de injusticias, de privilegios.",0.0,51,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Extrañan la corrupción, se acostumbraron a la corrupción y a mandar, a conservar el privilegio de mandar; se acostumbraron a que el pueblo no existía, y ahora que el pueblo es protagonista de esta historia, pues les molesta mucho.",0.0,39,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a ver las mentiras. Y no se hace para dañar a nadie, para afectar a nadie, sino para mantener el debate sobre estos temas. Es muy importante el derecho a la información y que no haya un monopolio de la información, que la información no la controlen, ni el poder ni los grupos de intereses creados, sino que la información sea veraz, democrática, que tenga como imperativo la ética.",0.0,71,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora que un señor con mucho dinero en el mundo había decidido comprar Twitter, la plataforma esta que tiene una palomita; luego, no sé si sea cierto, ustedes saben más, pero como que se arrepintió o se congeló la operación.",0.0,40,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque se empezó a hablar de que no había palomitas, sino pajarracos, que había muchas cuentas falsas. ¿Cómo le llaman a eso?",0.0,22,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bots, sí. O sea que no es nada más el Reforma y El Universal, es un fenómeno mundial.",0.0,18,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos.,0.0,1,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Está interesante la sección. Vamos a retomar algunas cosas, ¿no?, que estaba yo viendo. A ver, ¿por qué no pones la primera? Te vamos a plagiar.",0.0,26,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sí, esto es muy interesante, es un proceso que viene de tiempo atrás y hasta ahora resolvió la Corte, pero no fue, como aquí se mencionó, una denuncia nuestra, viene del sexenio anterior, y ya aclaró la Corte.",0.0,38,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Además, el que nada debe, nada teme. ¿En qué quedamos? ¿No es la transparencia la regla de oro de la democracia?",0.0,21,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sí, desde luego hay que cuidar la intimidad de las personas, respetar la intimidad de las personas, pero todo esto tiene que ver con mecanismos para ocultar fraudes, todo esto se creó en la época en que no se pagaban impuestos, no se sabía nada.",0.0,45,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenían engañada a la gente de que había que pagar todos los impuestos, incluso de manera perversa manejaron durante mucho tiempo los defensores del neoliberalismo que el problema fiscal de México era porque no pagaban impuestos los de la economía informal: los ambulantes, los acomodadores de carros, los ‘viene, viene’, que esa era el grave problema que teníamos en la política fiscal y que había que buscar formalizar a todos.",0.0,70,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sí, desde luego que hay que procurar que todos paguemos impuestos y dar facilidades para que haya economía formal, no informal, pero ¿qué era lo que prevalecía? Existía, desde luego, el fenómeno, y sigue existiendo, pero ¿cuánto se podría recaudar con la gente que sale a la calle a buscarse la vida para mantener a su familia?, ¿cuánto? Muy poco.",0.0,60,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¿En dónde estaba el problema de fondo, lo que ocultaban de manera hipócrita?",0.0,13,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En que los de arriba, los de mero arriba, los de la punta del cerro, los de la punta de la pirámide no pagaban impuestos, aunque parezca increíble. Todavía no he leído un reportaje sobre eso. ¿Por qué esto no se presenta en otros países del mundo?",0.0,47,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues esto sucedía en el periodo neoliberal y aquí hemos dado a conocer la lista de las empresas, de los bancos que no pagaban impuestos.",0.0,25,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, se protegían con el secreto bancario, con el que no se podían dar a conocer informes privados de estas empresas, de estas corporaciones.",0.0,24,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero me llama la atención, y fíjense lo que es el pensamiento conservador actual y su enojo, y el nivel intelectual, este señor Max Kaiser es de los más activos en contra nuestra, creo que tuvo un cargo con Felipe Calderón. ¿Qué fue?",0.0,43,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Pertenece a ‘Mexicanos a favor de la Corrupción’.,0.0,8,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, De la Función Pública.,0.0,4,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, del Reforma.",0.0,3,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero miren del nivel del análisis, su profundidad: ‘Una semana normal de un aspirante a tirano’, ese soy yo ¿no?",0.0,20,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Uno, los obligo a volar del chaifa’, o sea, los estamos obligando a volar a partir o de salir de la terminal del aeropuerto ‘Felipe Ángeles’. Fíjense el nivel, porque no estamos hablando de un campesino, de un obrero, de un maestro de primaria, de un comerciante; no, estamos hablando de alguien que se considera un experto.",0.0,57,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Dos, los niños se pondrán la vacuna de mi amigo el dictador’. ¿Qué significa esto? ‘Los niños mexicanos se pondrán la vacuna de mi amigo el dictador’, debe de estarse refiriendo al presidente de Cuba, Díaz-Canel.",0.0,36,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Tres, puedo violar el secreto bancario cuando quiera’, esto que hablábamos.",0.0,11,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘Cuatro, inscribo a centroamericanos en el IMSS.’",0.0,7,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"O sea, si se hace un análisis de contenido sobre el pensamiento de este señor, es ultraconservador, facho.",0.0,18,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¿Qué le afecta que trabajadores agrícolas de Guatemala, nuestros hermanos, que vienen a trabajar a las fincas cafetaleras de Chiapas, tengan seguro social?",0.0,23,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hasta en el Antiguo Testamento se establece: ‘No trates mal al forastero’, al migrante trátalo como hermano, pero a lo mejor va el señor al templo, pero olvida la doctrina religiosa de cualquier denominación.",0.0,34,18,05,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"‘La regenta —esta creo yo que es Claudia, ¿no?— es inocente porque yo lo digo’, o sea, Andrés Manuel.",0.0,19,18,05,2022
