Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente. Muy buenos días a todas y todos.",0.0,12,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Como hacemos cada mes, hoy presentamos el informe mensual de seguridad que muestra los resultados del esfuerzo conjunto del Gabinete de Seguridad que encabeza el presidente Andrés Manuel López Obrador, así como los reportes de las 32 fiscalías y procuradurías estatales que envían al Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública hasta el mes de abril.",0.0,57,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Hay un trabajo muy cercano entre el gobierno federal y los gobiernos estatales y municipales que se refleja en la baja de la incidencia delictiva. Hoy se trabaja con estrategia, con inteligencia y con acciones concretas para minar estructuras criminales. Estamos en el camino correcto, en el camino que considera cero impunidad y cero corrupción.",0.0,55,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,Pasamos aquí a las cifras.,0.0,5,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En relación con los delitos del fuero federal, hasta el mes de abril, desde el inicio de la administración, se registra una reducción de 28.4 por ciento, y hoy estamos en los niveles más bajos desde hace cuatro años.",0.0,39,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,En relación en general con la mayoría de los delitos federales estamos teniendo reducciones en su gran mayoría.,0.0,18,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En relación con el homicidio doloso disminuye 17.1 por ciento. Este es el mes de abril más bajo desde hace cinco años, se mantiene esta tendencia con esta disminución a lo que vamos en este mes de abril.",0.0,38,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y los promedios que teníamos en 2019 del primer cuatrimestre fue de 94 homicidios diarios, en 2020 subió, en 2021 se mantuvo y de enero a abril tenemos un promedio de 82 homicidios diarios. Aquí están las cifras de los porcentajes que van hacia la baja.",0.0,46,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En seis entidades continúan concentrando casi el 50 por ciento de homicidios dolosos, ellos son Michoacán, Guanajuato, Estado de México, Baja California, Jalisco y Sonora. Seguimos en la coordinación con estos estados, en donde en Michoacán se sigue registrando la tendencia a la alza con una disminución en este último mes de abril.",0.0,53,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,En el caso de Guanajuato continúa la tendencia hacia a la baja y esperamos que se siga manteniendo este ritmo.,0.0,20,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En el Estado de México continúa la tendencia, pero este último mes hubo una importante baja en este delito.",0.0,19,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En relación con el estado de Baja California, también se ha tenido una baja importante y esperamos que así se siga manteniendo porque es muy importante, por el tamaño de los sucesos diarios.",0.0,33,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También en el caso de Jalisco ha habido, se sigue la tendencia, aunque este último mes tuvimos un pequeño incremento.",0.0,20,23,05,2022
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y en relación con los 50 municipios prioritarios en donde ocurre este delito se tiene una baja de 16.7 por ciento en el total, no obstante que en 17 municipios se registró un incremento y en otros 33 hay una disminución constante, fundamentalmente en los municipios que tienen el mayor número de ellos.",0.0,53,23,05,2022
