Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.0,3,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues vamos a recibir el informe de Oaxaca y luego abrimos para preguntas y respuestas. No tenemos mucho tiempo porque vamos a salir a gira, pero sí vamos a tener oportunidad de contestar algunas preguntas.",0.0,36,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si podemos, vamos a Oaxaca. El ciudadano gobernador Alejandro Murat nos va a informar, luego el general Sandoval y Laura Velázquez, que es la coordinadora de Protección Civil, y todo el equipo. Está el comandante de la Guardia Nacional, están los comandantes de región, tanto de la Secretaría de la Defensa como de Marina, el jefe del Estado Mayor de la Secretaría de Marina, servidores públicos de todas las dependencias federales. Nos ayudan mucho. Ahora nos van a informar. Los presidentes municipales, en fin. Es un trabajo coordinado, conjunto, de apoyo a la población. Y, si les parece, comenzamos con el ciudadano gobernador, con Alejandro, que nos informe.",0.0,108,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muchas gracias, Alejandro.",0.0,3,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,General Sandoval.,0.0,2,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Escuchamos a Laura Velázquez, que es la coordinadora nacional de Protección Civil. Laura.",0.0,13,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muchas gracias, Laura.",0.0,3,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Qué bien que van a iniciar ya el censo casa por casa, pueblo por pueblo, municipio por municipio, de la región afectada.",0.0,22,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No sé si pueden poner el plano que mostraron por la mañana, a ver si es posible, para que la gente tenga una idea. Es la parte de la costa, vamos a decir del tramo de Puerto Escondido a Huatulco, y en el centro está Pochutla, hacia arriba, hacia Oaxaca. Es como el camino de Pochutla a Oaxaca y de lado y lado, las comunidades de la sierra, ya se empieza después de la costa a subir hacia Miahuatlán, esa es la zona afectada. Lo más alto, pues ahí está Pluma Hidalgo, que es una zona cafetalera muy importante.",0.0,99,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso en el censo se va a incluir lo de vivienda, lo de enseres y cultivos, y lo que nos está planteando también el ciudadano gobernador, la ayuda a pequeños comerciantes que fueron afectados en la costa, que viven del turismo y que les pegó mucho el huracán.",0.0,49,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos a seguir en la búsqueda de los desaparecidos, lo que hoy nos informaba el general.",0.0,17,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No sé si nos puede, general, explicar esto de los desaparecidos —desde luego, de nuevo nuestro pésame a los familiares de los que perdieron la vida— y qué se está haciendo o cuál es el plan para búsqueda de los desaparecidos.",0.0,41,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien, general. Bueno, vamos a seguir trabajando.",0.0,8,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y es muy importante el censo porque eso es lo que nos permite tener ya más información por familia de los damnificados, para que también la ayuda se entregue de manera ordenada, en forma personal, y que esté a cargo esta entrega de las Fuerzas Armadas, tanto de la Marina como de la Secretaría de la Defensa, para que se beneficie a los damnificados.",0.0,64,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Decirle a la gente de Oaxaca afectada, de la costa, que no están solos. Ha habido mucha solidaridad de la gente, en general de Oaxaca, de los mismos pueblos de la región, y aquí también en la Ciudad de México y en todo el país. No están solos, y un abrazo.",0.0,51,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Nos vemos.,0.0,2,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a abrir. ¿Cómo le vamos a hacer? Empezamos ahí.",0.0,11,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, son dos proyectos, ya están licitadas las dos termoeléctricas. En efecto, una es para Mérida y otra para Valladolid. Con esas dos plantas y con el gasoducto que se está reforzando se va incluso, a ampliar, ya se resuelve el problema de la península.",0.0,45,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Teníamos cuando entramos dos problemas de aislamiento: en la península de Yucatán y Baja California Sur. En los dos casos ya estamos trabajando y se va a garantizar el abasto permanente de energía eléctrica.,0.0,34,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Además, entre otras cosas, hay mucha demanda de energía por el crecimiento del turismo, pero además el Tren Maya de Mérida hasta Chetumal va a ser eléctrico, entonces ya está también la comisión federal en esa infraestructura, pero se requieren las plantas.",0.0,42,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Ya se está trabajando y tengo el reporte de que para finales del año próximo ya van a entrar en operación en una primera etapa y van a ir ampliando su capacidad productiva. Eso es lo que podemos informar. Fue nuestro compromiso en Yucatán y vamos a cumplir.,0.0,48,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, hay una red de transmisión, por ahí llega, pero hay problemas de interrupción en las líneas, se afectan líneas casi siempre a la altura de Champotón, por donde está el ejido, el ingenio La Joya, se habla que cuando se quema la caña se afectan las líneas y se interrumpe el suministro a la península.",0.0,56,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, por eso lo del gasoducto y poner las plantas allá. Claro que hoy se llega por estas líneas de transmisión que se tiene y se tiene energía, las plantas de Mérida, pero se requiere tener más seguridad en el suministro y es lo que se está haciendo.",0.0,48,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya se contrataron las plantas. Vamos a pedirle a la Comisión Federal de Electricidad que nos informe sobre estas plantas y sobre lo de Baja California Sur, que también había la queja y el problema de apagones en tiempo de mayor demanda.",0.0,42,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo eso lo estamos resolviendo ya con nuevas plantas, con traslado de gas a Baja California Sur, igual, nada más que en este caso en barco. Acabo de reunirme con uno de los consejeros, dueños, de una de las empresas que distribuyen gas, una empresa estadounidense y tenemos ya un contrato con ellos para que no falte el gas en Baja California Sur, es en La Paz, y que no le falte el suministro de gas a las plantas de La Paz que dan el servicio de energía en Los Cabos y en toda esa región.",0.0,96,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Por cierto, hoy voy a estar en Valladolid, estoy seguro que voy a saber cómo vamos.",0.0,16,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, nos estamos reuniendo, ayer terminamos 16 reuniones con 16 empresas estadounidenses, tanto para tratar asuntos de energía eléctrica como de gas y petróleo, para ordenar todo el desbarajuste que se heredó, porque en algunos casos entregaron permisos, en donde no se puede producir más energía porque no hay líneas de transmisión; sin embargo, se entregaron los permisos.",0.0,58,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En otros casos, sin permiso construyeron plantas de energía, sin permiso. En otros casos no tenían terminales para almacenar combustible y hacían trasvases, y se demostró de que esto facilitaba el contrabando, de diésel, sobre todo.",0.0,36,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se trataron asuntos de inversiones para plantas de licuefacción y se vio lo de Talos, cómo explotar este yacimiento que tiene mucho potencial. En efecto, se calcula que se pueden extraer hasta 160 mil barriles diarios de petróleo en aguas someras, en el golfo.",0.0,44,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Qué sucedió ahí?,0.0,3,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Que en las llamadas rondas, cuando se lleva a cabo la política energética y se entregan bloques en mar y en tierra a empresas para la explotación petrolera, desde luego nosotros nos opusimos a eso, pero entregaron 110 concesiones y de las primeras que se entregaron fue a esta empresa, no Talos, sino otra empresa, incluso en algún tiempo vinculada con familiares, con cuñados, de Carlos Salinas de Gortari.",0.0,69,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se llevaron a trabajar a exfuncionarios del más alto nivel de Pemex, de modo que sabían que había petróleo, se contó con información privilegiada, se entregaron los convenios, pero no nos heredó, como decía del poeta, el diablo los veneros de petróleo, también Dios protege a México.",0.0,47,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y junto a este yacimiento hay otro que es de la nación. Entonces, cuando se descubre que es un solo yacimiento, de acuerdo a la misma ley, tiene que operarlo la empresa que de acuerdo a estudios posea más reservas. Entonces, se hicieron los estudios y se encontró que el yacimiento de Pemex tiene más reservas que el de la empresa particular, que ahora es Talos y dos empresas más.",0.0,70,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, hay una proporción como de 60-40, por decirlo así, entonces es más lo que tiene Pemex.",0.0,17,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y lo segundo, para que se perfore y se explote un yacimiento conjunto es que lo lleve a cabo la empresa con más experiencia, entonces Pemex tiene más experiencia. Y ese era el motivo de la inconformidad, Talos quería operar el yacimiento.",0.0,42,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Buscándole la forma de llegar a un acuerdo, tuvimos que decidir que Pemex iba a invertir porque ellos hablaban de que iban a poner la inversión y por lo mismo ellos tenían que operar el yacimiento; además, con un plan de producción que no era tan conveniente para el país, porque era ir extrayendo lentamente crudo y eso nos significaba menos ingresos para la hacienda pública.",0.0,66,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, llegamos al acuerdo que, si Pemex aportaba inversión o que cada una de las partes iba a aportar la inversión que le correspondía y, por lo mismo Pemex, si aportaba esos recursos, operaba y administraba el campo. Y parece que se está llegando a un acuerdo con ello, y es bueno porque yo mismo le dije al gerente de la empresa que se les garantizan sus inversiones.",0.0,68,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por ejemplo, ellos alegan de que perforaron pozos exploratorios y que ya invirtieron, y que ellos encontraron el petróleo. La verdad, eso es muy relativo porque si trabajan funcionarios de Pemex pues ya se sabía.",0.0,35,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De todas maneras, el compromiso es que esa inversión exploratoria se prorratee y que Pemex ponga la parte que le corresponda, que todas las empresas participen en toda la inversión.",0.0,30,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, les dijimos que tengan confianza, que está garantizada su inversión, que tienen garantizado su permiso, su concesión y que además van a tener utilidades razonables y garantizada la venta de todo el petróleo, porque Pemex tiene todas las instalaciones para llevar ese petróleo a la terminal de Dos Bocas, que está cerca, en el mar de Campeche.",0.0,58,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ayer terminamos, estuvimos con el embajador de Estados Unidos y con los gerentes de las empresas. Les diría que casi en todos los asuntos hubo acuerdo y creo que fue muy bueno este diálogo, estuvimos horas atendiendo los temas, el secretario de Relaciones Exteriores, a veces el secretario de Gobernación, la secretaria de Energía, el director de la Comisión Federal de Electricidad, el director de Pemex, todos, los técnicos, atendiendo caso por caso.",0.0,74,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, sí avanzamos bastante y quedamos también ayer, que hablé con el señor John Kerry en una teleconferencia, de participar en un encuentro para dar a conocer todo el plan de México de transición energética. Va a ser sorprendente, porque México va a demostrar que es de los países que más energía limpia produce y producirá en el mediano plazo, por las inversiones que estamos haciendo.",0.0,66,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Después de toda la campaña esta de que queríamos apoyar a la comisión federal porque estábamos a favor de las energías sucias…,0.0,22,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Con combustóleo, pues ya ahora es probable que ya no haya combustóleo.",0.0,12,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Por las coquizadoras. Entonces, es un plan que no creo que lo estén aplicando en otro país del mundo. Entonces, vamos a poder informarles.",0.0,24,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que siempre hemos dicho, no queremos que con la bandera de las energías limpias se hagan negocios sucios, eso es todo, y poner orden y a eso nos dedicamos.",0.0,30,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, hay compromisos de inversión. Con alguna de las últimas empresas que atendí ayer hay un compromiso de inversión de alrededor de tres mil millones de dólares, una empresa de ayer.",0.0,31,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver si nos… Incluso, el dueño vino y es también dueño de un equipo de basquetbol. Si fuese dueño de un equipo de béisbol, me acordaría yo perfectamente, pero es dueño de un equipo de basquetbol en Estados Unidos. De las de la tarde o de la mañana.",0.0,49,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, cómo no, les podemos informar.",0.0,6,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pues nada más en esta son tres proyectos, con esta empresa ya tenemos… Los de Comisión Federal nos pueden mandar la… Sí, ahora les digo.",0.0,25,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Incluso, a ver si nos puede mandar la foto que nos tomamos. No publicamos las fotos, pero con todos nos fotografiamos. Vinieron los gerentes, los CEOs mundial, así les llaman, CEO. Él tiene inversiones en todo el mundo, es de las empresas del sector eléctrico muy importante. Entonces, tienen tres proyectos, por eso él mismo habló de que son alrededor de tres mil millones de inversión.",0.0,66,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque es el gas para Baja California, para La Paz, eso ya está contratado, una planta de licuefacción en Altamira y otra planta o, mejor dicho, es una inversión para terminar una obra que se llama Lakach.",0.0,37,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Perforaron en la época de Calderón, empezaron a perforar en aguas profundas, ¿sí se acuerdan?, en el golfo de México, casi enfrente de Alvarado en el mar, en aguas profundas, para extraer gas. Se encontró gas, se invirtió desde entonces en plataformas alrededor de mil 500 millones, pero en análisis de rentabilidad no costeaba seguir invirtiendo y ya en el gobierno pasado prácticamente no invirtieron.",0.0,65,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,A ver si está.,0.0,4,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Es el señor Edens, de Milwaukee, Bucks de Milwaukee, ese es su equipo. ¿Y su empresa? A ver si está.",0.0,20,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, él estuvo.",0.0,3,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ah, bueno, en el caso de esta, de Lakach, es para terminar la obra. Pemex invirtió alrededor de mil 500 millones de dólares, entonces se requieren otra cantidad parecida, y él está interesado. Entonces, son tres proyectos, sería también una planta de licuefacción para la explotación de ese gas, es una sociedad con Pemex, y son nada más con este señor tres mil millones de dólares.",0.0,66,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pues no, mejor hacemos un informe de lo que significan estas 16 empresas.",0.0,13,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," New Fortress Energy, es conocida mundialmente.",0.0,6,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De acuerdo. La compañera. Pues nos vamos así en una fila, ya ni modo. Bueno, a ti te toca también.",0.0,20,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, hoy vimos eso en la mañana, a ver si nos dan la lámina, nos manda la gráfica Rosa Icela.",0.0,20,03,06,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Para orgullo de Sonora, es el primer lugar en regularización, Chihuahua en segundo, de lo que me acuerdo, ahora lo vamos a ver, y creo que en tercero Baja California.",0.0,30,03,06,2022
