Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ISRAEL VALLARTA, Israel Vallarta.,0.0,2,30,06,2022
ISRAEL VALLARTA, Vallarta.,0.0,1,30,06,2022
ISRAEL VALLARTA, Tres.,0.0,1,30,06,2022
ISRAEL VALLARTA," Tres, señor.",0.0,2,30,06,2022
ISRAEL VALLARTA," Tres, tres, señor",0.0,3,30,06,2022
ISRAEL VALLARTA, Israel Vallarta.,0.0,2,30,06,2022
ISRAEL VALLARTA," Sí, señor.",0.0,2,30,06,2022
ISRAEL VALLARTA," No, yo no vi nada, señor. A mí me ofrecieron dinero para prestar mi casa.",0.0,15,30,06,2022
ISRAEL VALLARTA," Un tipo de se llama Salustio, señor.",0.0,7,30,06,2022
ISRAEL VALLARTA," Aquí hay tres, yo no sabía que eran las tres, pero aquí están tres.",0.0,14,30,06,2022
ISRAEL VALLARTA, Aquí tres personas.,0.0,3,30,06,2022
ISRAEL VALLARTA," Sí, a mí me estaban pagando por eso.",0.0,8,30,06,2022
ISRAEL VALLARTA," Mire, lo que fuera, no, no tengo…",0.0,7,30,06,2022
ISRAEL VALLARTA, Lo que me fueran a dar. No sé.,0.0,8,30,06,2022
ISRAEL VALLARTA, No conozco.,0.0,2,30,06,2022
ISRAEL VALLARTA, Sí.,0.0,1,30,06,2022
ISRAEL VALLARTA," Sí, señor, usted me pegó.",0.0,5,30,06,2022
