Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PABLO REINAH," Yo me encuentro en la carretera México-Cuernavaca, es la carretera libre. Ellos están, como tú ves, ingresando a lo que es un rancho. Nosotros estamos también aquí conociendo los datos en estos momentos, prácticamente en vivo de lo que está pasando.",0.0,41,30,06,2022
PABLO REINAH,"Lo que te puedo adelantar, Carlos, es que se trata de tres personas. Hay un menor de edad, una mujer, que es su madre. Este pequeño al parecer tiene ocho años. Y hay una persona también que no tiene nada que ver.",0.0,42,30,06,2022
PABLO REINAH,"Estamos hablando de un secuestro en paquete, para que me entiendas, de cómo es que está sucediendo esto.",0.0,18,30,06,2022
PABLO REINAH,"Pues lo que sabemos es que también el jefe de la banda es un hombre que está casado con una mujer de origen francés y esto por supuesto, como te comento, son datos que estamos conociendo al momento.",0.0,38,30,06,2022
PABLO REINAH, ¿Cuál es su nombre?,0.0,4,30,06,2022
PABLO REINAH, ¿Qué hace aquí?,0.0,3,30,06,2022
PABLO REINAH," ¿Quién es usted?, ¿qué hacía aquí?",0.0,6,30,06,2022
PABLO REINAH," ¿Qué hacía usted aquí?, ¿Sabe que aquí había tres personas secuestradas?",0.0,11,30,06,2022
PABLO REINAH, Están al lado de usted.,0.0,5,30,06,2022
PABLO REINAH, ¿Qué hacía usted aquí? ¿Cómo llegó?,0.0,6,30,06,2022
PABLO REINAH," A ver, ¿cuál es su nombre?",0.0,6,30,06,2022
PABLO REINAH, ¿Es verdad esto?,0.0,3,30,06,2022
PABLO REINAH," A ver, platíquenos cómo es que ocurrió este secuestro.",0.0,9,30,06,2022
PABLO REINAH, ¿Quién?,0.0,1,30,06,2022
PABLO REINAH, ¿Nombre completo?,0.0,2,30,06,2022
PABLO REINAH, ¿Cuántas personas son?,0.0,3,30,06,2022
PABLO REINAH, ¿Usted sabía que estaban aquí tres personas? ¿Usted participó en el secuestro?,0.0,12,30,06,2022
PABLO REINAH, ¿Cuánto le pagaron?,0.0,3,30,06,2022
PABLO REINAH, ¿Cuánto había recibido?,0.0,3,30,06,2022
PABLO REINAH, ¿Hay un menor de edad?,0.0,5,30,06,2022
PABLO REINAH, ¿Dónde los secuestraron?,0.0,3,30,06,2022
