Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Muchas gracias. Muy buenos días. Con su permiso, señor presidente. Muy buenos días a todas y a todos.",0.0,18,07,06,2022
ZOE ROBLEDO ABURTO,"Como todos los martes, vamos a dar a conocer los avances del Plan de Salud para el Bienestar. Salud Bienestar significa hacerlo bien y estar ahí, en donde más gente lo necesita. Y empezamos el día de hoy con el reporte respecto al tema de los médicos especialistas.",0.0,48,07,06,2022
ZOE ROBLEDO ABURTO,"Como recordarán, el pasado 24 de mayo anunciamos y se echó a andar la Jornada Nacional de Reclutamiento y Contratación de Médicos Especialistas. Es un esfuerzo inédito, en donde todas las instituciones de salud del país pusieron en un mismo lugar, en una misma plataforma todas sus vacantes, lo mismo el IMSS que el IMSS-Bienestar, el Issste, Pemex, los institutos nacionales de salud y los gobiernos de los estados que agregaron sus vacantes a través del Insabi para cubrir 14 mil 323 vacantes de médicos especialistas. Aquí es importante aclarar, habíamos tenido el dato de las 13 mil 765; sin embargo, Insabi nos sumó algunas más que aún no se habían registrado, por eso llegamos a las 14 mil 323.",0.0,120,07,06,2022
ZOE ROBLEDO ABURTO,Y lo que vamos a ver ahora es el resultado de lo que se puso a disposición de todos los médicos y médicas del país. El día viernes a las 23 horas con 59 minutos se cerró el registro y estos son los resultados:,0.0,44,07,06,2022
ZOE ROBLEDO ABURTO,"Primero, hubo un registro de 10 mil 920 médicos que dieron sus datos, que nos dieron toda la documentación, su cédula, etcétera. Cada médico pudo elegir hasta tres opciones, por lo que hoy se cuenta con un total de 23 mil 574 postulaciones.",0.0,43,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, de las 14 mil 323 plazas que se ofertaron, seis mil 963 tuvieron por lo menos una postulación, tuvieron por lo menos a un médico, a una médica interesado en esa posición; pero hubo siete mil 360 sin ninguna postulación, ningún médico dijo: ‘A mí me interesa esa vacante de alguna de las instituciones’.",0.0,55,07,06,2022
ZOE ROBLEDO ABURTO,"Si lo vemos por el resultado por cada una de las instituciones de las seis mil 963 vacantes, los institutos nacionales, que fueron los que tuvieron el menor número de vacantes, pero cubrieron ya el 92.6 por ciento del total, Pemex tiene una cobertura del 83.6 por ciento de un total de 133 vacantes, el IMSS en su régimen ordinario 53.1 por ciento de un total de dos mil 684 vacantes, Insabi 55.5 por ciento de un total de ocho mil 736 vacantes, el IMSS-Bienestar 28.9 por ciento de un total de mil 765 vacantes y el Issste 17 por ciento de un total de mil 77 vacantes.",0.0,108,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, si lo podemos ver en la siguiente, de los médicos que se registraron la mayor cantidad está entre los grupos de edad de entre 30 y 39 años, un 72 por ciento, esto nos indica que seguramente son médicos que acaban de terminar la especialidad o la terminaron recientemente; el siguiente grupo es del 40 a 49 años con un 14 por ciento y el tercer lugar los que tienen entre 18 y 29 años.",0.0,76,07,06,2022
ZOE ROBLEDO ABURTO,"Del total de las postulaciones, 51.5 fueron hombres; el resto, 48.5 fueron mujeres, y hubo mil 933 vacantes que tuvieron por lo menos una postulación.",0.0,25,07,06,2022
ZOE ROBLEDO ABURTO,"También hubo 870 vacantes con dos postulaciones, ahí empieza a haber criterios respecto a lo que determinan las instituciones, por ejemplo, quién tuvo mejor promedio en la especialidad y otras cuestiones así; 561 vacantes tuvieron tres postulaciones y hay 183 vacantes que tuvieron más de 21 postulaciones, y ahora vamos a ver cuáles son.",0.0,54,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, si lo vemos por especialidad, comentábamos que de esta jornada se llegaron a ofertar diferentes especialidades, 95 especialidades y subespecialidades distintas; sin embargo, en estas seis están concentradas el 66 por ciento de todas las vacantes que se salieron a ofertar.",0.0,42,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, lo que es interesante es ver cuántos médicos, médicas registrados hay en cada una de esas especialidades:",0.0,18,07,06,2022
ZOE ROBLEDO ABURTO,"La número uno, medicina interna, se necesitan mil 806 médicos y hubo un registro de 404, es decir, ahí se alcanza solo potencialmente el 22 por ciento.",0.0,27,07,06,2022
ZOE ROBLEDO ABURTO,"Urgencias médico quirúrgicas, se necesitan mil 801 médicos y se registraron 526, es decir, 30 por ciento de la necesidad.",0.0,20,07,06,2022
ZOE ROBLEDO ABURTO,"En ginecología se necesitan mil 579 y se registraron mil 115, el 71 por ciento.",0.0,15,07,06,2022
ZOE ROBLEDO ABURTO,"En pediatría se necesitan mil 548 y se registraron mil 98, igual, un 71 por ciento.",0.0,16,07,06,2022
ZOE ROBLEDO ABURTO,"En el caso de anestesiología se necesitan mil 297 y se registraron mil 464, ahí superó, digamos, que la demanda de médicos la oferta planteada.",0.0,25,07,06,2022
ZOE ROBLEDO ABURTO,"Y en cirugía en general, de los mil 107 que se necesitan, se registraron 617.",0.0,15,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, ¿cuáles son las especialidades que tienen más sobredemanda, las que tuvieron más médicos registrados?",0.0,15,07,06,2022
ZOE ROBLEDO ABURTO,"La número uno es medicina familiar. De 279 vacantes, hubo mil 463 médicos registrados.",0.0,14,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, hubo otras, por ejemplo, que se salieron a ofertar solamente dos vacantes. Calidad de la atención médica, hubo dos vacantes y se registraron 28 médicos; o nefrología pediátrica, hubo dos vacantes y se registraron 28 médicos también.",0.0,38,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, en el siguiente, este mapa, que es muy importante para ver cómo se distribuyen estos 10 mil médicos, porque desafortunadamente no se distribuyen de manera homogénea, de manera uniforme en todo el país, hay una evidente disparidad en el interés de las postulaciones dependiendo la entidad. Lo que observamos es que entidades que concentran mucha población urbana, por ejemplo, Jalisco, Guanajuato, Querétaro, Nuevo León, Aguascalientes y la Ciudad de México, el número de personas interesadas supera el número de vacantes por lo menos en el doble, es decir, tendríamos hasta el doble para cubrir estas entidades.",0.0,97,07,06,2022
ZOE ROBLEDO ABURTO,"Por otro lado, en siete estados, Chiapas, Veracruz, Guerrero, Nayarit, Durango, Chihuahua, Sonora, Oaxaca, ni contratando a todos los postulantes llegaríamos al 46 por ciento. Ahí es en donde quedan el mayor número de vacantes.",0.0,35,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, si vemos dónde están también estas siete mil 360 vacantes, plazas, que salieron a ofertar y que no hubo interés, si vemos, tenemos que tres mil 287 de estas vacantes están localizadas en municipios con poblaciones menores de 200 mil habitantes. Y estamos hablando aquí de ciudades del tamaño de Manzanillo, de Zihuatanejo, de Valle de Bravo, que tuvieron muchas vacantes que nadie mostró interés. El 38 por ciento de estas tres mil 287 están en los estados de Chiapas, en Michoacán y en Veracruz.",0.0,86,07,06,2022
ZOE ROBLEDO ABURTO,"También, si lo vemos por el grado de marginación de los municipios, de 764 vacantes que no tuvieron ningún interés están localizadas en municipios con mayor rezago social de medio a muy alto que no tuvieron ninguna postulación, 57 por ciento de estas vacantes están también en los estados de Chiapas, Oaxaca y de Veracruz.",0.0,55,07,06,2022
ZOE ROBLEDO ABURTO,"Y 573 vacantes están localizadas en municipios indígenas que tampoco recibieron ninguna postulación, 50 por ciento, otra vez Chiapas y en este caso también en el estado de Hidalgo y Veracruz.",0.0,31,07,06,2022
ZOE ROBLEDO ABURTO,"Y en municipios con porcentajes de pobreza mayores a la media nacional, al promedio del país, mil 223 que no tuvieron ninguna postulación y que se encuentran el 59 por ciento en Chiapas, en Puebla y también en el estado de Veracruz.",0.0,42,07,06,2022
ZOE ROBLEDO ABURTO,¿Cuáles son los siguientes pasos?,0.0,5,07,06,2022
ZOE ROBLEDO ABURTO,"El día de mañana se van a enviar correos electrónicos de citas para los médicos especialistas para que se presenten el sábado 11 de junio en las mesas receptoras, que va a haber por lo menos una en cada estado del país, ahí van a tener que llevar los siguientes documentos:",0.0,51,07,06,2022
ZOE ROBLEDO ABURTO,"Su identificación oficial, la INE o el pasaporte.",0.0,8,07,06,2022
ZOE ROBLEDO ABURTO,El título y cédula de la licenciatura en Medicina.,0.0,9,07,06,2022
ZOE ROBLEDO ABURTO,"Título y cédula de la especialidad o diploma de la especialidad. Hubo un poco más de mil personas sin cédula de especialidad que ya se enviaron a la Secretaría de Educación Pública, a la Subsecretaría de Educación Superior, particularmente a la Dirección de Profesiones para que se tramite rápido también esa cédula.",0.0,52,07,06,2022
ZOE ROBLEDO ABURTO,Y también en currículum actualizado.,0.0,5,07,06,2022
ZOE ROBLEDO ABURTO,"La cita se va a hacer en bloques, dependiendo del número de folio. Por ejemplo, a las 9:00 de la mañana se va a citar a nivel nacional los folios del uno al mil 500. Esto es independiente de la especialidad o independiente de la institución a la que se hace la postulación. Y en esas mesas receptoras participará un representante de cada una de las instituciones de salud.",0.0,69,07,06,2022
ZOE ROBLEDO ABURTO,"Después, los días del 13 al 15 de junio se van a integrar los expedientes, se van a segmentar por institución en la primera opción que eligieron los médicos y las médicas por especialidad para su entrega a las diferentes instituciones e iniciar los procesos selectivos.",0.0,46,07,06,2022
ZOE ROBLEDO ABURTO,"Al concluir el proceso, los candidatos que no sean contratados en su primera opción, digamos que en una primera ronda, serán remitidos a la segunda que puede ser en otra institución, y posteriormente quienes hayan manifestado su interés hasta en tres opciones pues a la tercera opción, y así hasta contar con el mayor número de médicos especialistas en la mayor cantidad de plazas vacantes en cada una de las instituciones de salud.",0.0,73,07,06,2022
ZOE ROBLEDO ABURTO,Y al finalizar cada una de las rondas se van a realizar ya los procesos de contratación de las plazas vacantes de cada una de las instituciones.,0.0,27,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, la semana pasada se planteaba esto, y esto estuvo también en la plataforma, cada vacante se establecía cuáles eran las condiciones salariales. Pongo aquí un ejemplo, ¿dónde se pagan sobresueldos?, ¿dónde hay estímulos de orden económico para los médicos especialistas? En el caso del Seguro Social se conocen como zona aislada o alto costo de vida y van desde el 10 por ciento hasta el 50 por ciento. Aquí algunos ejemplos: en Baja California se otorga el 50 por ciento de sobresueldo; en los municipios, en las ciudades de Ciudad Acuña, en Piedras Negras, allá en Coahuila, se entrega del 10 por ciento; en Chiapas en Reforma, el Malpaso y en Peñitas hay un sobresueldo del 30 por ciento; en Chihuahua, en la localidad de Ciudad Juárez, en Ojinaga, en Guadalupe Distrito Bravo, el 46 por ciento. Esto existe desde hace tiempo y se dio a conocer, y en algunos casos también en estos municipios se quedaron todavía vacantes.",0.0,160,07,06,2022
ZOE ROBLEDO ABURTO,También en el programa IMSS-Bienestar se otorgan en zonas rurales sobresueldos que van desde el cinco por ciento adicional hasta el 20 por ciento.,0.0,24,07,06,2022
ZOE ROBLEDO ABURTO,"Entonces, bueno, esto lo que queríamos dar a conocer el día hoy, señor presidente, sobre el proceso de contratación y pronto daremos a conocer qué otras estrategias vamos a hacer, porque al final de cuentas más allá de lo laboral, está los derechos de la gente a ser atendidos por médicos especialistas sin importar en dónde vivan o en qué municipio estén, pues tenemos que garantizarles que la atención siempre sea de la mejor calidad e igual que en las ciudades, en los municipios lejanos y en las ciudades pequeñas.",0.0,90,07,06,2022
ZOE ROBLEDO ABURTO,"Ahora, sobre los avances de plan de salud, tenemos el caso de Nayarit. Hicimos un reporte ya del promedio del cierre de mayo, digamos cómo nos fue en mayo en todos los días, porque habíamos tenido un reporte diario, pero esto ya es el promedio acumulado, y cerramos el mes con 94.32 por ciento, como lo hemos dicho, de recetas atendidas.",0.0,61,07,06,2022
