Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRA FRAUSTO GUERRERO," Muy buenos días. Gracias, señor presidente, por permitirnos el espacio en esta mañanera. Saludo a los compañeros del gabinete, a los compañeros de medios de comunicación y a quienes nos siguen desde sus casas.",0.0,34,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Vamos a presentar avances sobre la política de recuperación del patrimonio cultural encomendada por el presidente desde el inicio de esta administración, por supuesto, ante la indignación que nos provoca que a nuestro patrimonio cultural se le ponga precio y se considere que nuestra identidad puede ser una mercancía o que pueda ser un elemento de ornamento en una casa, en estos casos de subastas se pierde el rastro de estos elementos de cultura, y se pierde la posibilidad de conocer este patrimonio, reconocerlo, investigarlo y divulgarlo.",0.0,87,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Es muy importante, además de mantener siempre las denuncias pertinentes y el trabajo que se lleva a cabo por las instituciones, emprender un esfuerzo extraordinario. Así es que hicimos una cruzada ante la incrédula opinión de algunos, pero con la generosa complicidad de personas, comunidades e instituciones.",0.0,47,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Y aquí agradezco de manera muy sincera la doctora Beatriz Gutiérrez Müller por sumarse a Mi patrimonio no se vende. Este esfuerzo ha ayudado a abrir consciencias de posibles coleccionistas, de coleccionistas que ya tenían patrimonio en sus casas y la posibilidad de recuperarlo a México es el esfuerzo extraordinario que estamos haciendo.",0.0,53,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,¿Por qué recuperarlo?,0.0,3,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Wole Soyinka dice: ‘Se trata de la restauración de la dignidad’, y justamente de la dignidad de aquellos que siempre han estado despojados y discriminados, de las culturas que han resistido 500 años, que están vivas y que merecen reconocerse en la grandeza de su pasado.",0.0,46,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"El presidente nos encomendó también un trabajo en común a través de distintas instituciones: el Consejo de Memoria Histórica y Cultural de México, la Secretaría de Seguridad y Protección Ciudadana, la Secretaría de Gobernación, la Secretaría de Relaciones Exteriores, de la Defensa Nacional, la Fiscalía General de la República, la Guardia Nacional, la Dirección General de Aduanas, por supuesto la Secretaría de Cultura y el Instituto Nacional de Antropología e Historia. A través de este trabajo conjunto, hoy se dará resultado, otro resultado de este esfuerzo que detallarán el canciller Marcelo Ebrard y Diego Prieto.",0.0,95,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Esta política cultural de México ha merecido el reconocimiento internacional y será uno de los temas centrales de la próxima conferencia, la reunión de 193 ministros de cultura del mundo en México, que se realizará después de 40 años que no hay un diálogo así, en septiembre en nuestro país, el día de hoy se cumplen justamente 40 años.",0.0,59,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Y si me permite, presidente, compartirles y les compartiremos a los compañeros un video que da cuenta de este trabajo.",0.0,20,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Y le solicitaremos siempre sumarse a la campaña de ‘Mi patrimonio no se vende’, se ama y se defiende.",0.0,19,26,07,2022
ALEJANDRA FRAUSTO GUERRERO,"Es cuanto, presidente.",0.0,3,26,07,2022
