Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Con su permiso, señor presidente. Muy buenos días a todas y a todos, secretario, secretarias.",0.0,15,26,07,2022
ZOE ROBLEDO ABURTO,Como todos los martes vamos a dar a conocer los avances del Plan de Salud para el Bienestar y esta mañana presentamos la Segunda Jornada Nacional de Reclutamiento y Contratación de Médicos Especialistas.,0.0,33,26,07,2022
ZOE ROBLEDO ABURTO,"En esta ocasión es una modalidad permanente, son 10 mil 454 plazas vacantes que están distribuidas entre las instituciones, los gobiernos de los estados que concentran en el Insabi, seis mil 492 plazas; el IMSS-Bienestar, mil 551; el régimen ordinario del Seguro Social, mil 526; el Issste, 800; Pemex, 63; y los institutos nacionales, 22.",0.0,55,26,07,2022
ZOE ROBLEDO ABURTO,"Si lo podemos ver por estados, más de la mitad, el 51 por ciento se concentra de estas plazas en seis estados, en Veracruz, en Michoacán, en el Estado de México, en Chiapas, Tamaulipas, Oaxaca y Puebla, porque se les ha dado más énfasis a las plazas de difícil cobertura en esta ocasión.",0.0,53,26,07,2022
ZOE ROBLEDO ABURTO,"En términos de especialidades, son siete las especialidades troncales que concentran casi el 70 por ciento, es decir, son las especialidades básicas, las más necesarias: ginecología, medicina interna, pediatría, urgencias, anestesia, cirugía general y trauma y ortopedia.",0.0,37,26,07,2022
ZOE ROBLEDO ABURTO,"Y, finalmente, señalar, hay que acudir a la página medicosespecialistas.gob.mx, ahí van a poder encontrar todos los requisitos, todos los pasos a seguir y, como lo habíamos mencionado antes, en esta ocasión el primero en mostrar interés en nuestras vacantes inicia su proceso hacia su contratación.",0.0,46,26,07,2022
ZOE ROBLEDO ABURTO,"Además, queremos informar de los avances de Nayarit. Ya se está operando el 100 por ciento de las unidades.",0.0,19,26,07,2022
ZOE ROBLEDO ABURTO,"En términos de médicos especialistas, tenemos un 75 por ciento de cobertura, es decir, tenemos 467 de los 600 médicos que necesitamos para estar cubiertos en todos los turnos.",0.0,29,26,07,2022
ZOE ROBLEDO ABURTO,"En términos del proceso de basificación, llevamos 896 de 909 trabajadores que ya están en proceso de obtener una base, y el 100 por ciento del personal ha sido capacitado.",0.0,30,26,07,2022
ZOE ROBLEDO ABURTO,Tenemos en Nayarit un nivel de respuesta respecto a las recetas que se entregan del 94 por ciento.,0.0,18,26,07,2022
ZOE ROBLEDO ABURTO,Y acaba de llegar también equipo inmobiliario para 98 centros de salud y los 15 hospitales.,0.0,16,26,07,2022
ZOE ROBLEDO ABURTO,"Solamente señalar en el caso de Nayarit lo que significa esto, si lo comparamos entre los tres primeros meses del año, que no había IMSS-Bienestar, contra los segundos tres meses del año 2022 ya con IMSS-Bienestar. Se han hecho cuatro mil 615 cirugías, esto es un incremento del 130 por ciento respecto a lo que se hacía antes.",0.0,58,26,07,2022
ZOE ROBLEDO ABURTO,"De abril al día de hoy se han hecho 22 mil 358 consultas de medicina familiar. Antes no había consultas de medicina familiar en el estado de Nayarit, en los servicios de salud.",0.0,33,26,07,2022
ZOE ROBLEDO ABURTO,"Y de abril al día de hoy se han hecho 38 mil 817 consultas de especialidad, un incremento del 369 por ciento.",0.0,22,26,07,2022
ZOE ROBLEDO ABURTO,"Además de 35 mil 600 detecciones de hipertensión arterial y de diabetes, que representa un avance, un incremento del tres mil 500 por ciento.",0.0,24,26,07,2022
ZOE ROBLEDO ABURTO,"Ahora, si podemos pasar a Tlaxcala. En Tlaxcala estamos también ya presentes en el 100 por ciento de las unidades, son 11 hospitales y 195 centros de salud, con una cobertura del 72 por ciento de médicos especialistas, es decir, tenemos 469 de los 638. Hay muchas vacantes en la segunda jornada que son para Tlaxcala.",0.0,56,26,07,2022
ZOE ROBLEDO ABURTO,"En infraestructura hay una inversión de 66 millones de pesos, que ya tiene un avance del 92 por ciento, y 94 por ciento en el cumplimiento de recetas. Además, el 100 por ciento de los hospitales ya tienen los sistemas de administración de insumos.",0.0,44,26,07,2022
ZOE ROBLEDO ABURTO,"Y, finalmente, Colima, con presencia en el 100 por ciento de las unidades de cinco hospitales, además de un centro de especialidad médica y 131 centros de salud.",0.0,28,26,07,2022
ZOE ROBLEDO ABURTO,"Sobre la cobertura de especialistas, estamos al 79 por ciento, es decir, tenemos 253 de los 319 médicos especialistas que necesitamos.",0.0,21,26,07,2022
ZOE ROBLEDO ABURTO,"Y en el proceso de basificación llevamos 541 personas de diferentes categorías ya basificadas, de 559, es decir, un avance del 97 por ciento.",0.0,24,26,07,2022
ZOE ROBLEDO ABURTO,"En cuanto a infraestructura, se han invertido 50 millones de pesos ya con el 99 por ciento de ese gasto ejecutado.",0.0,21,26,07,2022
ZOE ROBLEDO ABURTO,"Y, finalmente, informar, estuvimos la semana pasada en el Morelia, Michoacán, con el gobernador Alfredo Ramírez Bedolla, para instalar la mesa de transición con el gobierno del estado y con todas las partes, tanto empresariales, sindicales y toda la sociedad michoacana reunida para este Plan de Bienestar que llega también al estado de Michoacán.",0.0,54,26,07,2022
ZOE ROBLEDO ABURTO,"Sería todo por nuestra parte, señor presidente. Gracias.",0.0,8,26,07,2022
ZOE ROBLEDO ABURTO, Claro que sí.,0.0,3,26,07,2022
ZOE ROBLEDO ABURTO,"Sí, como ustedes saben, los medicamentos que se adquieren en el Seguro son de los contratos que hizo la Unops, y también otros contratos de Insabi. Solamente en algunos casos, cuando quedan desiertas o no se alcanza a cubrir con suficiencia, es que se puede salir a una compra local, pero incluso eso puede ser en un estado.",0.0,58,26,07,2022
ZOE ROBLEDO ABURTO,Nada más que no alcance a escuchar cuál es la clave que señaló.,0.0,13,26,07,2022
ZOE ROBLEDO ABURTO," Tendríamos que checar, porque cuando se hace alguna compra en algún hospital, en alguna delegación por insuficiencia de algún contrato, se puede salir a comprar, pero tendríamos que checar esa clave —son más de mil 600 claves diferentes de medicamentos— para saber cuándo hubiera ocurrido una compra fuera de los precios de referencia, pero hoy mismo le vamos a dar la información.",0.0,62,26,07,2022
ZOE ROBLEDO ABURTO," Muchas gracias, señor presidente.",0.0,4,26,07,2022
ZOE ROBLEDO ABURTO,"Esto es una buena pregunta porque justo en el Plan de Salud para el Bienestar que hemos estado implementando en coordinación y en trabajo en equipo con la Secretaría de Salud, en particular con el Centro Nacional de Equidad de Género y Salud Reproductiva, se ha buscado que en los hospitales de todo el país existan las salas de labor parto y recuperación, y que en ellas exista toda la capacitación y los insumos que se necesitan para cumplir con la NOM 046.",0.0,83,26,07,2022
ZOE ROBLEDO ABURTO,"La NOM 046 garantiza el acceso a la interrupción legal del embarazo cuando hay casos de violencia sexual, y esto tiene que estar justamente empatado con los códigos penales de cada entidad. Entonces, en el momento en el que un estado modifica su código penal, sobre todo en la despenalización del aborto en cualquier causa, pues las instituciones federales tenemos todavía mayor asidero legal, digamos, tenemos más fuerzas en las leyes para aplicar esta NOM 046. Entonces, eso es en lo que estamos todas las instituciones. Es muy clara cuándo son los casos en donde esta interrupción ocurre, sobre todo en los casos de violación sexual.",0.0,106,26,07,2022
ZOE ROBLEDO ABURTO,Gracias.,0.0,1,26,07,2022
