Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Buenos días, señor presidente; buenos días a todas, a todos.",0.0,10,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,Este es el Quién es quién en las mentiras de la semana del 6 de julio de 2022 y vamos a comenzar.,0.0,22,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,Reforma primero calumnia y luego dice que esa no era la realidad. El diario avienta la piedra y acusa falsamente al presidente y luego esconde la mano.,0.0,27,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Acto número 1. El diario Reforma difama al presidente Andrés Manuel López Obrador acusándolo de asumir actitudes racistas, lo cual evidentemente es falso. Aquí vemos en la pantalla la imagen donde se le acusa al presidente.",0.0,36,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,El 1º de julio pasado Reforma publicó en la página seis una imagen del mandatario en la conferencia. Vean lo que dice el pie de foto:,0.0,26,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"‘El presidente López Obrador exhibió ayer otro video con la imagen del publicista Carlos Alazraki, a quien ha criticado por su origen judío’.",0.0,23,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Eso es mentira. Todo lo contrario, el presidente López Obrador admira la cultura y es amigo de la comunidad judía, y siempre ha actuado con respeto a las distintas religiones y culturas.",0.0,32,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Acto número 2. Después de una lluvia de críticas en las redes sociales, al día siguiente Reforma tuvo que retractarse y publicó en el rincón, así, alejadísimo de la página, la supuesta aclaración, dice Reforma:",0.0,35,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"‘Por un error en la página 6 de la sección nacional del viernes 1º de julio, se publicó en un pie de foto que el presidente López Obrador criticó a Carlos Alazraki por su origen judío, cuando esto no corresponde a la realidad. Ofrecemos disculpas a nuestros lectores a los aludidos’.",0.0,51,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Intencionalmente o por descuido, dice, Reforma, calumnian en sus páginas al titular del Poder Ejecutivo. Y se entiende que el periódico no se quiera disculpar con Andrés Manuel, como persona, pero, con todo respeto, sí debiera hacerlo con la investidura, con el presidente de la República, el presidente de todos los mexicanos. Pero, bueno, luego dicen que en México no hay libertad de expresión.",0.0,64,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,Carlos Loret de Mola cayó en la chapuza de publicar fotografías como pruebas falsas de que la refinería de Dos Bocas aún no se ha terminado de construir.,0.0,28,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Un día antes de la inauguración de la primera etapa de la refinería Olmeca en el puerto de Dos Bocas, Paraíso, Tabasco, Carlos Loret de Mola publicó información falsa. El presentador principal de la plataforma Latinus publicó en su cuenta de Twitter una serie de fotografías con la leyenda: ‘La pura escenografía, afinan detalles para la primera etapa constructiva de Dos Bocas.’",0.0,62,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Pero no paró ahí, en su programa transmitido por W Radio afirmó, cito a Loret:",0.0,15,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"‘Bueno, y mañana el show de Dos Bocas. Le ponían fotografías en redes de la forma en que están llegando tremendos ductos, tremendas tuberías, como si las pudieran instalar de aquí a mañana, pero pues son para la escenografía, para el puro show, porque mañana se va a inaugurar una refinería que no refina y que va a refinar hasta 2024 o más.’ Hasta aquí Loret.",0.0,66,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Pero en el caso del tuit las imágenes son verdaderas, pero lo que escribe es falso, se trata de dos torres especiales despachadas por la aduana del puerto de Veracruz y transportadas el 30 de junio pasado hasta su destino en la estación de medición y control Papan, municipio de Tierra Blanca, Veracruz, donde se desarrollan campos petroleros como el Ixachi, al que van destinadas las torres fotografiadas. os da una oportunidad para informar, además.",0.0,75,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Bueno, pero a Loret ya no le preocupa la verdad, sino ver la manera de golpear al gobierno y confundir y a la opinión pública.",0.0,25,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Siguiente. Y bueno, como todos son Loret, él no está solo, aquí vemos cómo muchos medios impresos sólo publican cuestionamientos y críticas a la refinería Dos Bocas. Vemos a El Universal, al Reforma, al Sol de México y, bueno, eso por poner algunos, en el mismo plan que conductores y comentaristas de radio y televisión.",0.0,55,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Siguiente, por favor. Es curioso, a la oposición le molesta tanto la construcción de la refinería Dos Bocas que no le importa hacer el oso con mentiras obvias con tal de pegarle al gobierno. Primero, fue el tema de la inutilidad de una refinería si ya todos los vehículos serán eléctricos, cosa que todavía no pasa, pero la actual crisis energética mundial dio la razón al proyecto de lograr la autosuficiencia energética, así que cambiaron de argumento y desvalorizaron la obra con una frase como ‘una refinería que no refina’, que se repite en medios y redes.",0.0,97,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"El 1º de julio se inauguró la refinería Olmeca, culminó la etapa constructiva y ahora comienza la integración y pruebas de las 17 plantas de proceso, y se espera que comience a refinar petróleo en 2023.",0.0,36,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"A lo largo de la construcción la refinería ha sido blanco de ataques y muchas mentiras, pero todo ha caído por su propio peso.",0.0,24,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"El viernes 1º de julio vimos cómo intentaron manchar el inicio de la primera etapa de la refinería personajes de la oposición, columnistas, líderes de opinión, supuestos expertos y bots, muchos bots. Intentaron posicionar la idea de que lo que se estaba haciendo era inaugurar en realidad sólo oficinas administrativas y que el presidente habría inaugurado una refinería que no refina. Nada más alejado de la realidad.",0.0,67,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Entre los que se sumaron a esta campaña estuvieron la senadora Kenia López, del PAN; Julen Rementería; Max Kaiser, quien cita un artículo de Woldenberg, personaje que es expresidente del IFE, bueno, entonces IFE; la diputada federal Paloma Sánchez, Chumel Torres, Sergio Sarmiento, Carlos Loret de Mola, Alejo Sánchez en El Financiero, entre otros.",0.0,54,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Vayamos a los datos. La secretaria de Energía, Rocío Nahle, informó que, como en todas las refinerías que se han construido en el mundo, existe una etapa de prueba.",0.0,29,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"La primera etapa para la refinería fue constructiva. Después de preparar el sitio, levantaron 17 plantas de proceso, los equipos críticos, como recipientes y compresores a medida que se compraron en el extranjero.",0.0,33,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,Pero ¿qué viene ahora?,0.0,4,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"La etapa de integración y las pruebas para que en diciembre de este año inicie operaciones. Las pruebas se están haciendo en más de 90 mil equipos como válvulas, bombas, reactores, compresores y un largo etcétera.",0.0,36,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"En todas las refinerías del mundo se prueban los equipos, se revisan para que al final no haya ninguna complicación.",0.0,20,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Y, bueno, hasta aquí las noticias falsas de esta semana, pero antes de concluir esta sección vamos a presentar el experto de la semana, que vamos a presentar regularmente. Estas son personas que entrevistan los medios de comunicación o se presentan en redes sociales como especialistas de un tema y, por lo regular, resultan ser opositores que difunden noticias falsas.",0.0,60,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Esta semana presentamos a Xóchitl Gálvez que, según sus intereses, son sus conocimientos sobre proyectos como las refinerías, quien durante el gobierno del panista Felipe Calderón dijo haber ido personalmente a Los Pinos a pedirle que la refinería que, bueno, después sólo quedó en una barda carísima, que ni terminada está, se construyera en el estado de Hidalgo.",0.0,58,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"¿Podemos ver el video, por favor?",0.0,6,06,07,2022
ANA ELIZABETH GARCIA VILCHIS," Bueno, sin embargo, ahora la experta y legisladora panista ya cambió de opinión. Quizás la señora Gálvez no está enterada de que en este momento en el mundo se construyen 80 refinerías en países como China, Jizán, Arabia Saudita y Kuwait, y que México tiene también contempladas las energías renovables.",0.0,50,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,Hasta aquí nuestra sección de hoy. Muchas gracias.,0.0,8,06,07,2022
ANA ELIZABETH GARCIA VILCHIS,"Con su permiso, señor presidente.",0.0,5,06,07,2022
