Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LAURA VELAZQUEZ ALZUA," Gracias, presidente. Muy buen día. Con su permiso. Buen día para todos y para todas.",0.0,15,17,08,2022
LAURA VELAZQUEZ ALZUA,"En efecto, nos encontramos en la mina de Pinabete, en Sabinas, Coahuila. Informo a usted y al pueblo de México que el día de ayer continuamos con todos los estudios quién es quién hemos realizado en la mina Pinabete desde que estamos aquí.",0.0,43,17,08,2022
LAURA VELAZQUEZ ALZUA,"Se están cumpliendo 327 horas de trabajo ininterrumpido, en donde se incluyen evidentemente para la toma de decisiones estudios previos. Aunado a estos estudios, el día de ayer, y seguiremos el día de hoy, con los trabajos de campo para llevar a cabo las tomografías eléctricas, esto es toda la geofísica, la cual tiene como finalidad encontrar nuevas oquedades, así como las posibles zonas de aportación de agua hacia la mina de Pinabete.",0.0,73,17,08,2022
LAURA VELAZQUEZ ALZUA,"También seguimos trabajando para contar con los estudios específicos que nos permitan contar con un mapa detallado, ampliar el que ya tenemos, todos los mapas, todos los croquis que tenemos, que se encuentran del subsuelo, en la zona de la mina. Se contará con el producto final en el transcurso del día de hoy y de mañana.",0.0,57,17,08,2022
LAURA VELAZQUEZ ALZUA,"Por parte de la Secretaría de Relaciones Exteriores, establecimos contacto con dos compañías, una de Alemania y otra de Estados Unidos, con la idea de que puedan validar todas las acciones que hemos realizado. Es decir, señor presidente, estamos atendiendo una solicitud de las propias familias de los mineros; sin embargo, nosotros creemos que es muy importante tener una segunda opinión, para nosotros es fundamental que validen que todas las determinaciones que han tomado este equipo de especialistas de ingeniería son las correctas y que vamos por muy buen camino, así lo hemos adelantado.",0.0,94,17,08,2022
LAURA VELAZQUEZ ALZUA,"Afortunadamente tuvimos una llamada con el embajador de Alemania, que también es un ingeniero en minería, y nos ha hecho comentarios de que aquí en México se encuentran ingenieros especializados que son de alto prestigio y que pueden orientarnos. Afortunadamente, señor presidente, son quienes encabezan este equipo. Estamos hablando de un grupo de ingenieros especializados que encabezan desde el pasado 3 de agosto una serie de decisiones y de información que junto con el Gobierno de México estamos sacando adelante.",0.0,80,17,08,2022
LAURA VELAZQUEZ ALZUA,"Vamos por buen camino, señor presidente. El día de hoy la empresa de Estados Unidos se incorporará a los trabajos, vamos a ver cuál es la opinión de ellos.",0.0,29,17,08,2022
LAURA VELAZQUEZ ALZUA,"Con quien tuvimos la plática de ayer fue con Alemania, y vamos a compartir información para que nos den una segunda opinión.",0.0,22,17,08,2022
LAURA VELAZQUEZ ALZUA,"Asimismo, señor, platiqué con la secretaria del Trabajo, se está convocando a nuevos trabajadores para ayudarnos en acciones precisas de bombeo y de acciones de extracción de agua.",0.0,28,17,08,2022
LAURA VELAZQUEZ ALZUA,"De manera inmediata también nos comunicamos con el director general de Petróleos Mexicanos, con el ingeniero Octavio Romero, quienes iniciaron el apoyo de combustible, de diésel y de gasolina, indispensables para mantener operativa toda la maquinaria y los vehículos que apoyan de manera permanente a las acciones del bombeo. El día de ayer se proveyó de dos mil 229 litros de combustible.",0.0,62,17,08,2022
LAURA VELAZQUEZ ALZUA,"Asimismo, también es muy importante resaltar que, dentro de todas estas actividades que encabeza fundamentalmente la Sedena, también se suman a ellos desde el pasado 5 de agosto la Secretaría de Marina. El día de ayer realizaron vuelos de dron con la idea de obtener modelos digitales del terreno, así como fotografías de alta resolución para elaborar planos de ubicación general.",0.0,61,17,08,2022
LAURA VELAZQUEZ ALZUA,"Sin lugar a duda, la aportación de Conagua que lleva a cabo de manera permanente el muestreo de la calidad del agua y los parámetros de campo en pozos. Los niveles del agua al interior de la mina de Pinabete se han equilibrado junto con la mina de Conchas Norte. Tenemos el nivel actualizado a las 6:00 de la mañana y es: en el pozo 2, de 36.8 metros; pozo 3, 39.3; y en el pozo 4, 36.3. Hay que recordar que desde el lunes estos han sido los niveles equilibrados que mantenemos en la mina de Pinabete.",0.0,98,17,08,2022
LAURA VELAZQUEZ ALZUA,"El volumen estimado de agua desfogada desde el 3 de agosto es de 343 mil 470 metros cúbicos. Además, se tienen 13 bombas instaladas en cuatro tiros de pozo y en siete barrenos, con una potencia total de 940 caballos y un gasto de 475 litros por segundo.",0.0,48,17,08,2022
LAURA VELAZQUEZ ALZUA,"Cuando se cuente con resultados de este estudio geofísico, se va a ubicar con mucha precisión en dónde van a ir los barrenos para abatir lo antes posible el tirante existente. Esta es la meta para esta semana.",0.0,38,17,08,2022
LAURA VELAZQUEZ ALZUA,"Seguimos trabajando, señor presidente, de una manera muy coordinada, de una manera ordenada y además muy cercanos a los familiares de nuestros mineros. Sabemos que para ellos son momentos difíciles, así es que estoy platicando con ellos por lo menos dos veces al día, informamos de nuestras acciones, platicamos con ellos, se les está dando una atención digna, como merecen, y además de mucho cariño.",0.0,65,17,08,2022
LAURA VELAZQUEZ ALZUA,"Eso sería todo, señor presidente, y estoy a sus órdenes.",0.0,10,17,08,2022
