Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARINA DEL PILAR AVILA OLMEDA," Gracias presidente, gracias.",0.0,3,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Señor presidente, esta mañana las y los bajacalifornianos lo recibimos con todo el cariño de siempre. La gratitud y la fortaleza que usted nos brinda nos pone de pie y tomados del brazo como el gran equipo que somos, porque una vez más hemos demostrado que hoy en Palacio Nacional tenemos a un verdadero líder, y hoy todas y todos, pueblo y gobierno, somos una misma fuerza y no van a poder quebrantarnos por más que lo intenten.",0.0,78,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Hoy, señor presidente, se encuentra usted haciendo lo que mejor sabemos hacer, que es trabajar duro, honradamente y en armonía por nuestras familias, por nuestra comunidad y por esta noble tierra.",0.0,31,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Hace una semana algunos cobardes quisieron asustarnos y se toparon con un brazo poderoso, se encontraron con un pueblo uniformado, porque hoy el Ejército Mexicano, la Marina, la Guardia Nacional, la Fiscalía General de la República, la Fiscalía General del estado, las secretarías de Seguridad Ciudadana, y cada una de las policías municipales formamos un solo frente.",0.0,57,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Tristemente, en medio de una contingencia y de un escenario tan sensible, hubo quienes de manera irresponsable buscaron lucrar políticamente, difundiendo noticias falsas y generando alarmismo. Quisieron crear incertidumbre, pero, en cambio, se toparon con un rumbo claro, con un pueblo y un gobierno trabajando de la mano como no ocurría en épocas pasadas.",0.0,54,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Aquí respaldamos su política de seguridad, presidente, atendiendo las causas. Rechazamos la lógica de las armas y los enfrentamientos, y abrazamos la lucha por una sociedad sin desigualdades.",0.0,28,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Porque con su liderazgo hoy la transformación en Baja California tiene nombre y rostro, y se refleja en las pensiones para nuestros adultos mayores, en los apoyos para las personas con discapacidad y en las becas para nuestros jóvenes que hoy están construyendo su futuro.",0.0,45,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Quiero aprovechar este momento para solicitar una vez más su intervención para que juntos logremos enfrentar nuevamente un gran reto, con su apoyo incondicional, como siempre, para garantizar el abasto de agua en la población de Baja California. Como siempre, hemos encontrado una muy buena dinámica de trabajo con los responsables del área, pero sabemos que, con su respaldo, presidente, saldremos nuevamente adelante.",0.0,63,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Usted sabiamente lo ha dicho, licenciado Andrés Manuel López Obrador, la paz y la tranquilidad son fruto de la justicia. La armonía empieza a construirse en cada hogar, en cada calle, en cada esquina, esa es la vocación de los gobiernos de la Cuarta Transformación, que somos verdaderos promotores de paz.",0.0,51,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Desde este rincón, donde empieza la patria, quiero reiterarle que mi gobierno seguirá concentrado en trabajar por el bienestar de las y los bajacalifornianos.",0.0,24,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,"Bienvenido, amigo presidente, hoy lo recibimos, como siempre, con los brazos abiertos y con el corazón por delante. Esta es y será siempre su casa.",0.0,25,19,08,2022
MARINA DEL PILAR AVILA OLMEDA,Muchas gracias.,0.0,2,19,08,2022
