Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Con su permiso, presidente. Buenos días. Secretarios. Colegas, muy buenos días. Buenos días a todas y todos ustedes.",0.0,18,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"De manera breve vamos a informar sobre el curso de la epidemia de COVID-19. Vemos la primera imagen, por favor, que nos muestra que ya tenemos esta tendencia muy claramente establecida a la reducción de la epidemia. La reducción quiere decir: hay menos casos en una semana comparado con la semana previa, hay menos casos en un día comparado con el día previo. Y esta tendencia lo que se espera, como comentamos la semana pasada, es que se mantenga hasta que lleguemos a niveles mínimos de esta quinta ola.",0.0,89,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"La noticia positiva adicional es que habíamos indicado que probablemente la ocupación hospitalaria continuaría durante algunas semanas más al alza; sin embargo, no, ya empezó también a reducirse la ocupación hospitalaria. Recordarán que la semana pasada estaba en 18 por ciento para camas generales; hoy está en 16 por ciento, es decir, ya entró también en esta tendencia de reducción.",0.0,60,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Las camas con ventilador, la ocupación es esperable que dure un poco más. Se mantiene estable en cinco por ciento, dado que la duración de la hospitalización de los pacientes intubados desde luego es más prolongada.",0.0,36,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Y, finalmente, en los indicadores de mortalidad también estamos viendo ya una reducción, entramos también a esa fase en el indicador más relevante, que es la pérdida de la vida.",0.0,30,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Y seguimos constatando que la vacunación ha reducido muy significativamente el riesgo de hospitalización y el riesgo de muerte, por lo que seguiremos llamando a la población a que se vacune.",0.0,31,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Y estamos teniendo buen progreso en lo que respecta a la aplicación de las vacunas con avances acelerados en niñas, niños de cinco a 11 años, donde ya tenemos 31 por ciento de la cobertura programada y seguiremos vacunando hasta completar la meta de este grupo.",0.0,46,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Lo siguiente, por favor, nos muestra sólo como un recordatorio que los refuerzos de la vacuna se quedaron en 70 por ciento. Si alguien no se ha aplicado su refuerzo, le seguimos invitado a que lo haga, esto confiere mayor duración de la inmunidad y mayor protección.",0.0,47,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,"Por último, el calendario, estaremos recibiendo 804 mil dosis de vacuna para niñas y niños, que es un donativo de Corea. Le agradecemos a la República de Corea el habernos hecho este donativo, son 804 mil dosis. Estaremos recibiendo en cinco embarques, dos esta semana, tres la siguiente semana, hasta completar las 804 mil.",0.0,54,02,08,2022
HUGO LOPEZ-GATELL RAMIREZ,Gracias.,0.0,1,02,08,2022
