Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROGELIO RAMIREZ DE LA O, Buenos días a todos. Con el permiso del señor presidente.,0.0,10,02,08,2022
ROGELIO RAMIREZ DE LA O,"El paquete contra la inflación y la carestía que firmamos con empresas del sector agroindustrial y empresas del sector autoservicios, que se adhirieron todos voluntariamente, tiene hoy dos meses y medio, lo firmamos el 4 de mayo, y hasta ahorita ha tenido muy buen desempeño porque la canasta básica de 24 productos se ha estabilizado en este periodo, en contraste con la canasta del Índice Nacional de Precios al Consumidor.",0.0,70,02,08,2022
ROGELIO RAMIREZ DE LA O,"El Estado está bastante enfocado y comprometido con este paquete. Y aquí en la primera gráfica estamos mostrando lo que estimamos es el costo para el Estado de mantener este paquete. Algunas de las medidas de parte del gobierno ya estaban en marcha; por ejemplo, el tope a la gasolina no más allá de la tasa de inflación.",0.0,58,02,08,2022
ROGELIO RAMIREZ DE LA O,"Pero aquí se describe un costo de 574 mil millones de pesos, que incluye un capítulo muy grande de seguridad alimentaria por 68 mil millones; Sembrando Vida, 29 mil millones; Producción para el Bienestar, 14 mil; Precios de Garantía a Productos Alimentarios Básicos, 11 mil; fertilizantes, cinco mil 200; abasto y adquisición de leche, Programa de Abasto Rural a cargo de Diconsa, Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuacultura.",0.0,72,02,08,2022
ROGELIO RAMIREZ DE LA O,"Además de este paquete, está el subsidio a la electricidad doméstica, que forma parte de los mismos compromisos, 73 mil millones.",0.0,21,02,08,2022
ROGELIO RAMIREZ DE LA O,"Y el mecanismo de apoyo al precio de la gasolina, 430 mil millones, que consiste en utilizar la recaudación del impuesto especial por esa cantidad, más el subsidio adicional cuando ese impuesto especial se agota.",0.0,35,02,08,2022
ROGELIO RAMIREZ DE LA O,"Además, hay un congelamiento de cuotas de carretera por dos mil 750 millones, en total 574 mil millones.",0.0,18,02,08,2022
ROGELIO RAMIREZ DE LA O,"Ayer actualizamos, para quienes están interesados en los datos de estimación, que sin este paquete la inflación habría sido 2.6 puntos porcentuales mayor a lo que hoy es, de 8.16. Por eso es que, entre otras razones, la inflación de México está más baja que la de otros países, incluyendo Estados Unidos.",0.0,52,02,08,2022
ROGELIO RAMIREZ DE LA O,"Y esta es una gran diferencia porque, sin este paquete y con ese mayor porcentaje de inflación, lo primero que habría caído fuerte es el consumo de los hogares. Al caer el consumo de los hogares, cae el volumen de ventas, cae el IVA, cae todo el movimiento económico y al mismo tiempo el Banco de México tiene que subir más la tasa de interés, y ahí aumenta el costo de la deuda pública, el costo de las hipotecas, y el costo de las tarjetas de crédito y el costo de la deuda privada. Es decir, este paquete está cumpliendo muchas funciones y estos recursos que están utilizados en el paquete no tendrían un mejor uso que utilizarlos aquí.",0.0,119,02,08,2022
ROGELIO RAMIREZ DE LA O,"En la segunda gráfica estamos mostrando cómo, con los apoyos que ya describí, el salario promedio mensual de junio de 2022 está en ocho mil 943 pesos. Si no hubiera habido estos apoyos, estaría 12 por ciento por debajo, es una caída muy fuerte para el salario mensual.",0.0,48,02,08,2022
ROGELIO RAMIREZ DE LA O,"En la tercera gráfica estoy repitiendo que, como estamos viendo buenos resultados con este paquete, también al mismo tiempo estamos viendo en dónde necesita reforzarse. Los compromisos son:",0.0,28,02,08,2022
ROGELIO RAMIREZ DE LA O,"No aumentar los costos de los energéticos en los términos que ya ustedes conocen, que están establecidos.",0.0,17,02,08,2022
ROGELIO RAMIREZ DE LA O,Acelerar la apertura e importaciones de básicos.,0.0,7,02,08,2022
ROGELIO RAMIREZ DE LA O,"Limitar la exportación de maíz blanco, para tener una reserva estratégica en este producto.",0.0,14,02,08,2022
ROGELIO RAMIREZ DE LA O,Asegurar acuerdos con Estados Unidos para tener más leche y fertilizantes.,0.0,11,02,08,2022
ROGELIO RAMIREZ DE LA O,"Regular las tarifas de interconexión ferroviaria para alimentos, insumos y fertilizantes que están muy impactados por estas tarifas, y continuar dando el seguimiento a la estabilización de la canasta de 24 productos que está en el Pacic.",0.0,37,02,08,2022
ROGELIO RAMIREZ DE LA O,"Después de mí, va a hablar el secretario de Agricultura; después, el director general de Pemex, para el tema de fertilizantes; después, el director general de la Profeco, Ricardo Sheffield; y después el licenciado Leonel Cota Montaño, que es el director general de Segalmex.",0.0,44,02,08,2022
ROGELIO RAMIREZ DE LA O,Gracias.,0.0,1,02,08,2022
ROGELIO RAMIREZ DE LA O," Idealmente lo mejor es bajar los impuestos lo más que se pueda; sin embargo, esta administración ya bajó el IVA en la frontera norte a la mitad para igualarlo al impuesto sobre ventas que hay en la frontera sur de Estados Unidos; y también bajó el ISR, Impuesto Sobre la Renta, igual, a la mitad.",0.0,55,02,08,2022
ROGELIO RAMIREZ DE LA O,"Ya ha hecho un gran esfuerzo presupuestal haciendo estas reducciones, pero también bajando el precio de los combustibles en la frontera.",0.0,21,02,08,2022
ROGELIO RAMIREZ DE LA O,"Entonces, las acciones han sido bastante equivalentes en valor a si hubiera habido una baja de impuestos. Siguen siendo equivalentes, como ustedes vieron en la cifra, lo que se dedica en este momento a apuntalar la oferta de alimentos, reforzar los fertilizantes. Es un gran esfuerzo presupuestal y esa es la política.",0.0,52,02,08,2022
ROGELIO RAMIREZ DE LA O,"El compromiso del presidente es no hacer cambios en las tasas de impuestos, no aumentar, no crear nuevos impuestos, pero eso conlleva también que todo el resto de recursos los estamos usando productivamente. Entonces, las tasas están donde están.",0.0,39,02,08,2022
ROGELIO RAMIREZ DE LA O,Gracias.,0.0,1,02,08,2022
