Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Gracias. Con su permiso, señor presidente. Muy buenos días a todas y a todos.",0.0,14,02,08,2022
ZOE ROBLEDO ABURTO,"Como todos los martes, en el Pulso de la Salud informamos sobre los avances del Plan de Salud para el Bienestar. La semana pasada presentamos esta segunda Jornada Nacional de Reclutamiento y Contratación Médicos y Médicas Especialistas, son 10 mil 495 vacantes; hemos tenido una respuesta hasta el día de ayer de 472 especialistas interesados en algunas de estas plazas.",0.0,60,02,08,2022
ZOE ROBLEDO ABURTO,"Como lo hemos comentado, a partir de ahora el primero en iniciar el procedimiento es el primero en tener oportunidad de concluir en una contratación y una base para esa posición. Seguimos invitando a médicos y médicas especialistas a ingresar a medicosespecialistas.gob.mx.",0.0,42,02,08,2022
ZOE ROBLEDO ABURTO,"Y el dato que acaba de comentar el doctor Alcocer tiene que ver justo con eso, el total de las vacantes que se están ofertando por parte de todas las instituciones están ubicados en 949 hospitales, y esos hospitales están ubicados, localizados en 560 municipios; de estos 560 municipios, 303 presentan algún nivel entre medio y alto de pobreza, según los datos de Coneval.",0.0,64,02,08,2022
ZOE ROBLEDO ABURTO,"Entonces, efectivamente, ¿dónde los necesitamos? En donde más los necesita la población, en hospitales que se encuentran en municipios a veces apartados, pero que tienen una enorme necesidad de contar con médicos especialistas.",0.0,33,02,08,2022
ZOE ROBLEDO ABURTO,"La siguiente, para empezar la revisión de los estados, en el caso de Nayarit, como ya se ha señalado, tiene un 100 por ciento de la operación tanto en el segundo y el primer nivel de atención.",0.0,37,02,08,2022
ZOE ROBLEDO ABURTO,"En médicos especialistas estamos con una cobertura del 77 por ciento, de 476 médicos que ya están allá en Nayarit, de los 620 que son necesarios.",0.0,26,02,08,2022
ZOE ROBLEDO ABURTO,"Y también ya el 100 por ciento en los procesos de basificación, hay personas que solamente están ya en espera de que se les entregue su base.",0.0,27,02,08,2022
ZOE ROBLEDO ABURTO,El 100 por ciento de las unidades de primer y segundo nivel han recibido ya capacitación también.,0.0,17,02,08,2022
ZOE ROBLEDO ABURTO,"Y en infraestructura y acciones de dignificación, el total de la inversión que se va a ejercer este año es de 237 millones de pesos, son 51 millones destinados a las unidades de segundo nivel, a los hospitales, ya con un avance del 95 por ciento y 219 unidades de primer nivel que han sido intervenidas, esto por parte del Insabi, que tiene un avance del 57 por ciento.",0.0,69,02,08,2022
ZOE ROBLEDO ABURTO,El nivel de abasto de recetas es del 94 por ciento.,0.0,11,02,08,2022
ZOE ROBLEDO ABURTO,"Y al momento tenemos mil 942 equipos habilitados, muchos de ellos reparados o que se les suministraron consumibles.",0.0,18,02,08,2022
ZOE ROBLEDO ABURTO,"Y también 415 equipos que ya fueron distribuidos esta semana pasada: 276 fonodetectores de latidos, 87 básculas, tanto con estadímetro, como electrónicas, cardiotocógrafos, en fin. Y acaba de sesionar el Fonsabi para la adquisición del resto del equipo que nos hace falta en Nayarit.",0.0,44,02,08,2022
ZOE ROBLEDO ABURTO,"En el caso de Tlaxcala tenemos también ya el 100 por ciento de las unidades con presencia del programa, tanto los hospitales como los 195 centros de salud.",0.0,28,02,08,2022
ZOE ROBLEDO ABURTO,"En la cobertura de especialistas, estamos al 75 por ciento. Hay muchas de estas vacantes que están justamente en la jornada nacional de contratación para el caso de Tlaxcala.",0.0,29,02,08,2022
ZOE ROBLEDO ABURTO,Y el proceso de basificación al 93 por ciento con 978 personas que ya están en alguna etapa de su basificación.,0.0,21,02,08,2022
ZOE ROBLEDO ABURTO,El 100 por ciento del personal en los hospitales ha sido capacitado y el 76 por ciento en el primer nivel de atención.,0.0,23,02,08,2022
ZOE ROBLEDO ABURTO,"En infraestructura y acciones de dignificación de espacios, la inversión es de 174 millones de pesos, tanto en las unidades de segundo nivel, 66 millones de pesos que se han invertido en los hospitales, y 50 unidades de primer nivel con 108 millones de pesos que está ejerciendo el Insabi.",0.0,50,02,08,2022
ZOE ROBLEDO ABURTO,El nivel de abasto de medicamentos en Tlaxcala es del 94 por ciento.,0.0,13,02,08,2022
ZOE ROBLEDO ABURTO,"Y el caso de Colima, con presencia también en el 100 por ciento de las unidades, los cinco hospitales, una unidad de especialidad médica y los 131 centros de salud.",0.0,30,02,08,2022
ZOE ROBLEDO ABURTO,En el caso de especialistas estamos en Colima con una cobertura del 80 por ciento de médicos especialistas.,0.0,18,02,08,2022
ZOE ROBLEDO ABURTO,"Y en proceso de basificación, 729 personas. Al momento de entregar ya estas basificaciones, estaríamos cumpliendo el 100 por ciento de esta etapa.",0.0,23,02,08,2022
ZOE ROBLEDO ABURTO,Y una capacitación del 100 por ciento de los hospitales y al 98 por ciento en las unidades de centro de salud en el primer nivel de atención.,0.0,28,02,08,2022
ZOE ROBLEDO ABURTO,"También, en infraestructura y acciones de habilitación de espacios hay un presupuesto de 130 millones de pesos: 50 millones para hospitales que tiene un avance ya del 99 por ciento, y 68 unidades de primer nivel que tendrán una inversión de 80 millones de pesos por parte del Insabi.",0.0,49,02,08,2022
ZOE ROBLEDO ABURTO,El abasto también en Colima es del 94 por ciento.,0.0,10,02,08,2022
ZOE ROBLEDO ABURTO,"Y, finalmente, incluimos un nuevo estado, que es Sonora, donde ya también hay presencia en el 100 por ciento de los hospitales y en agosto comenzamos en las dos unidades de especialidad, y ya con presencia en 32 por ciento de las 218 unidades de primer nivel.",0.0,47,02,08,2022
ZOE ROBLEDO ABURTO,"En personal, hoy se tiene el 68 por ciento de cobertura de especialistas. Hace un mes este indicador era del 54 por ciento para Sonora. Entre médicos residentes del Seguro Social y lo que se contrató en el proceso de la jornada anterior se está llegando a un 68 por ciento.",0.0,51,02,08,2022
ZOE ROBLEDO ABURTO,"Y en infraestructura y acciones de dignificación, hay una inversión de 210 millones de pesos para 150 unidades del primer nivel, 210 millones de pesos con recursos del Insabi, y estamos por parte del IMSS terminando el programa de dignificación para los hospitales.",0.0,43,02,08,2022
ZOE ROBLEDO ABURTO,"Y el abasto, se tiene del 50 por ciento de recetas surtidas. Hay un 80 por ciento de los medicamentos ya en el estado, pero estamos trabajando en una estrategia para la última milla, para que estos no se queden en los almacenes y estén donde deben de estar: en las farmacias y en los almacenes de los hospitales.",0.0,59,02,08,2022
ZOE ROBLEDO ABURTO,"Y, finalmente, los resultados de la operación de atención médica de primer contacto, es una estrategia a la que nos sumamos junto con la Secretaría de Marina y los gobiernos de los estados de Baja California y Baja California Sur para llevar a poblaciones muy, muy remotas, a las que se tiene que acceder, ya sea por vía marítima o aérea, atenciones como consultas, detecciones de enfermedades crónico-degenerativas, exploraciones ginecológicas y de cáncer de mama.",0.0,75,02,08,2022
ZOE ROBLEDO ABURTO,"Fueron en Baja California localidades como Bahía de los Ángeles, Isla Guadalupe, Camalú, Vicente Guerrero, Guerrero Negro, Isla de Cedros, Isla Benito, Isla de Navidad; y en Baja Sur, 21 comunidades, desde Agua Verde, la Riviera, Carrizal, El Sargento, Bahía de Asunción, Bahía de Tortugas, Bahía de los Ángeles, en fin.",0.0,51,02,08,2022
ZOE ROBLEDO ABURTO,"Creo que creo que estas acciones nos están ayudando mucho, sobre todo en la detección para que identifiquemos quiénes necesitan un nivel superior de atención ya en el segundo nivel.",0.0,30,02,08,2022
ZOE ROBLEDO ABURTO,Y queremos seguir haciendo estas jornadas en otros estados que presentan conexiones también de lejanía y difícil acceso en sus municipios.,0.0,21,02,08,2022
ZOE ROBLEDO ABURTO,"Sería todo por nuestra parte, señor presidente.",0.0,7,02,08,2022
ZOE ROBLEDO ABURTO,Muchas gracias.,0.0,2,02,08,2022
ZOE ROBLEDO ABURTO," Gracias. Con su permiso, presidente.",0.0,5,02,08,2022
ZOE ROBLEDO ABURTO,"Sin duda, la relación con el sindicato es buena, es cercana y uno de los temas que siempre hemos puesto en el centro de toda la discusión es que el Seguro Social se debe justamente a sus derechohabientes, es a partir de ellos que existe, que se creó y que buscamos que prevalezca durante muchos años.",0.0,56,02,08,2022
ZOE ROBLEDO ABURTO,"Y en ese sentido, si bien los datos que se presentaron aquí de Sonora eran del Sistema Estatal de Salud, no del Seguro Social, en el Seguro Social todas las semanas estamos revisando los niveles de cumplimiento de recetas, ahorita cerramos julio con 96.4 por ciento, pero uno de los temas que más nos preocupa siempre es cuando hay una negativa de una receta, pero evidencia de que había el medicamento en la farmacia de esa unidad, porque habla de problemas gerenciales, internos de esa unidad y entonces tomamos medidas para revisar en qué parte del proceso, si hay, si existe el medicamento, por qué hay una negativa.",0.0,108,02,08,2022
ZOE ROBLEDO ABURTO,"La verdad, que hemos encontrado buenas respuestas de todo el personal, sobre todo en esta idea de decir: en esta nueva etapa, en esta Cuarta Transformación nos debemos a las personas, más allá de incluso los elementos que tienen que ver con la protección a los derechos humanos, que deberían de ser para todas las instituciones una norma única, es un tema también de cercanía y de mejorar el trato al final de cuentas.",0.0,74,02,08,2022
ZOE ROBLEDO ABURTO,"Si bien hay indicadores de la disminución de quejas y demás, siguen existiendo quejas por temas de trato, y más aún cuando se hacen esfuerzos enormes porque se tengan los medicamentos y que una negativa por razones diferentes, porque terminó el turno de ese día y entonces una persona pues ya no quiso atender, cuando quizá nada le costaba quedarse un ratito más, o cualquier situación de esas, son las que más nos preocupa.",0.0,74,02,08,2022
ZOE ROBLEDO ABURTO,"Cuando hay un problema de alguna clave que no llegó, que no hubo suficiencia, se resuelve de una manera distinta; pero cuando existe la evidencia de que estaba ese medicamento en ese momento y en ese lugar, y se negó por otras razones, la intervención es inmediata, desde el responsable en ese estado hasta la dirección de ese hospital y hasta las áreas que tiene involucramiento. Pero sí, sin duda es algo que se tiene que atender todos los días.",0.0,80,02,08,2022
ZOE ROBLEDO ABURTO,"Todos los días se hacen medio millón de consultas y esas muchas, la gran mayoría de ellas, deriva en alguna receta que se debe de atender de manera plena, sobre todo cuando hay evidencia de que sí existe el medicamento.",0.0,40,02,08,2022
