Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Muy buenos días, señor presidente; muy buenos días a todas y a todos ustedes.",0.0,14,29,08,2022
RICARDO SHEFFIELD PADILLA,"Papás y mamás, ahorita apurados con el regreso, el regreso a clases, todos atentos, pero también entusiasmados porque se contagia uno de alegría con los eventos de carácter escolar, con niñas, niños y jóvenes.",0.0,34,29,08,2022
RICARDO SHEFFIELD PADILLA,"Vamos a ver quién es quién en los precios de los combustibles. Si hacemos el corte el 25 de agosto, el precio de la mezcla mexicana de petróleo, 89 dólares con 45 centavos de dólar.",0.0,35,29,08,2022
RICARDO SHEFFIELD PADILLA,"El promedio de la gasolina regular la semana pasada, 22 pesos con nueve centavos. Esta semana tendrá el combustible un incentivo fiscal del 95.4 por ciento. Verán que subió el incentivo fiscal con relación a la semana pasada porque hubo un ligero aumento en el costo del petróleo, sigue errático el mercado, pero afortunadamente sigue con una tendencia a la baja.",0.0,61,29,08,2022
RICARDO SHEFFIELD PADILLA,"Veinticuatro pesos con siete centavos el litro de la gasolina Premium, con un incentivo fiscal esta semana de 81.4 por ciento; y 23.45 por ciento el promedio del litro de diésel, la semana pasada con un incentivo fiscal del 100 por ciento en esta semana que está transcurriendo.",0.0,48,29,08,2022
RICARDO SHEFFIELD PADILLA,"Las tres marcas que dieron más caro, las careras de la semana pasada, fue Redco, Chevron y Oxxo Gas, y las más económicas fue Exxo Mobil, G500 y Orsan.",0.0,29,29,08,2022
RICARDO SHEFFIELD PADILLA,"Vamos a ver ahora en la gasolina regular, el precio más alto, con el margen más alto, lo encontramos en una gasolinera Mobil, que normalmente dan barato, pero esta en Apodaca, Nuevo León, se pasó de rosca con un precio al público de 23 pesos 69 centavos. Y pueden ver por qué, porque su margen fue de cuatro pesos con 24 centavos, estos sí la verdad hace rato que no veíamos una gasolinera que se pasara así de rosca. Y véanlo, esos cuatro, más de cuatro pesos compárenlos con los 28 centavos de margen de franquicia Pemex en Lerdo, Durango, que, por tanto, tiene un precio al público de 21 pesos con 85 centavos.",0.0,114,29,08,2022
RICARDO SHEFFIELD PADILLA,"Vamos ahora a la Premium, el precio más alto, con el margen más alto, fue BP en Benito Juárez, Quintana Roo, allá en Cancún, 25 pesos con 45 centavos el litro, precio al público, tres pesos 38 centavos de margen; y la más económica, con el menor margen, de 15 centavos el margen, en Veracruz, Veracruz, franquicia Pemex, un precio al público de 22 pesos con 25 centavos.",0.0,68,29,08,2022
RICARDO SHEFFIELD PADILLA,"Para el diésel, Cargo Gas, en Torreón, Coahuila, con un precio de 24 pesos 99 centavos por litro y un margen de 2.83 es la opción más cara.",0.0,28,29,08,2022
RICARDO SHEFFIELD PADILLA,"Y la más económica, con un margen de 15 centavos, es también de franquicia Pemex, que en esta ocasión las más económicas fue franquicia Pemex en todo el país, en La Paz, Baja California, un precio al público de 23 pesos con 15 centavos, un margen de 15 centavos.",0.0,49,29,08,2022
RICARDO SHEFFIELD PADILLA,"Recibimos a través de la app de Litro por Litro 274 quejas o denuncias, 281 verificaciones o visitas realizamos, 11 gasolineras no se dejaron verificar; igual que la semana pasada, vamos a poner orden con el apoyo de la CRE, de la Asea y de la Guardia Nacional en próxima fecha para verificar las ya un poquito más de 30 gasolineras que no se han dejado verificar a lo largo del mes que transcurre.",0.0,74,29,08,2022
RICARDO SHEFFIELD PADILLA,"Y vamos también a ver ya sin el margen cuál es el precio de referencia para saber qué es lo barato y que es lo caro. La más barata para regular, 20 pesos con 24 centavos, en Toluca, en el Estado de México; 20 pesos con 39 centavos en Tampico, Tamaulipas, esto es Soriana y de Valero.",0.0,57,29,08,2022
RICARDO SHEFFIELD PADILLA,"Mientras que las más caras es Cardel en Namiquica, Chihuahua, 24 pesos con 40 centavos, y 24 pesos con 10 centavos de franquicia Pemex en Teololoapan, Guerrero.",0.0,27,29,08,2022
RICARDO SHEFFIELD PADILLA,"Las más baratas para la Premium, 21 pesos con 89 centavos en Altamira, Tamaulipas, de franquicia Pemex, y 21.99 de Soriana en Tampico, Tamaulipas.",0.0,24,29,08,2022
RICARDO SHEFFIELD PADILLA,"Y ahora la más cara es de Shell en Naucalpan, Estado de México, 26 pesos con 89 centavos. Yo creo que aquí vale la pena ver que hay gasolineras, muy pocas, por cierto, de manera aislada, que no tiene que ver tanto con la marca, sino con el dueño de la estación de servicio.",0.0,54,29,08,2022
RICARDO SHEFFIELD PADILLA,"Fíjense, el precio más caro para este combustible es de 24 pesos… perdón, de 25 pesos con 16 centavos, es la primer tabla, 25 pesos con 16 centavos, la más cara en promedio en el país para la gasolina Premium. Y estos están más de un peso arriba, 26 pesos 89 centavos, quiere decir que hay muy pocas gasolineras que están a ese nivel de precio tan alto.",0.0,68,29,08,2022
RICARDO SHEFFIELD PADILLA,"Como también ésta de franquicia Pemex —como decía, no tiene que ver la marca— 26 pesos con 20 centavos en Nuevo Casas Grades, Chihuahua. Esto nos da un referente para saber dónde nos conviene cargar combustible.",0.0,36,29,08,2022
RICARDO SHEFFIELD PADILLA,"Y el diésel, 22 pesos con 15 centavos la Mobil, en General Pánfilo Natera, Zacatecas; 22 pesos con 34 centavos, también de la Mobil en Puebla, Puebla, en general Mobil da buenos precios; la más cara, 26 pesos con 15 centavos de Quick Gas en Culiacán, Sinaloa, y 26 pesos en Tepelmeme, Villa de Morelos.",0.0,55,29,08,2022
RICARDO SHEFFIELD PADILLA,Y seguimos revisando también el tema de servicios sanitarios.,0.0,9,29,08,2022
